,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,34710040
2015-01-02,100.063,101.8945,99.4636,100.6024,48360089
2015-01-05,100.8543,102.2498,99.8762,100.6156,54045562
2015-01-06,100.1151,100.7013,96.4306,97.2727,92159523
2015-01-07,97.287,98.9885,96.1083,97.7848,78084663
2015-01-08,98.764,100.4365,97.3941,98.6655,103711653
2015-01-09,99.4017,100.5412,97.6602,98.9914,71610050
2015-01-12,99.1381,100.4001,97.7101,99.2026,55640865
2015-01-13,99.7248,100.7148,98.1056,98.7099,69926935
2015-01-14,98.8892,100.2347,97.443,98.5093,71678636
2015-01-15,99.4505,101.8933,98.5132,100.5679,71629358
2015-01-16,100.4259,102.305,99.2734,101.1735,71440135
2015-01-19,101.3546,103.2529,100.3873,102.0897,64733447
2015-01-20,102.4675,104.3075,101.4122,103.3652,71150838
2015-01-21,103.5357,104.8512,102.1494,103.662,81668223
2015-01-22,103.6896,105.0176,102.0881,103.245,74144193
2015-01-23,103.9492,105.4445,102.2775,103.8674,86545352
2015-01-27,104.6213,106.3859,103.3352,104.9845,85758766
2015-01-28,104.7525,106.9232,103.5123,105.6153,82481529
2015-01-29,105.4404,108.4237,104.6705,107.2756,134846570
2015-01-30,107.5719,108.7016,105.0749,106.3961,96834754
2015-02-02,106.3292,108.0823,105.045,106.4684,84157158
2015-02-03,106.9793,109.0108,105.4442,107.4822,107324048
2015-02-04,107.8145,108.8639,105.4692,106.3356,116046888
2015-02-05,106.8179,108.0712,104.5495,105.5291,99715062
2015-02-06,105.4761,106.4436,102.7983,103.9738,71425196
2015-02-09,103.1582,104.62,100.3392,101.4674,71719534
2015-02-10,101.0419,103.7405,98.67,101.2337,80595277
2015-02-11,101.8736,104.381,100.9541,103.1415,65271382
2015-02-12,103.6967,105.9008,101.9805,104.811,65405861
2015-02-13,104.7129,106.8119,103.705,105.5274,109523737
2015-02-16,105.6392,107.2349,103.7316,105.0022,80180071
2015-02-18,105.0289,107.0385,104.2364,106.0309,89380899
2015-02-19,106.5212,108.4649,104.9569,107.0713,89750666
2015-02-20,106.9719,108.206,104.8675,105.9325,116781596
2015-02-23,106.1272,107.3866,104.0636,104.939,85066539
2015-02-24,105.2428,106.3632,103.2698,104.5335,85857230
2015-02-25,105.1114,106.4732,103.3269,104.2159,86490655
2015-02-26,104.5384,105.2723,102.2665,103.0989,164932624
2015-02-27,103.8138,106.4351,103.1644,105.6189,98876077
2015-03-02,106.4069,109.4573,105.3663,108.1389,114483067
2015-03-03,108.4133,111.2313,107.2994,110.2597,94149830
2015-03-04,110.9795,112.4089,107.7343,108.9874,99326619
2015-03-05,109.4098,110.61,107.375,108.9204,79838319
2015-03-09,108.5809,109.7653,105.7782,106.858,74149911
2015-03-10,107.0415,108.3053,104.97,106.1627,73519802
2015-03-11,106.4892,107.5541,104.5966,105.3448,55398743
2015-03-12,105.7648,107.6679,105.0684,106.5721,57934258
2015-03-13,107.3198,107.9296,103.8052,104.4652,70445900
2015-03-16,104.8123,105.7353,102.889,103.7796,51687324
2015-03-17,104.7211,106.3159,103.3006,105.2302,73017695
2015-03-18,105.616,107.1424,104.1497,105.5682,85037876
2015-03-19,106.5097,107.4332,103.7794,104.5353,74856393
2015-03-20,104.5648,105.4684,102.3429,103.4427,82044584
2015-03-23,103.8206,104.6421,101.3685,102.06,65771927
2015-03-24,101.9856,103.6793,101.0174,102.285,60876691
2015-03-25,102.5269,103.2388,100.6867,101.712,58283876
2015-03-26,101.2478,103.2059,99.6352,100.8306,88638660
2015-03-27,101.3139,102.63,98.7097,100.4822,68517047
2015-03-30,101.1207,103.2209,99.8878,102.2821,63503568
2015-03-31,102.8852,105.2471,101.88,103.4779,106325001
2015-04-01,103.5299,105.3912,102.4573,104.4577,86684339
2015-04-06,104.6267,106.3901,103.2138,104.8695,63740808
2015-04-07,105.1376,106.3755,104.007,105.3455,73242134
