,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,6155985
2015-01-02,100.1365,102.1401,99.5488,100.9999,7881201
2015-01-05,101.2217,104.3437,100.4641,102.4744,7342207
2015-01-06,102.1171,102.5591,97.2771,98.6353,7201844
2015-01-07,98.5173,100.6019,95.8723,98.6417,5775516
2015-01-08,99.5464,101.986,98.7463,101.046,5378020
2015-01-09,102.0474,102.8972,99.7667,101.1421,4944918
2015-01-12,101.4064,102.6609,99.7283,101.4664,3322412
2015-01-13,101.3004,103.0121,99.036,100.2029,5700639
2015-01-14,100.2372,101.7974,97.7261,99.5288,8095768
2015-01-15,100.3484,102.016,99.1893,100.8081,9734169
2015-01-16,100.7069,103.5425,99.9731,102.0551,8700842
2015-01-19,102.9613,106.4891,101.6897,103.9761,10908114
2015-01-20,104.3608,106.7684,103.3337,104.9277,7127940
2015-01-21,105.243,106.7363,102.715,104.2427,7816485
2015-01-22,104.8651,107.9459,103.6772,105.7776,9251104
2015-01-23,106.9951,108.197,103.933,105.7319,7523447
2015-01-27,106.0511,107.3967,102.9761,105.2112,8403223
2015-01-28,105.2965,107.7042,102.8559,105.2845,9519421
2015-01-29,105.0742,106.0164,102.8413,104.4481,6995009
2015-01-30,104.9452,106.1691,101.1797,102.4214,5141999
2015-02-02,102.2574,104.5915,99.8646,102.2539,5413442
2015-02-03,102.5857,104.5271,100.6095,102.4919,7915067
2015-02-04,102.868,105.1149,99.5473,102.2071,8231038
2015-02-05,102.3067,103.9076,99.5736,100.5483,5443908
2015-02-06,100.6818,102.4294,97.8821,99.3287,6398212
2015-02-09,99.1385,100.4636,96.0567,97.7693,4728196
2015-02-10,97.5157,100.3939,96.313,98.2147,4153365
2015-02-11,98.7809,101.5092,97.8612,100.4008,4221659
2015-02-12,100.2308,102.4809,98.598,101.0662,11317340
2015-02-13,101.5665,104.87,100.833,103.0373,6769839
2015-02-16,103.2465,104.3329,101.2414,102.3466,4394938
2015-02-18,102.771,104.0399,100.8698,102.658,5438995
2015-02-19,103.3852,104.7019,101.0575,102.9022,5612685
2015-02-20,103.1252,104.5639,101.4074,102.6117,4609719
2015-02-23,102.9023,104.0982,100.6645,101.8494,3955496
2015-02-24,101.9589,103.5446,100.5573,102.0364,4969691
2015-02-25,102.4352,103.3355,100.1019,101.0223,5678642
2015-02-26,101.2064,101.8032,98.4949,99.5204,4566045
2015-02-27,100.4301,102.8614,99.3362,101.7341,6209203
2015-03-02,101.7966,104.9028,99.9472,103.0999,10702949
2015-03-03,103.6993,105.8794,102.2346,104.1994,6953283
2015-03-04,104.9293,107.2399,101.7287,103.6582,7579629
2015-03-05,103.699,106.424,101.8829,104.3714,5362749
2015-03-09,103.9676,106.1762,102.1589,104.7595,5567122
2015-03-10,104.7874,108.2567,103.638,106.2045,4766552
2015-03-11,106.2334,109.2149,104.3254,106.9235,5766142
2015-03-12,107.5215,111.0202,106.3696,109.8636,6651540
2015-03-13,110.2518,112.3434,107.9353,109.3373,15960734
2015-03-16,109.7125,111.4887,106.9911,109.3624,7535504
2015-03-17,109.7735,112.5765,107.9836,110.4281,7366483
2015-03-18,110.8373,113.0863,108.8768,111.2504,6435667
2015-03-19,112.218,114.2382,109.6584,110.4513,7303416
2015-03-20,110.4978,111.448,107.6256,109.4741,5485188
2015-03-23,110.3134,112.5993,107.8983,110.5392,4902612
2015-03-24,110.9274,113.2399,108.743,110.9675,4448120
2015-03-25,111.5058,113.5234,109.6202,111.2489,6025765
2015-03-26,111.1012,113.226,108.9431,110.841,5926244
2015-03-27,111.2017,112.7583,108.2959,110.8031,4477081
2015-03-30,111.8732,114.9916,110.7263,113.7415,3367730
2015-03-31,114.195,115.4737,111.7997,113.0355,3371866
2015-04-01,112.8972,115.7294,112.2769,114.2691,3824687
2015-04-06,114.7203,117.02,113.0986,115.3139,5202732
2015-04-07,115.8427,118.4838,113.7241,116.6565,5387293
2015-04-08,117.3276,120.0395,114.9383,117.0204,6234511
2015-04-09,117.2896,120.0748,115.247,117.6063,5485369
2015-04-10,117.9185,122.1587,116.5497,119.9444,10215071
2015-04-13,120.3896,121.6077,117.6117,119.1277,5695822
2015-04-15,119.464,121.3518,116.8974,118.4779,5502104
2015-04-16,118.7674,120.3485,115.909,117.0804,4930072
2015-04-17,117.3393,118.2446,114.8597,115.9277,4149149
2015-04-20,115.8056,118.7136,112.6475,115.9196,5250828
2015-04-21,116.6347,119.6467,114.4376,116.706,4511078
2015-04-22,116.5705,118.2319,111.8069,114.6537,5155740
2015-04-23,115.2398,117.4783,113.6625,115.0007,3891302
2015-04-24,115.356,115.6853,107.8113,109.1724,3848348
2015-04-27,109.0027,109.1422,102.5447,104.5984,6998172
2015-04-28,104.1457,108.2523,102.9155,106.9671,4638984
2015-04-29,107.2409,110.5722,106.3329,109.0089,2841076
2015-04-30,109.2086,112.1189,106.0261,108.851,6440772
2015-05-04,110.0678,113.2944,109.287,111.8974,3153512
2015-05-05,111.5594,113.7927,109.2576,111.2471,3733958
2015-05-06,111.0782,112.4049,105.4346,107.5152,4864232
2015-05-07,107.212,109.5149,102.7165,105.3487,3954149
2015-05-08,106.6712,110.4264,103.9081,107.7335,5690375
2015-05-11,108.2522,111.8017,106.184,109.4834,9611809
2015-05-12,108.8612,111.0433,106.5539,107.9825,5885559
2015-05-13,108.3372,110.7564,106.3565,108.5847,8166897
2015-05-14,108.5128,109.9135,106.7262,108.514,5336107
2015-05-15,108.9047,111.0747,107.2082,108.9814,5823806
2015-05-18,109.3008,111.0742,108.3131,110.0272,4306219
2015-05-19,110.25,111.8995,109.1467,110.2068,4156793
2015-05-20,111.0011,112.8284,109.7589,111.0995,3005098
2015-05-21,112.0931,112.9744,109.3966,110.6444,4289365
2015-05-22,111.703,114.4317,110.2871,112.8269,17403743
2015-05-25,112.8855,114.5545,110.9976,112.9798,5970468
2015-05-26,113.0177,116.118,112.0736,114.7598,9432894
2015-05-27,114.1468,118.3375,112.1963,115.8208,8811596
2015-05-28,116.2112,118.304,113.1286,115.912,8565996
2015-05-29,115.6377,119.0205,114.443,117.4897,7038172
2015-06-01,117.5458,119.3112,115.1775,117.0499,7516325
2015-06-02,117.4845,119.481,113.2762,115.107,5253460
2015-06-03,115.2981,116.4618,110.85,113.681,5017985
2015-06-04,114.1172,116.0636,111.719,113.6369,5091589
2015-06-05,113.6493,115.8032,112.3791,113.8349,3001382
2015-06-08,113.8581,114.7108,110.594,111.7556,2677390
2015-06-09,111.1267,113.2199,108.5105,111.6045,4285785
2015-06-10,111.8817,115.182,110.8448,113.179,6548873
2015-06-11,114.0029,115.0886,109.6038,110.3891,4970541
2015-06-12,110.4282,112.0833,107.5378,109.5156,3356124
2015-06-15,110.0473,112.0113,108.2546,109.6761,2965205
2015-06-16,110.0378,112.0993,108.3028,111.0073,3293257
2015-06-17,111.653,114.5582,110.4081,113.1982,5364573
2015-06-18,113.968,116.7202,112.4604,114.9674,4035203
2015-06-19,115.3184,117.406,113.4856,115.345,3149442
2015-06-22,115.9689,119.5811,114.7356,117.9086,6115736
