,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,6286422
2015-01-02,100.3078,102.1224,98.236,99.0053,4564682
2015-01-05,99.0026,102.5665,97.6761,99.3999,5088886
2015-01-06,98.3044,98.5786,93.0212,93.7601,6487256
2015-01-07,94.1764,98.1871,92.2389,95.7736,5117823
2015-01-08,97.7778,98.9378,95.3399,96.3717,4005287
2015-01-09,97.3334,99.0135,95.196,95.8599,3609114
2015-01-12,96.312,99.013,94.0642,96.924,4889319
2015-01-13,97.6979,99.7201,94.4253,95.5391,6499894
2015-01-14,95.5417,97.4948,93.9545,95.4049,5541184
2015-01-15,96.9088,99.222,92.2179,95.4415,6842689
2015-01-16,94.7161,99.4618,92.8561,97.6318,11482934
2015-01-19,98.8983,104.384,96.8008,100.4089,11105230
2015-01-20,99.0966,100.8422,95.5896,97.0874,15196321
2015-01-21,98.2514,99.5332,95.1477,97.0959,6649550
2015-01-22,97.4735,103.3517,93.9175,97.9415,13024454
2015-01-23,99.2112,101.8947,95.6285,98.506,7811528
2015-01-27,99.227,100.1402,95.8845,96.5014,3319549
2015-01-28,96.7482,98.2357,93.96,94.7248,4592698
2015-01-29,94.6966,97.4096,93.3638,95.9752,5616412
2015-01-30,96.4514,98.9899,94.1128,95.3276,4446209
2015-02-02,95.2163,97.8111,93.1803,96.3377,5517164
2015-02-03,96.8011,99.2996,94.8402,96.9059,3085405
2015-02-04,97.2677,100.8623,95.9069,98.1995,3826211
2015-02-05,98.7082,103.0501,97.0663,98.7652,9892414
2015-02-06,98.6031,100.209,96.0703,96.9922,3618222
2015-02-09,96.3615,98.1481,93.2908,94.7749,5094985
2015-02-10,94.6258,97.513,92.1863,93.6979,3093981
2015-02-11,94.1218,95.7167,92.8648,94.0178,2504976
2015-02-12,94.4423,97.6683,93.363,95.7782,5320545
2015-02-13,95.95,100.0315,95.3289,97.0512,5149926
2015-02-16,97.5091,99.8086,96.0624,96.6537,3644458
2015-02-18,97.0148,102.5177,96.4539,99.6615,8726883
2015-02-19,100.7506,102.5996,97.5185,99.5698,5843673
2015-02-20,99.3222,103.7071,98.0912,101.0696,6453392
2015-02-23,101.7083,105.4863,98.383,101.0363,7140079
2015-02-24,101.7884,102.6341,98.1431,98.9121,5804032
2015-02-25,99.9387,101.9724,97.5707,98.2941,3370039
2015-02-26,98.6614,99.8817,96.2068,97.4915,7327934
2015-02-27,97.7781,101.1434,97.1109,99.045,5167120
2015-03-02,98.6649,100.598,96.6464,98.7704,4408587
2015-03-03,99.395,106.8381,98.4654,104.9318,11852641
2015-03-04,105.637,106.9486,99.1369,100.3567,5333444
2015-03-05,100.8638,102.4849,98.5856,100.1301,3613446
2015-03-09,99.1701,101.1432,97.7719,99.3246,4240509
2015-03-10,99.8302,100.7475,96.1354,97.2722,3520944
2015-03-11,97.4777,99.0455,94.7741,96.2751,3674703
