,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,161440
2015-01-02,100.3524,103.352,99.8985,102.0219,487967
2015-01-05,102.6951,108.3085,101.6978,106.0654,935496
2015-01-06,105.4437,106.8465,101.3536,103.1876,725789
2015-01-07,103.3269,106.6069,101.7721,105.2806,803977
2015-01-08,106.3835,111.6815,105.796,109.8964,929847
2015-01-09,110.9026,113.2288,109.1967,111.9479,743767
2015-01-12,112.5099,113.8511,110.702,111.954,839474
2015-01-13,112.7149,113.8896,109.7485,111.5226,483186
2015-01-14,111.8113,113.6818,109.4177,111.9623,395253
2015-01-15,113.7634,114.5231,110.9169,112.3924,863685
2015-01-16,111.9859,114.9995,110.645,113.4593,551501
2015-01-19,114.3066,115.6822,112.982,114.371,574408
2015-01-20,114.6948,116.0846,113.1108,114.0514,420370
2015-01-21,114.5648,117.3547,112.8008,115.7094,462899
2015-01-22,116.0215,117.3457,114.4548,114.9233,417822
2015-01-23,115.5826,116.8259,112.8087,113.8824,345507
2015-01-27,114.1281,116.8023,112.6313,113.839,354346
2015-01-28,114.0891,115.715,112.5805,113.3161,430964
2015-01-29,113.257,115.1281,111.2566,112.6506,363501
2015-01-30,112.9644,114.6112,110.0737,111.0976,282528
2015-02-02,110.5827,114.4401,108.3794,110.4606,369458
2015-02-03,111.2393,113.2483,109.4056,110.2106,467978
2015-02-04,110.6224,111.9691,108.4715,109.6683,224488
2015-02-05,109.6451,111.2665,106.9354,108.3286,310905
2015-02-06,108.7168,109.0654,104.3808,106.5787,460213
2015-02-09,106.4635,107.114,102.7408,103.9055,263970
2015-02-10,104.3665,106.0084,101.9787,103.7677,285421
2015-02-11,104.344,106.4177,101.9336,104.1949,466914
2015-02-12,102.643,106.9498,100.7787,103.5337,1476161
2015-02-13,103.7771,106.4956,102.3244,103.3943,547817
2015-02-16,104.0475,108.2054,103.65,105.7946,558606
2015-02-18,106.102,107.5498,104.7854,105.5197,493122
2015-02-19,106.3145,107.0712,103.915,104.908,321530
2015-02-20,106.5009,107.9675,105.8645,106.5577,488111
2015-02-23,107.2042,107.4163,101.9541,103.6897,457691
2015-02-24,103.8997,104.7564,101.0327,101.6592,485927
2015-02-25,101.732,103.7208,100.9718,101.5357,410842
2015-02-26,101.6931,102.8588,99.5092,100.2368,700095
2015-02-27,100.3361,108.4243,99.6169,104.3307,1241682
2015-03-02,108.4034,109.8458,104.2441,106.4019,669341
2015-03-03,107.1678,108.0281,104.5309,105.669,514984
2015-03-04,106.0678,107.7279,103.5376,104.97,379695
2015-03-05,105.0452,106.3543,103.1953,104.0432,427477
2015-03-09,103.7233,106.3452,103.1088,104.6342,342456
2015-03-10,104.6195,105.9768,103.0733,104.255,266136
2015-03-11,104.2442,105.735,102.5845,103.8674,248049
2015-03-12,104.2049,105.4844,102.9417,103.8338,205616
2015-03-13,104.0368,104.5063,98.9623,99.8312,877977
2015-03-16,102.0753,104.4882,99.8028,101.5394,571543
2015-03-17,102.1484,103.4275,100.5365,101.4767,724543
2015-03-18,101.8781,103.0121,100.9955,101.8324,509749
2015-03-19,102.1577,102.7495,99.2118,99.6314,363386
2015-03-20,99.767,101.0815,97.1548,98.7568,461513
2015-03-23,99.1915,100.453,95.9773,97.8605,313895
2015-03-24,97.0101,99.6864,96.1144,98.4854,450262
2015-03-25,98.4459,99.816,97.4839,98.1861,361373
2015-03-26,98.1181,98.5542,95.6373,96.6188,780913
2015-03-27,97.307,98.4428,93.8737,95.4064,1219893
2015-03-30,96.3642,98.4341,94.6801,96.3052,1007842
2015-03-31,97.4604,98.771,95.4707,96.1857,858923
2015-04-01,96.0814,97.9451,95.5615,97.131,317798
2015-04-06,97.8317,100.04,96.1657,99.0699,588807
2015-04-07,99.8044,101.5496,98.0489,100.1035,380504
2015-04-08,100.7057,103.1505,99.4416,101.7102,360090
2015-04-09,102.4848,104.9824,101.5617,104.4885,778812
2015-04-10,104.8042,105.2516,101.6204,102.654,468597
2015-04-13,103.0697,104.6388,101.3531,101.9638,418040
2015-04-15,102.7045,106.9037,101.3432,104.213,644138
2015-04-16,103.4552,106.282,101.1297,102.7167,1115694
2015-04-17,101.6802,104.1778,99.7177,101.0233,451341
2015-04-20,100.4588,101.9835,97.5387,98.4925,643699
2015-04-21,98.9123,99.5619,95.6015,96.146,1172587
2015-04-22,95.9235,97.7692,93.9273,95.4522,1028720
2015-04-23,95.4705,98.3142,95.0116,95.7042,838141
2015-04-24,96.2755,96.3604,92.7133,93.6552,829382
2015-04-27,94.3908,96.1743,90.8733,93.8415,936558
2015-04-28,93.4418,96.0242,92.126,94.9377,470409
2015-04-29,94.407,96.5226,93.7202,94.7573,267481
2015-04-30,94.5825,98.2703,93.5555,96.5415,1853703
2015-05-04,97.5708,100.3157,95.8193,97.4864,415645
2015-05-05,98.8722,100.5457,96.3146,98.2099,559139
2015-05-06,98.3451,98.6815,94.3011,96.0961,837225
2015-05-07,96.1695,96.7041,93.9126,94.8852,531261
2015-05-08,95.7001,97.8541,94.1312,96.564,385623
2015-05-11,101.7064,105.4749,98.2295,104.7237,1652304
2015-05-12,105.391,107.3002,100.2168,102.0787,1373010
2015-05-13,102.3656,104.1253,100.6888,102.5947,685048
2015-05-14,103.1218,104.1407,101.1281,102.7028,431118
2015-05-15,102.7676,104.4804,101.6294,102.2412,360887
2015-05-18,102.7342,103.6343,101.778,102.4683,366595
2015-05-19,103.0023,105.7033,101.3938,104.4954,709529
2015-05-20,105.3971,107.2227,103.3844,105.2205,694008
2015-05-21,106.0325,108.2117,105.0798,106.9798,579348
2015-05-22,107.1431,107.5747,104.8176,106.0191,553709
2015-05-25,106.5516,107.2694,104.6806,106.1434,368425
2015-05-26,105.1613,107.6118,102.8162,105.3107,517965
2015-05-27,105.3845,105.541,102.1259,103.7917,845852
2015-05-28,104.4032,107.3501,101.9922,104.5563,2082432
2015-05-29,104.4371,106.6694,103.4136,105.5509,735707
2015-06-01,105.4399,106.1181,103.9182,104.6053,323904
2015-06-02,104.8404,105.2699,102.6203,103.4497,644893
2015-06-03,104.2361,104.8881,101.5007,102.7398,524263
2015-06-04,102.9403,105.5487,101.8508,102.8713,504183
2015-06-05,103.0393,104.6338,101.1995,101.8893,443946
2015-06-08,101.9866,103.1557,99.8702,101.1977,736188
2015-06-09,101.6697,102.4252,98.5358,101.2557,641028
2015-06-10,102.0224,103.3899,100.5363,101.453,432346
2015-06-11,103.2118,103.785,100.7322,101.4183,305188
2015-06-12,101.3141,101.8908,100.2685,101.1481,368244
2015-06-15,102.0602,103.9798,100.8172,103.04,468749
2015-06-16,103.8572,106.8694,101.8095,105.231,448078
2015-06-17,106.0578,107.0582,103.5738,104.592,552778
2015-06-18,105.1149,106.3263,103.8621,104.134,510876
2015-06-19,104.7929,106.5563,103.7911,105.4427,603398
2015-06-22,105.9033,107.6772,104.4911,105.4238,850197
2015-06-23,106.1478,107.6496,104.9905,105.9855,387681
2015-06-24,106.5593,107.7393,104.7185,105.7887,505048
2015-06-25,105.441,111.059,104.7566,109.3955,804840
2015-06-26,109.3018,110.246,107.1941,107.9294,303073
2015-06-29,107.1756,107.6874,103.4463,105.9232,420795
2015-06-30,105.357,110.9654,105.2849,109.5636,593784
2015-07-01,109.7713,113.0303,109.5203,111.7109,554394
2015-07-02,112.1279,113.0462,110.5484,112.1651,329845
2015-07-03,112.5276,114.202,110.9386,112.7269,454144
2015-07-06,112.0566,117.7843,110.7771,117.0434,660472
2015-07-07,117.6112,125.3338,117.1579,122.7093,1338578
2015-07-08,122.0655,124.9333,119.4844,121.9196,580960
2015-07-09,122.3195,123.894,120.2342,121.7538,424858
2015-07-10,122.5307,123.321,117.3857,119.2783,393260
2015-07-13,119.568,121.041,115.9633,119.4861,447961
2015-07-14,119.8042,121.8978,117.5613,118.5725,395655
2015-07-15,118.5814,122.4106,117.9131,120.2965,566543
2015-07-16,120.1052,122.6887,118.9846,120.1129,285128
2015-07-17,121.2632,122.2916,119.2884,120.7897,322705
2015-07-20,121.1005,122.9524,119.7934,121.4895,286040
2015-07-21,121.7295,122.5667,119.3758,120.5039,200178
2015-07-22,120.5748,125.3108,118.2408,122.3848,577930
2015-07-23,122.5673,128.5322,121.9315,126.7891,601654
2015-07-24,127.7954,130.9658,124.5147,125.7497,597801
2015-07-27,129.7825,130.905,125.9192,127.5005,561100
2015-07-28,128.4748,128.735,118.2613,122.2523,558212
2015-07-29,122.2198,124.9023,119.9814,121.8603,901097
2015-07-30,123.4489,127.5244,116.5153,124.527,637180
2015-07-31,123.1071,128.7762,122.2118,126.2999,410408
2015-08-03,128.5699,132.0654,127.2295,128.175,531900
2015-08-04,129.2999,130.7163,126.255,128.832,343741
2015-08-05,129.3216,131.1496,126.4643,128.318,882797
2015-08-06,128.5136,129.8573,124.2157,126.5754,1383438
2015-08-07,127.4149,128.2619,125.2148,126.665,684458
2015-08-10,127.4322,128.473,126.2521,127.0429,409733
2015-08-11,127.4904,127.7644,123.0479,125.9754,359578
2015-08-12,126.074,126.6876,121.6943,122.5933,399872
2015-08-13,123.1377,124.8459,120.2394,121.301,355906
