Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,32189889
2015-01-02,100.2302,101.4563,99.8719,100.5675,41686196
2015-01-05,100.5731,101.7356,99.8481,100.6203,37838628
2015-01-06,100.2125,100.5663,97.3156,98.0538,38632848
2015-01-07,98.2924,99.1718,96.6729,97.8754,32363976
2015-01-08,98.6212,100.0239,98.1445,99.2619,26227240
2015-01-09,99.8067,101.8818,99.1683,100.7754,37687561
2015-01-12,100.9978,102.0277,99.7447,100.9786,25089673
2015-01-13,101.1751,102.4724,99.9739,100.9289,34007440
2015-01-14,100.9186,101.7773,99.2802,99.9722,26899766
2015-01-15,100.7249,101.7866,99.2127,100.3585,27844292
2015-01-16,100.5288,102.4771,99.8821,101.55,25397167
2015-01-19,102.0409,103.8231,101.3621,103.0436,37299635
2015-01-20,103.4456,104.5853,102.3384,103.7272,74968532
2015-01-21,103.7556,105.1454,102.5587,104.0704,46202249
2015-01-22,104.0937,107.1899,103.6092,106.1167,53587216
2015-01-23,106.6333,108.7454,104.9987,106.765,58495939
2015-01-27,107.3823,109.1614,104.7876,107.2153,44426351
2015-01-28,107.2604,109.2504,105.5939,107.5346,55137613
2015-01-29,107.3035,110.1087,105.4999,108.2079,51712866
2015-01-30,108.6628,109.7004,106.3772,107.6836,48216726
2015-02-02,107.8956,109.9012,106.6509,107.9975,169912681
2015-02-03,108.4432,109.5964,105.8872,107.3932,75304709
2015-02-04,107.9875,109.9934,106.6517,108.2815,62434731
2015-02-05,108.3008,109.3435,106.1203,107.1745,62883713
2015-02-06,107.2723,108.3279,104.0499,105.1032,50820793
2015-02-09,104.5858,106.9202,102.7297,105.1965,41122522
2015-02-10,105.1969,107.0963,103.1802,105.1733,55801550
2015-02-11,105.6844,108.0691,104.3282,106.73,58273599
2015-02-12,107.3608,109.4122,105.8748,108.2211,63347758
2015-02-13,109.1902,111.8739,108.2282,110.0812,78560755
2015-02-16,109.5906,110.9469,108.0963,108.9589,46645485
2015-02-18,109.3843,110.8906,108.2732,109.5906,55506407
2015-02-19,109.9185,110.8599,107.9826,109.1831,36420569
