,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,3169245
2015-01-02,100.1437,102.0744,98.0943,98.8968,4872750
2015-01-05,99.2328,101.1937,97.7726,99.2,5900737
2015-01-06,98.6522,99.0183,95.7808,96.5846,5069795
2015-01-07,96.5511,97.3558,93.4691,95.3788,4662323
2015-01-08,95.332,98.2531,94.9209,97.2081,8614228
2015-01-09,97.7718,100.9327,96.8508,98.8179,8164269
2015-01-12,98.8631,100.7125,97.6071,99.3782,8042896
2015-01-13,99.5633,102.0794,97.7416,99.6557,16118455
2015-01-14,99.6875,101.4247,97.7168,98.8499,9323689
2015-01-15,99.6846,101.6633,98.0076,100.0447,14280910
2015-01-16,100.3182,101.7333,98.4886,99.441,9235084
2015-01-19,99.5133,101.5788,98.1874,99.2469,3929752
2015-01-20,99.5551,101.5431,98.3854,99.5573,6356776
2015-01-21,99.8139,102.3205,98.8334,100.599,6121069
2015-01-22,100.3762,102.5,99.3455,100.2469,5931816
2015-01-23,101.2106,102.834,98.5776,99.8479,9840683
2015-01-27,99.4111,101.3141,98.0744,99.2548,5907431
2015-01-28,99.4439,101.6907,97.8564,99.289,7279085
2015-01-29,99.5592,101.5228,97.7221,99.2559,4586517
2015-01-30,99.8562,101.2963,98.3376,99.1229,4879505
2015-02-02,99.3177,102.0365,98.0332,99.6712,10699089
2015-02-03,100.3653,101.339,98.4817,99.4112,10537683
2015-02-04,99.6055,101.6281,98.0525,99.613,13643402
2015-02-05,100.3989,102.4666,97.4827,99.4753,24868237
2015-02-06,99.6501,101.7594,97.553,99.651,23014484
2015-02-09,98.6284,100.444,96.9493,98.6516,5352382
2015-02-10,98.3298,100.236,96.6505,98.5461,8996327
2015-02-11,98.842,100.4137,97.8412,99.2312,5564278
2015-02-12,99.405,102.4742,98.185,100.1943,11696149
2015-02-13,100.4375,101.0386,98.1439,99.4833,6540826
2015-02-16,99.8239,101.0649,97.5697,98.496,3681214
2015-02-18,98.6135,101.2714,98.1689,100.1399,10355490
2015-02-19,100.3296,102.8179,98.4244,100.9741,8307974
2015-02-20,101.0184,102.157,98.8341,100.1863,4839201
2015-02-23,100.1965,101.5868,97.2474,98.3271,8410215
2015-02-24,98.3822,100.6634,97.1412,99.0,5872889
2015-02-25,99.2813,100.7995,97.0554,98.5225,7874033
2015-02-26,98.0973,100.4384,96.7255,97.9894,6232004
2015-02-27,97.9009,100.8902,96.9684,99.441,6700501
2015-03-02,99.1462,100.1628,97.0453,98.9832,6848929
2015-03-03,99.3082,100.4411,97.3984,98.4226,4487146
2015-03-04,99.0009,100.3825,96.2768,97.6132,11213432
2015-03-05,97.8027,99.0496,95.5964,97.0153,5492574
2015-03-09,96.857,99.0766,95.5083,96.9449,5063788
2015-03-10,97.3777,97.9754,95.0346,95.6929,6445756
2015-03-11,95.6112,96.4775,93.718,94.4774,5319266
2015-03-12,94.7912,97.3754,94.3921,95.7929,8733495
2015-03-13,96.2347,97.1227,94.2583,95.1058,5795852
2015-03-16,94.942,96.1131,92.7672,94.0159,3367381
2015-03-17,94.4253,95.9725,93.3331,94.3928,4268233
2015-03-18,94.2927,95.6369,93.1525,94.5108,5100463
2015-03-19,95.64,100.0976,93.0319,96.4079,7007506
2015-03-20,96.3578,98.4969,93.4556,95.7027,8833246
2015-03-23,96.5643,97.6169,92.9201,94.2495,4737016
2015-03-24,94.7325,95.667,91.998,93.3129,5383260
2015-03-25,93.6444,95.8411,92.2582,94.5527,5316530
2015-03-26,94.0599,95.6708,91.1415,93.9276,7815633
2015-03-27,93.6084,96.0674,91.083,94.293,6906799
2015-03-30,94.8633,97.8805,93.5565,96.3897,4903787
2015-03-31,96.1876,98.4433,94.2632,96.5338,5054826
2015-04-01,96.4248,98.0287,93.973,96.7578,4968113
2015-04-06,96.6412,98.8375,95.2772,97.6839,13133610
2015-04-07,98.1078,100.4242,95.7984,96.7334,7136347
2015-04-08,97.2911,99.2762,95.7334,97.6724,5043334
2015-04-09,97.7681,100.0394,95.2509,97.8731,10009250
2015-04-10,97.8046,100.2714,95.5103,97.5286,7389410
2015-04-13,97.8782,99.2165,95.9579,97.3531,9065786
2015-04-15,97.3033,99.4415,94.7562,96.3093,9742596
2015-04-16,95.907,97.1881,93.6019,94.9303,6207793
2015-04-17,94.9474,96.0988,92.4574,93.4871,4994664
2015-04-20,93.5767,94.2701,89.8118,91.1978,7884160
2015-04-21,91.2537,93.663,90.0364,91.8341,5495179
2015-04-22,92.1451,94.0003,90.1124,92.4276,8599012
2015-04-23,92.4092,94.1356,90.606,91.6855,4783634
2015-04-24,91.6695,92.4208,87.2489,88.6857,6305786
2015-04-27,89.0508,89.8941,84.7577,86.7863,5420658
2015-04-28,86.8486,89.937,85.3148,89.0669,7850211
2015-04-29,88.9069,91.3137,87.3751,89.9356,3954154
2015-04-30,89.5773,91.6923,87.5873,90.0937,5926668
2015-05-04,90.3106,93.0436,89.6036,91.8502,2753563
2015-05-05,91.711,93.3128,89.099,91.0571,3169419
2015-05-06,90.7968,91.4434,86.151,87.6138,4416330
2015-05-07,87.8123,88.6988,85.7738,86.8932,4287040
2015-05-08,88.1252,89.722,86.9147,88.3387,2681874
2015-05-11,88.7478,90.9084,87.776,89.0706,4148582
2015-05-12,89.0103,89.456,86.9036,87.5018,2381214
2015-05-13,87.9519,91.1295,86.3824,89.7807,6060563
2015-05-14,89.9795,93.4237,88.5431,91.6074,13634610
2015-05-15,93.0082,95.618,90.9978,93.4515,31627673
2015-05-18,93.5274,94.6705,91.6732,93.2544,10014146
2015-05-19,93.2576,96.5322,92.2459,94.5982,6958027
2015-05-20,94.8866,97.3087,93.3375,95.1683,6688081
2015-05-21,95.6592,96.4902,93.7463,95.2614,5858189
2015-05-22,95.3541,96.0386,93.5472,94.2307,3791950
2015-05-25,94.0373,95.0518,91.298,93.0696,3741732
2015-05-26,92.7919,94.2974,91.7077,92.6786,3069805
2015-05-27,91.9371,94.8481,91.0199,93.0353,4318471
2015-05-28,92.4756,93.0648,89.7612,90.8855,5420208
2015-05-29,91.8147,94.357,90.1369,92.6031,9323614
2015-06-01,92.7073,94.6402,91.2447,92.8384,4391867
2015-06-02,92.4599,93.7023,89.465,90.6648,4885050
2015-06-03,91.1375,91.9716,87.0858,89.0708,4702222
2015-06-04,89.201,90.4667,86.966,88.2753,3406707
2015-06-05,87.9146,90.2221,87.2213,88.7401,2060973
2015-06-08,89.1309,90.0065,86.7133,88.1357,2430488
2015-06-09,87.8326,88.7471,86.1753,86.9394,2619524
2015-06-10,87.2043,89.6792,86.4488,88.0695,5124315
2015-06-11,88.6094,89.5171,85.8733,86.4576,3815654
2015-06-12,86.1175,88.3313,84.7766,86.4655,3402678
2015-06-15,86.4104,90.7941,85.92,89.4317,3373298
2015-06-16,89.0528,90.0604,86.9427,88.54,4189871
2015-06-17,88.7512,91.5754,86.8408,89.7147,5629484
2015-06-18,90.2628,92.8577,88.608,91.061,5005691
2015-06-19,91.1446,93.3328,89.7198,91.9894,4665440
2015-06-22,92.3615,93.5448,90.6202,91.538,5331873
2015-06-23,91.8458,93.4147,90.5474,91.0419,6103163
2015-06-24,91.4407,92.2592,89.9605,90.6391,3818484
2015-06-25,90.3663,92.4763,89.3778,91.0451,3267040
2015-06-26,90.995,92.6774,88.8701,89.9485,7372950
2015-06-29,87.9652,89.3262,86.8174,88.2917,3772092
2015-06-30,88.2636,90.6943,87.3256,89.5721,4238367
2015-07-01,89.1987,92.2897,88.2549,90.6869,4910524
2015-07-02,91.313,93.0203,89.2986,91.3234,4297785
2015-07-03,91.332,93.0275,89.996,90.8961,4960524
2015-07-06,90.0089,92.2558,89.4614,91.2431,5616204
2015-07-07,91.4326,94.0623,90.6396,91.8579,10877501
2015-07-08,91.3226,93.1593,89.9983,91.3356,9306348
