,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,32923921
2015-01-02,100.14,102.152,99.9187,101.2233,52374959
2015-01-05,101.3442,102.5188,100.1655,101.1164,51353812
2015-01-06,100.4946,101.0415,97.1301,97.9015,80815111
2015-01-07,98.0265,99.5608,96.3924,98.4895,59295207
2015-01-08,99.2056,100.6854,98.669,100.1173,59700443
2015-01-09,100.5636,101.23,98.044,98.8522,50529890
2015-01-12,98.8891,100.3316,97.626,99.3437,63661650
2015-01-13,99.1943,100.133,97.6787,98.2662,49793446
2015-01-14,98.4571,99.8231,97.1332,98.2581,73945060
2015-01-15,99.2947,101.5664,98.3226,100.4168,70251412
2015-01-16,100.1601,102.4745,99.2378,101.3186,61046014
2015-01-19,101.414,103.3392,100.6476,102.2343,51344468
2015-01-20,102.7221,103.7058,101.4636,102.2638,56478601
2015-01-21,102.4146,103.1234,101.0477,102.0629,45367716
2015-01-22,102.2436,103.8046,100.666,101.8328,56605218
2015-01-23,102.6476,105.2893,101.1381,104.3986,151803847
2015-01-27,104.7432,106.1678,103.1296,104.7105,107096111
2015-01-28,104.6802,106.249,103.0723,104.2295,97992065
2015-01-29,104.2516,105.3626,102.9165,104.4527,149542074
2015-01-30,104.8085,107.6293,103.5989,105.6235,158706123
2015-02-02,105.9645,107.6404,104.4194,106.0383,93172229
2015-02-03,106.5665,107.786,103.5534,104.629,83690108
2015-02-04,105.0188,106.5119,103.1909,104.2479,81287609
2015-02-05,104.2525,105.093,99.984,100.9492,83159896
2015-02-06,100.8519,101.8912,98.6134,100.1374,75676273
2015-02-09,99.3195,100.5574,97.449,98.6481,66740699
2015-02-10,97.8108,100.807,96.7267,98.9024,76065273
2015-02-11,99.4185,101.9934,98.809,100.8899,69869994
2015-02-12,101.6378,104.0792,100.5132,103.0229,109602684
2015-02-13,103.4498,104.4735,102.1127,103.3765,62938905
2015-02-16,103.2478,105.1405,102.2329,103.4003,95538127
2015-02-18,103.6988,106.769,103.0596,105.5638,123174341
2015-02-19,105.9794,108.0359,103.2068,107.1825,152362283
2015-02-20,107.2569,108.0873,105.2804,106.3052,126881826
2015-02-23,106.3998,108.2554,104.8202,106.4257,155991329
2015-02-24,106.5631,108.1483,105.3714,106.5504,122588200
2015-02-25,107.0226,107.9905,104.9853,105.6873,79800187
2015-02-26,105.8512,108.3837,104.0708,106.6325,131230554
2015-02-27,106.9424,110.7344,106.457,110.0925,107078496
2015-03-02,108.9421,110.3948,107.023,108.7054,69803454
2015-03-03,109.0242,110.2798,107.7203,109.3283,84997574
2015-03-04,109.9305,111.3347,106.8796,107.9213,141139589
2015-03-05,107.9458,109.6989,106.4745,108.7463,165627823
2015-03-09,108.0691,108.8114,104.4291,105.2679,129508242
2015-03-10,105.7857,106.4517,103.0248,103.894,98719643
2015-03-11,104.1538,105.9408,102.2095,104.265,104470960
2015-03-12,104.6379,108.3553,104.1082,106.4218,81316372
2015-03-13,107.0433,107.8705,104.3168,105.0581,86315843
2015-03-16,105.2298,105.9552,103.1405,104.0575,60470156
2015-03-17,104.6244,106.1028,103.3808,104.9786,63387558
2015-03-18,105.1527,106.1882,102.7048,103.6758,75688030
2015-03-19,104.3793,105.8417,101.8385,103.3834,81443005
2015-03-20,101.3251,103.1423,99.6288,101.2844,92210480
2015-03-23,101.5689,103.3327,100.3731,101.8875,56462891
2015-03-24,101.8556,103.5608,100.7427,102.0799,64498608
2015-03-25,102.5541,103.1763,99.8991,100.5847,70043742
2015-03-26,100.3642,101.8027,98.4185,99.2206,115182754
2015-03-27,99.9397,100.6762,97.5627,99.3233,66636742
2015-03-30,99.7227,101.4556,98.8642,100.5444,59385175
2015-03-31,101.2046,102.1038,99.5083,100.7688,85023406
2015-04-01,100.8171,102.6547,100.2679,101.6234,49462324
2015-04-06,102.007,103.757,100.8759,102.7418,53052158
2015-04-07,103.0279,104.6884,101.8795,104.1618,54888643
2015-04-08,104.264,105.6236,102.8931,104.0801,55737501
2015-04-09,104.4153,106.0751,103.3256,105.0682,62461190
2015-04-10,105.2307,107.2899,103.9882,105.8852,59703151
2015-04-13,106.0301,107.9175,104.8565,106.8484,55203242
2015-04-15,106.7963,108.1646,104.4958,105.3735,61990847
2015-04-16,105.2364,106.2369,103.1975,104.7727,62306319
2015-04-17,104.6028,106.1444,103.6446,104.7088,46915928
2015-04-20,105.0492,105.7534,101.9049,102.5765,48356408
2015-04-21,102.9259,104.2196,100.947,101.6767,59706786
2015-04-22,102.0715,103.1141,100.6767,102.1828,45910788
2015-04-23,103.0841,103.5648,100.7264,101.3728,45149927
2015-04-24,101.5792,102.1252,99.5567,100.6338,48499300
2015-04-27,101.0002,101.9645,98.0946,98.6204,52888493
2015-04-28,98.445,101.0176,97.2959,100.1311,61854533
2015-04-29,100.1497,101.2094,99.102,100.0256,41837386
2015-04-30,99.6916,100.7981,98.026,99.4463,94665829
2015-05-04,99.894,102.2172,99.1547,101.4799,52079675
2015-05-05,101.2013,102.4264,99.5812,100.7166,54962763
2015-05-06,100.3998,100.6549,96.1465,96.8729,65742360
2015-05-07,96.689,97.3118,94.0242,95.1697,68450087
2015-05-08,96.0466,97.3208,94.9676,95.7767,47220375
2015-05-11,96.3584,98.1166,95.5305,97.3648,64413790
2015-05-12,97.2282,97.5741,93.5726,94.276,62508375
2015-05-13,94.8381,96.4654,92.505,94.8123,66569305
2015-05-14,94.8519,96.7883,93.7398,95.2725,55625896
2015-05-15,95.8449,96.7947,93.7639,94.5806,56766135
2015-05-18,94.9458,96.0157,93.9289,95.0692,62434485
2015-05-19,95.2296,96.6343,93.8089,94.8242,61598440
2015-05-20,95.5408,96.5762,94.5338,95.3021,52799975
2015-05-21,95.5742,96.0478,93.8155,94.7272,69002800
2015-05-22,94.7191,95.6434,93.3688,94.3713,60504021
2015-05-25,94.4051,95.2928,93.3928,94.2919,39773958
2015-05-26,94.4455,94.7421,92.9049,93.5048,49294161
2015-05-27,93.4681,95.0209,92.419,94.0105,51217172
2015-05-28,94.4313,95.2973,92.8094,93.9223,101344450
2015-05-29,93.9158,95.9078,93.2053,94.5782,112261573
2015-06-01,95.4557,96.8731,93.7978,95.1712,77829061
2015-06-02,95.1008,95.5648,92.7788,93.6862,73836048
2015-06-03,93.6869,94.4089,87.4641,90.8923,245044946
2015-06-04,91.1625,92.0632,88.9664,90.407,106117689
2015-06-05,89.8862,92.4604,89.1474,91.1261,65351669
2015-06-08,91.6615,92.3988,89.378,90.6973,70199144
2015-06-09,90.6152,91.8884,89.4205,90.9701,56548569
2015-06-10,91.3075,92.5339,90.5399,91.4408,52536309
2015-06-11,91.7525,92.2525,88.644,89.2928,61503871
2015-06-12,89.0031,90.0947,87.5227,89.1335,49167963
2015-06-15,89.1957,90.4975,87.5254,88.7606,67523647
2015-06-16,88.5963,90.2783,87.6219,89.4997,72648484
2015-06-17,89.6121,90.4099,88.4578,89.1787,68099516
2015-06-18,89.2727,90.4397,88.1238,89.3078,178241803
2015-06-19,89.6959,90.5494,88.1127,88.9982,112239070
2015-06-22,89.3839,91.2792,88.8207,90.4873,92480454
2015-06-23,90.5263,92.3151,89.5228,91.2229,121533589
2015-06-24,91.6126,92.6191,90.0117,90.6732,107105382
2015-06-25,90.3834,92.1026,89.5616,91.0969,174623919
2015-06-26,91.0154,92.3436,89.5243,90.9667,103379115
2015-06-29,89.5006,90.869,88.3053,90.0766,68052136
2015-06-30,89.8348,90.9332,88.8067,89.9359,62733612
2015-07-01,89.9646,91.9364,89.5263,91.0299,61181021
2015-07-02,91.3387,91.8621,90.0981,90.5623,51319365
2015-07-03,90.3478,91.6223,89.3009,90.2976,50622650
2015-07-06,89.2282,91.2999,88.5232,90.5719,62390743
2015-07-07,90.9621,91.8358,89.2867,89.9784,95091137
2015-07-08,89.0071,90.1611,87.6614,88.9804,81254393
2015-07-09,88.9399,90.0458,88.1507,88.6829,45745232
2015-07-10,89.2495,89.9258,87.208,88.2123,272429462
2015-07-13,88.3554,90.0062,87.5807,89.447,57276186
2015-07-14,89.6438,90.8779,88.9021,89.8548,68506282
2015-07-15,89.9811,90.9795,89.3552,89.9036,58271445
2015-07-16,90.416,91.2846,89.5116,90.5127,254019529
2015-07-17,90.7231,92.2103,90.1793,91.4353,135893823
2015-07-20,91.7064,92.1756,90.6038,91.0094,89076584
2015-07-21,90.9237,91.5812,89.1894,89.6079,82015011
2015-07-22,89.5244,91.5432,88.7531,90.8367,76948112
2015-07-23,90.808,91.5788,89.6231,90.4142,72511816
2015-07-24,90.3116,91.0275,89.2837,89.9666,76383429
2015-07-27,89.8293,90.6548,87.6029,88.1612,83868394
2015-07-28,88.2224,89.4899,86.5694,88.1253,83041618
2015-07-29,88.0747,88.8601,86.3487,87.2462,91550430
2015-07-30,87.4492,89.7663,86.8501,88.2206,152770532
2015-07-31,88.5197,89.4014,87.2875,87.9727,86842287
2015-08-03,88.165,89.6168,87.4782,88.3495,78411046
2015-08-04,88.5348,89.8545,87.4585,88.8589,115508670
2015-08-05,89.2963,90.8493,88.503,89.6138,122744360
2015-08-06,89.9139,91.4185,88.7517,89.9217,115252654
2015-08-07,89.7678,91.2363,88.5603,89.3186,78506484
2015-08-10,89.5754,90.7537,87.7107,88.3476,103611605
2015-08-11,88.6518,89.6543,86.6615,87.9485,89995656
2015-08-12,87.6272,88.3062,85.2532,85.7914,77224607
2015-08-13,86.0407,87.604,82.9902,85.3416,93948783
2015-08-14,85.7137,87.688,84.9984,87.1006,71993952
2015-08-17,87.2745,88.3519,85.7169,86.9411,43758935
2015-08-18,87.3459,88.0689,85.6907,86.6206,54549143
2015-08-19,86.6215,87.4629,85.358,86.0463,49597094
2015-08-20,85.4745,86.8123,84.1524,84.9458,66596486
2015-08-21,84.0188,84.9676,82.4077,83.9166,55176726
2015-08-24,81.787,82.4654,75.1585,76.848,151473216
2015-08-25,78.1067,80.5141,72.0873,77.5166,155611006
2015-08-26,77.5702,80.5966,75.8411,78.5437,85623426
2015-08-27,79.9205,81.699,78.2313,80.0299,157358532
2015-08-28,81.3398,82.9575,79.3842,80.5467,83878838
2015-08-31,80.4625,81.8344,78.8265,79.839,66106631
2015-09-01,79.0451,80.1178,77.3501,78.1946,68762026
2015-09-02,78.7853,79.2522,75.9685,76.6783,61310997
2015-09-03,77.2663,79.5123,76.831,78.538,51274597
2015-09-04,78.2157,78.5108,74.8655,75.9066,84736892
2015-09-07,76.3789,77.1044,74.0815,74.8589,87817004
2015-09-08,75.4041,78.0429,74.3749,76.9308,75164407
2015-09-09,78.6715,80.3668,77.0591,79.1412,75304482
