,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,17630153
2015-01-02,99.6689,106.0565,99.6689,103.5329,27641803
2015-01-05,103.9651,107.4997,102.0739,103.1909,23555709
2015-01-06,101.356,102.6393,94.362,98.7176,27921004
2015-01-07,98.7061,115.1076,97.5432,108.7985,88293406
2015-01-08,110.9353,114.0113,106.4391,108.8098,50927361
2015-01-09,109.3091,111.5473,104.2422,105.2603,25138460
2015-01-12,106.9021,113.3406,106.1416,112.3521,31270320
2015-01-13,113.0499,115.8212,108.0406,110.4271,28293577
2015-01-14,110.8811,111.7683,106.393,109.5553,29692266
2015-01-15,112.8345,114.7296,108.4782,109.1212,23312975
2015-01-16,109.0635,117.1898,107.1708,115.4835,66943024
2015-01-19,116.6639,128.5051,112.349,125.0351,136896942
2015-01-20,127.1743,129.5465,119.4551,126.6881,91245246
2015-01-21,128.226,129.0113,121.5257,124.5154,49672124
2015-01-22,130.0777,134.0567,115.9571,117.6132,158370519
2015-01-23,118.7065,119.3374,106.2349,111.1042,82881575
2015-01-27,114.4287,117.5941,113.4642,114.4395,39464664
2015-01-28,116.2512,122.5724,115.2386,120.918,51237547
2015-01-29,123.0771,125.9391,119.6238,124.0235,30279464
2015-01-30,125.0952,126.515,119.6343,123.0196,37720426
2015-02-02,123.9875,129.7019,122.7256,126.8627,35666003
2015-02-03,129.8264,135.5047,126.6718,130.7728,66710882
2015-02-04,132.857,139.1662,131.2412,134.4319,79589101
2015-02-05,135.5613,139.6623,128.561,130.4537,48691484
2015-02-06,129.6241,130.9136,122.9669,127.0715,34410369
2015-02-09,124.4462,134.8563,122.5064,131.3597,70362890
2015-02-10,128.8351,139.0209,126.9182,130.6801,52607221
2015-02-11,134.9113,136.5259,129.7732,131.8225,37030886
2015-02-12,133.0988,142.8206,130.5664,140.1664,97025001
2015-02-13,140.0313,145.8293,130.1721,141.0697,154464016
2015-02-16,164.7209,166.0177,152.7275,166.0177,254700154
2015-02-18,174.6107,196.0847,169.4092,190.722,301450134
2015-02-19,194.9692,195.9276,176.5549,180.7471,119520471
2015-02-20,179.4302,190.6816,175.8499,185.3043,81881110
2015-02-23,187.3424,193.4926,182.1015,184.655,66277803
2015-02-24,191.9084,197.5353,187.232,190.2074,94601025
2015-02-25,191.7581,193.8436,185.8539,188.3202,50321085
2015-02-26,189.7159,191.6687,184.1616,187.502,29923591
2015-02-27,185.6249,204.4809,183.5145,201.6394,116947061
2015-03-02,197.6386,202.6859,194.744,196.9522,49284522
2015-03-03,195.8132,198.6586,190.7659,192.6586,41007653
2015-03-04,193.0828,195.2468,176.4445,180.8609,52558965
2015-03-05,179.5119,190.2697,176.32,187.4363,54126359
2015-03-09,187.2869,196.6649,185.3055,192.5447,84115999
2015-03-10,196.2097,197.5504,189.4352,191.4654,36671605
2015-03-11,191.9961,194.0179,180.3525,182.5033,40310221
2015-03-12,184.6698,195.338,182.9559,192.6957,44718762
2015-03-13,195.7297,197.0801,184.1662,186.3911,59081639
2015-03-16,187.145,191.1757,182.8133,184.4014,33208506
2015-03-17,185.3954,192.3786,184.1562,187.447,37871256
2015-03-18,187.766,210.1672,186.014,207.6159,167873800
2015-03-19,211.4097,220.6072,197.1711,201.4384,149654085
2015-03-20,200.8195,206.8228,186.295,190.1594,111522831
2015-03-23,192.4677,198.4303,185.3197,192.1522,68044282
2015-03-24,192.4629,196.1551,188.5254,190.7551,37269912
2015-03-25,192.2272,194.1332,186.8583,187.8191,29844988
2015-03-26,186.3396,190.9652,183.1623,184.9977,33332364
2015-03-27,188.3434,191.4478,180.1414,186.9094,42473305
2015-03-30,189.4402,196.2454,188.9837,194.0372,41995651
2015-03-31,195.9038,198.3701,190.9569,192.2904,33975888
2015-04-01,191.3694,193.09,181.3966,187.0247,93373030
2015-04-06,193.1739,198.7517,191.5918,194.8874,74702692
2015-04-07,196.3131,211.8493,193.4669,210.272,131733190
2015-04-08,211.7635,216.438,201.4716,202.9511,120922767
2015-04-09,206.3854,210.8879,196.4684,207.3114,287818571
2015-04-10,208.6161,210.1369,201.7734,203.1358,67537029
2015-04-13,203.7391,208.2642,199.6375,203.0545,48347950
2015-04-15,203.7589,211.735,199.7797,204.359,82965328
2015-04-16,205.1424,212.1922,199.3654,207.1664,70135857
2015-04-17,207.0222,212.4667,202.8992,205.4155,60403858
2015-04-20,205.1263,206.1104,193.8587,195.7389,41051926
2015-04-21,196.0793,198.9479,191.0298,192.4063,40951157
2015-04-22,193.5597,196.7158,184.3276,192.0086,51055319
2015-04-23,193.8568,196.8356,189.6189,190.9797,30221501
2015-04-24,192.1309,192.8821,180.5807,182.758,53055965
2015-04-27,184.4051,185.9477,170.587,173.8388,61308369
2015-04-28,171.0142,184.743,170.0055,181.5841,44209592
2015-04-29,182.689,189.241,178.4571,180.1008,53873147
2015-04-30,180.4059,183.9935,177.7687,180.682,36139643
2015-05-04,182.1559,188.425,181.66,186.3894,35091409
2015-05-05,187.0977,188.0775,179.986,181.5989,28910771
2015-05-06,181.0538,181.3844,171.4408,173.2304,46902900
2015-05-07,172.9283,177.2565,170.2717,173.0275,44597698
2015-05-08,176.2207,182.2886,175.3425,179.3441,35210718
2015-05-11,180.9355,187.1324,180.0539,182.804,29321012
2015-05-12,183.1198,183.7561,175.0107,175.9461,26337213
2015-05-13,177.8836,184.7305,175.8787,182.3579,31912027
2015-05-14,181.5713,186.0395,178.7026,183.0084,25306216
2015-05-15,184.6745,195.1802,184.5477,191.5984,65773309
2015-05-18,193.8608,198.8583,184.0651,192.1562,67398523
2015-05-19,193.0652,198.3344,190.3599,194.2266,59275807
2015-05-20,195.2628,196.7592,188.4809,189.8178,23547332
2015-05-21,189.2347,191.9626,185.0666,187.3766,19278722
2015-05-22,187.7065,191.2254,185.1661,186.4469,16198807
2015-05-25,186.8325,189.4528,183.2821,184.5159,20926970
2015-05-26,184.9276,189.7711,181.8225,185.276,36161522
2015-05-27,183.605,186.6876,181.6036,185.4055,19117218
2015-05-28,186.1748,190.754,185.872,187.4304,24963356
2015-05-29,188.0365,190.2794,183.6193,186.1422,25725739
2015-06-01,180.1683,183.7992,177.213,179.2418,34704666
2015-06-02,179.1836,181.6306,172.1198,173.3856,42968315
2015-06-03,173.7801,175.2871,153.8655,162.557,86422728
2015-06-04,164.4267,166.7689,159.7332,164.821,32538656
2015-06-05,164.9419,168.0029,161.9625,164.6366,25179192
2015-06-08,164.8195,166.4767,157.5373,160.1455,20465058
2015-06-09,159.7055,161.6549,156.8438,159.2846,34587965
2015-06-10,160.3187,162.7243,158.0082,160.3335,29698186
2015-06-11,161.1334,166.8568,156.791,160.5663,45491537
2015-06-12,161.4523,167.3299,159.4076,165.2209,32976151
2015-06-15,164.9837,168.4441,163.0794,166.2714,25265960
2015-06-16,165.9393,168.1273,162.5961,164.8261,18587206
2015-06-17,166.5631,169.2817,163.8688,166.8218,19968746
2015-06-18,167.3858,176.0826,166.4742,171.5608,39226172
2015-06-19,173.1797,177.4437,170.5859,174.4596,36108667
2015-06-22,176.7416,183.0608,175.1476,180.3933,48315365
2015-06-23,181.8408,183.937,176.4248,177.6881,28717240
2015-06-24,178.5856,180.3192,168.6869,171.0862,25669201
2015-06-25,170.7499,174.3846,167.7356,173.1691,33510129
2015-06-26,172.456,174.4415,169.3935,170.5223,30224135
2015-06-29,163.389,168.5524,160.2593,166.6075,26930122
2015-06-30,167.6816,172.5106,166.3055,170.2054,30191466
2015-07-01,171.6576,177.0794,170.5453,175.2789,36866664
2015-07-02,177.8606,180.9037,173.3024,175.2316,26895758
2015-07-03,175.1132,179.3299,171.5337,174.022,21352296
2015-07-06,170.3559,179.7995,169.9041,178.3008,24084742
2015-07-07,179.3629,181.0399,175.3448,176.7377,19664556
2015-07-08,173.8373,176.6952,169.2234,171.9025,26981483
2015-07-09,173.2518,184.2969,172.0212,178.4936,66283697
2015-07-10,180.1401,181.5861,176.7714,179.2488,38804618
2015-07-13,179.1016,182.5962,177.3607,180.9237,18886416
2015-07-14,182.5884,183.0397,176.6643,177.4812,18491416
2015-07-15,178.9562,181.0393,175.2345,176.8528,16309702
2015-07-16,177.9016,181.4623,175.9498,178.2684,21381132
2015-07-17,178.3654,180.9515,176.615,178.4254,20247498
2015-07-20,179.207,182.9145,176.8965,179.1299,28794605
2015-07-21,179.4565,179.5292,168.393,169.7791,32285144
2015-07-22,170.3236,173.2431,168.7909,171.1907,21923540
2015-07-23,172.2852,172.9789,167.9033,168.8491,14222549
2015-07-24,169.1066,173.4372,167.0717,168.3622,16405042
2015-07-27,167.4436,172.1568,163.3246,167.408,18494110
2015-07-28,166.9086,168.4427,160.611,161.4086,22835007
2015-07-29,162.9471,166.9174,161.072,164.0645,17330421
2015-07-30,165.9462,169.0991,164.2113,166.7678,23223565
2015-07-31,168.9012,172.5536,164.6773,167.3114,51013493
2015-08-03,174.6221,186.7945,172.7547,178.7486,173936928
2015-08-04,180.6226,182.2275,175.6419,178.0422,47026830
2015-08-05,178.9399,192.8074,178.0802,190.6815,150497933
2015-08-06,191.6009,196.1984,184.1127,185.5261,88320042
2015-08-07,185.8712,187.8892,179.4177,180.7938,48968452
2015-08-10,182.0266,184.1206,175.0713,176.1074,49402840
2015-08-11,177.7254,179.4905,170.1797,172.4348,36089376
2015-08-12,170.3472,177.6625,166.4448,170.8658,56457781
2015-08-13,172.4473,176.4502,168.5178,170.2385,34136513
2015-08-14,171.4174,177.0561,170.5491,174.5669,30525763
2015-08-17,174.443,175.0481,168.2415,169.8538,19970615
2015-08-18,170.9116,174.3967,168.6402,169.8233,21905634
2015-08-19,170.1886,178.1114,168.3385,174.1948,47625350
2015-08-20,173.7284,181.1448,171.1399,173.5319,89943091
2015-08-21,168.691,172.6635,165.7106,170.8873,31790920
2015-08-24,163.42,167.3511,147.5239,150.3527,58684273
2015-08-25,152.0614,160.5272,139.5043,154.0721,66161975
2015-08-26,153.8029,157.708,149.1357,152.262,25604669
2015-08-27,156.8635,160.2868,154.5892,157.7871,16282683
2015-08-28,161.4916,167.0666,156.5466,157.3728,26123847
2015-08-31,157.4625,159.8043,155.4549,158.2029,17183773
2015-09-01,156.8248,161.2511,152.2037,155.2795,25250723
2015-09-02,158.4574,159.5088,155.2349,156.3194,24669351
2015-09-03,158.152,162.2341,156.0732,159.3862,22604480
2015-09-04,158.4822,158.9816,151.4504,153.2223,27013837
2015-09-07,154.3902,154.9518,145.4459,146.5919,29899316
2015-09-08,147.5942,151.3754,142.5469,149.0977,34096214
2015-09-09,152.4316,162.9333,150.5968,160.345,60452498
2015-09-10,156.9318,158.9361,153.0449,157.5925,35602868
2015-09-11,159.3775,161.2477,156.6587,158.4088,30268279
2015-09-14,159.8241,161.5118,157.3497,159.3481,25940003
2015-09-15,159.2408,160.224,153.3382,154.2993,17346546
2015-09-16,155.8856,157.2521,153.154,154.2213,14777622
2015-09-18,156.125,159.3588,153.6905,154.3267,19971094
2015-09-21,151.5845,156.59,151.2295,155.4162,16430614
2015-09-22,157.0346,158.033,149.194,150.3284,22769226
2015-09-23,148.9824,152.2173,146.8117,147.8487,35986915
