Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,1957121.0
2015-01-02,100.0,101.28,99.61,100.18,5706873.0
2015-01-05,100.28,102.82,100.01,101.47,8752131.0
2015-01-06,100.99,101.31,99.37,99.95,10981455.0
2015-01-07,99.86,101.46,99.15,100.76,11791711.0
2015-01-08,101.59,103.04,101.23,102.19,7630021.0
2015-01-09,102.93,103.24,101.24,102.38,5779910.0
2015-01-12,102.17,102.64,101.06,102.13,3611055.0
2015-01-13,102.26,103.88,101.84,102.67,6045561.0
2015-01-14,102.65,104.17,101.61,102.94,9331393.0
2015-01-15,104.36,106.94,103.91,106.15,10432278.0
2015-01-16,105.92,107.39,105.3,106.74,6760296.0
2015-01-19,106.92,108.48,106.36,108.14,6172336.0
2015-01-20,108.07,109.08,106.9,108.15,8311947.0
2015-01-21,108.76,109.77,107.28,108.34,8315742.0
2015-01-22,108.5,109.34,107.35,108.38,8144805.0
2015-01-23,109.3,111.14,108.32,110.16,12665503.0
2015-01-27,110.8,111.91,108.4,110.4,10874886.0
2015-01-28,110.31,111.54,109.28,110.24,10630402.0
2015-01-29,110.42,110.92,108.21,109.32,9430138.0
2015-01-30,109.69,110.36,106.78,107.34,6094511.0
2015-02-02,107.41,109.34,105.79,107.01,6138877.0
2015-02-03,107.69,108.3,104.5,105.03,11015435.0
2015-02-04,105.41,106.17,103.89,104.44,5431228.0
2015-02-05,104.72,105.41,102.32,102.85,12081934.0
2015-02-06,102.29,102.57,100.21,100.8,16603518.0
2015-02-09,99.81,100.07,97.47,97.9,10198526.0
2015-02-10,97.54,100.79,96.84,99.12,10181449.0
2015-02-11,99.43,100.77,98.42,99.58,7138555.0
2015-02-12,100.3,101.9,99.54,101.0,8190881.0
2015-02-13,101.18,104.35,100.18,103.95,9816721.0
2015-02-16,104.32,105.98,102.66,104.17,10346134.0
2015-02-18,104.22,105.73,103.4,104.94,9611488.0
2015-02-19,105.42,106.87,104.35,105.89,7361200.0
2015-02-20,106.4,106.89,104.79,105.4,5443645.0
2015-02-23,105.77,106.66,104.87,105.55,5908643.0
2015-02-24,105.99,106.64,104.74,105.79,6327797.0
2015-02-25,105.98,107.21,105.5,106.06,4655261.0
2015-02-26,105.93,106.28,103.72,104.15,8446028.0
2015-02-27,104.53,107.63,104.24,107.03,7049219.0
2015-03-02,108.69,110.35,106.61,108.65,8096265.0
2015-03-03,107.99,108.21,106.03,106.75,6432062.0
2015-03-04,108.29,109.29,104.92,105.64,9311396.0
2015-03-05,105.94,106.94,104.73,106.15,5112247.0
2015-03-09,105.37,106.39,104.23,105.16,5653813.0
2015-03-10,105.59,106.88,104.69,105.43,5923777.0
2015-03-11,105.27,107.17,104.36,106.41,5349903.0
2015-03-12,106.66,107.71,105.65,106.48,5735018.0
2015-03-13,107.2,107.36,104.74,105.42,6961385.0
2015-03-16,105.59,106.11,104.45,105.06,4100704.0
2015-03-17,105.67,106.82,104.41,106.06,10737693.0
2015-03-18,105.97,106.29,104.66,105.25,5911178.0
2015-03-19,105.88,106.44,104.3,104.68,5097383.0
2015-03-20,104.27,104.76,101.94,102.67,8470206.0
2015-03-23,102.94,104.32,101.89,103.06,5816968.0
2015-03-24,103.13,104.92,101.72,102.7,6783806.0
2015-03-25,102.82,104.38,102.54,103.94,10322245.0
2015-03-26,103.32,104.37,100.88,102.45,12414310.0
2015-03-27,102.67,103.69,101.1,102.96,6506220.0
2015-03-30,103.58,104.78,102.56,104.17,5545955.0
2015-03-31,104.23,105.91,103.4,104.5,7327085.0
2015-04-01,104.51,106.42,102.8,104.65,6296941.0
2015-04-06,104.58,106.84,103.83,106.05,7804903.0
2015-04-07,106.27,107.8,104.62,106.35,4830517.0
2015-04-08,106.88,107.9,106.0,106.95,5085664.0
2015-04-09,107.15,107.75,106.21,107.33,4495647.0
2015-04-10,107.29,108.5,106.58,107.92,3937905.0
2015-04-13,107.72,108.0,105.78,106.41,4681040.0
2015-04-15,106.02,107.08,104.25,104.88,8000009.0
2015-04-16,104.95,106.57,104.21,105.54,6516371.0
2015-04-17,105.51,106.02,104.31,104.83,3741960.0
2015-04-20,104.54,105.05,102.19,103.0,8550489.0
2015-04-21,102.99,103.86,100.45,101.35,4851657.0
2015-04-22,101.56,102.69,99.03,101.65,6396266.0
2015-04-23,102.4,103.02,100.47,101.3,6855354.0
2015-04-24,101.22,102.67,99.35,101.13,8677167.0
2015-04-27,101.41,103.58,99.97,102.39,7316726.0
2015-04-28,102.72,106.29,102.04,105.64,8896784.0
2015-04-29,105.81,106.36,103.55,104.32,5398554.0
2015-04-30,104.08,104.72,102.0,102.51,13848760.0
2015-05-04,103.77,106.43,102.45,104.85,7944725.0
2015-05-05,104.85,105.71,103.39,104.64,5172090.0
2015-05-06,104.52,104.75,101.26,101.62,8600185.0
2015-05-07,101.37,102.14,99.02,100.4,7932289.0
2015-05-08,101.1,103.44,101.03,102.29,7679790.0
2015-05-11,102.92,104.61,102.54,103.73,6516383.0
2015-05-12,103.6,103.64,101.12,101.72,6531930.0
2015-05-13,102.79,104.47,101.09,103.27,6876457.0
2015-05-14,103.28,104.73,101.91,104.43,5998141.0
2015-05-15,104.5,106.13,104.17,105.59,5917074.0
2015-05-18,105.43,106.84,104.49,106.46,5490144.0
2015-05-19,106.33,107.3,105.33,105.97,7066221.0
2015-05-20,106.01,107.12,105.2,105.82,7768911.0
2015-05-21,106.0,106.66,105.22,105.73,6199483.0
2015-05-22,106.02,106.66,105.48,106.11,6382646.0
2015-05-25,105.98,106.89,105.28,105.88,3918589.0
2015-05-26,105.92,106.84,105.03,106.24,8348003.0
2015-05-27,105.02,105.82,103.32,104.14,18217514.0
2015-05-28,104.29,104.82,102.49,103.45,14489035.0
2015-05-29,103.52,107.05,102.14,106.46,15231987.0
2015-06-01,106.5,108.43,105.42,107.53,6423841.0
2015-06-02,107.55,107.98,105.1,105.56,7992229.0
2015-06-03,105.26,105.58,102.82,103.89,11257008.0
2015-06-04,104.26,104.85,102.34,103.36,9364381.0
2015-06-05,103.2,104.89,102.59,103.3,12761056.0
2015-06-08,103.56,104.32,101.79,102.66,8518264.0
2015-06-09,102.36,103.44,101.6,102.31,8913660.0
2015-06-10,102.34,104.16,102.06,103.68,10892134.0
2015-06-11,103.99,104.36,101.3,101.58,10923380.0
2015-06-12,101.56,102.67,100.77,102.02,12251976.0
2015-06-15,102.21,104.1,101.78,103.48,8898931.0
2015-06-16,104.0,104.94,102.96,104.38,7761474.0
2015-06-17,104.76,105.86,103.94,105.36,9717428.0
2015-06-18,105.5,107.32,105.06,106.39,10324087.0
2015-06-19,106.62,109.97,106.03,108.86,10967679.0
2015-06-22,109.3,110.5,108.89,109.86,7198410.0
2015-06-23,109.93,111.6,109.2,111.06,7250838.0
2015-06-24,111.35,111.58,109.0,109.67,8868400.0
2015-06-25,108.66,110.56,108.45,109.93,10459469.0
2015-06-26,109.93,111.33,109.32,110.73,6621408.0
2015-06-29,109.35,109.69,107.82,108.77,8774328.0
2015-06-30,108.79,110.06,107.87,109.27,9230157.0
2015-07-01,109.41,111.18,108.92,109.84,8262837.0
2015-07-02,109.99,111.34,108.95,109.98,6477778.0
2015-07-03,110.19,110.89,109.42,109.94,5722098.0
2015-07-06,109.15,110.47,108.7,110.05,6144176.0
2015-07-07,110.02,110.8,109.17,109.71,7202499.0
2015-07-08,109.02,109.28,106.54,107.39,17804309.0
2015-07-09,107.7,108.03,106.22,106.51,10437958.0
2015-07-10,106.56,107.34,105.66,106.11,17450117.0
2015-07-13,107.26,108.43,106.11,108.09,10123056.0
2015-07-14,108.4,108.66,106.77,107.96,12498362.0
2015-07-15,108.33,110.76,108.15,110.16,17508997.0
2015-07-16,110.43,111.25,109.86,110.57,7165852.0
2015-07-17,110.94,112.32,110.09,111.52,8916447.0
2015-07-20,112.04,112.67,110.74,111.71,7348911.0
2015-07-21,111.84,112.33,110.24,110.81,7444106.0
2015-07-22,110.59,113.29,110.35,112.84,8127725.0
2015-07-23,113.12,114.82,112.86,114.3,12139950.0
2015-07-24,114.38,114.76,112.4,113.01,8005737.0
2015-07-27,112.59,113.33,111.01,111.45,9571296.0
2015-07-28,111.88,113.06,110.48,111.45,13158553.0
2015-07-29,112.27,113.67,110.69,112.71,11723691.0
2015-07-30,113.68,114.43,112.65,113.12,8225066.0
2015-07-31,113.59,116.51,113.2,115.33,9753586.0
2015-08-03,115.72,116.73,114.85,115.85,7821591.0
2015-08-04,116.2,117.28,115.34,116.72,7058558.0
2015-08-05,116.97,118.41,115.85,117.83,9779682.0
2015-08-06,117.68,118.84,116.73,118.1,9415895.0
2015-08-07,117.99,120.19,117.36,118.14,15809942.0
2015-08-10,117.77,119.09,116.44,117.49,16167632.0
2015-08-11,117.81,118.37,115.74,116.47,11687632.0
2015-08-12,116.34,116.38,114.54,114.73,12622981.0
2015-08-13,114.53,116.8,113.6,115.8,12944715.0
2015-08-14,116.37,118.82,115.84,118.35,8048391.0
2015-08-17,118.56,118.79,116.46,117.13,6759327.0
2015-08-18,117.3,119.23,116.73,118.55,6640904.0
2015-08-19,118.53,120.11,117.49,119.15,7756224.0
2015-08-20,118.65,119.72,116.63,117.35,9475843.0
2015-08-21,116.56,116.83,113.95,115.76,10652315.0
2015-08-24,111.14,112.98,106.76,108.02,17764037.0
2015-08-25,109.02,111.39,104.93,108.24,16447211.0
2015-08-26,108.52,110.07,105.54,107.64,16395578.0
2015-08-27,109.45,109.81,107.13,108.07,22886466.0
2015-08-28,109.12,110.06,107.33,108.38,11491901.0
2015-08-31,108.18,109.25,106.56,107.41,11288728.0
2015-09-01,106.85,107.74,103.59,104.21,12386055.0
2015-09-02,104.74,105.03,101.52,102.18,12982611.0
2015-09-03,102.94,105.18,100.91,104.17,11366020.0
2015-09-04,103.9,104.08,101.1,101.78,9898439.0
2015-09-07,101.98,103.33,100.84,101.87,7047403.0
2015-09-08,102.45,105.08,101.53,104.23,9768007.0
2015-09-09,105.97,108.49,105.14,107.7,12555396.0
2015-09-10,106.73,108.62,105.48,107.87,11619784.0
2015-09-11,108.7,109.64,107.32,107.72,10474349.0
2015-09-14,108.14,108.74,106.75,108.02,7127932.0
2015-09-15,108.53,109.32,106.72,107.06,8005674.0
2015-09-16,108.1,108.55,107.05,108.12,8080249.0
2015-09-18,108.46,111.29,107.89,109.61,20783748.0
2015-09-21,108.89,111.16,108.54,110.39,8090092.0
2015-09-22,111.04,111.43,109.03,109.82,12072795.0
2015-09-23,109.08,111.59,108.27,110.73,12904135.0
2015-09-24,110.63,113.07,109.96,111.93,19188357.0
2015-09-28,112.14,113.26,110.46,111.06,15951140.0
2015-09-29,110.07,116.06,109.28,114.11,20032640.0
2015-09-30,114.55,116.16,113.62,114.89,19059174.0
2015-10-01,115.89,115.95,112.42,112.96,10698969.0
2015-10-05,113.13,114.48,110.66,111.85,18703303.0
2015-10-06,112.68,113.49,110.54,111.29,22753759.0
2015-10-07,111.16,113.92,110.9,112.44,20031817.0
2015-10-08,112.94,113.41,111.3,111.82,22017002.0
2015-10-09,112.64,113.34,110.31,111.13,13879936.0
2015-10-12,111.49,112.35,109.86,110.73,12843909.0
2015-10-13,110.56,112.09,110.34,111.55,13427649.0
2015-10-14,111.45,112.07,110.52,111.17,8232631.0
2015-10-15,111.66,114.34,110.69,113.2,22618287.0
2015-10-16,113.94,115.28,113.01,114.77,18906001.0
2015-10-19,114.98,115.5,113.53,114.46,9696897.0
2015-10-20,114.62,115.78,113.02,114.2,19118608.0
2015-10-21,113.76,114.95,112.64,113.9,10539392.0
2015-10-23,114.66,115.34,111.95,112.32,8995180.0
2015-10-26,112.78,113.92,111.91,112.37,6765070.0
2015-10-27,112.54,114.76,111.78,114.02,7338361.0
2015-10-28,114.18,115.16,112.63,113.28,12891250.0
2015-10-29,113.47,114.13,111.75,112.68,18676671.0
2015-10-30,112.55,113.02,110.07,111.13,9323424.0
2015-11-02,112.01,114.16,111.36,112.71,10692259.0
2015-11-03,113.23,114.06,112.16,113.2,7519677.0
2015-11-04,113.48,115.5,113.03,115.04,15554912.0
2015-11-05,114.87,116.24,114.32,115.29,15053701.0
2015-11-06,115.11,115.74,112.77,114.69,13706863.0
2015-11-09,112.01,117.25,111.76,116.51,24007775.0
2015-11-10,116.63,118.69,115.83,117.96,14770267.0
2015-11-13,117.82,118.5,115.68,116.27,15269364.0
2015-11-16,115.88,118.17,114.93,117.45,12370884.0
2015-11-17,117.54,118.81,116.72,117.81,9719849.0
2015-11-18,117.72,118.76,115.74,116.07,9069495.0
2015-11-19,117.05,118.58,116.41,118.16,7597830.0
2015-11-20,118.41,120.96,117.72,120.04,10307300.0
2015-11-23,119.87,121.44,119.12,120.28,7518890.0
2015-11-24,120.04,120.31,118.18,118.8,9394769.0
2015-11-26,119.36,120.91,117.95,119.87,18325941.0
2015-11-27,121.23,121.95,119.09,119.5,14227353.0
2015-11-30,119.7,122.08,118.33,119.8,25353608.0
2015-12-01,120.78,121.27,118.98,119.77,10275660.0
2015-12-02,120.54,121.05,119.4,120.57,9698837.0
2015-12-03,120.25,120.83,119.07,119.64,7696279.0
2015-12-04,118.98,119.8,117.66,118.09,10625754.0
2015-12-07,118.57,119.26,117.13,117.87,7776790.0
2015-12-08,117.36,118.6,116.45,117.34,10282941.0
2015-12-09,117.26,117.9,115.82,116.18,8959382.0
2015-12-10,116.65,117.18,114.0,115.59,12685242.0
2015-12-11,115.76,116.25,112.45,114.06,8362473.0
2015-12-14,112.77,116.61,112.34,115.99,15928710.0
2015-12-15,116.71,117.68,115.42,116.93,9851448.0
2015-12-16,116.15,116.42,113.78,114.51,18914920.0
2015-12-17,114.94,116.73,113.0,116.23,13045031.0
2015-12-18,116.36,117.13,114.89,115.33,9877502.0
2015-12-21,115.33,117.38,115.14,116.85,6166159.0
2015-12-22,116.68,116.93,115.39,115.73,5231429.0
2015-12-23,116.15,116.8,115.43,115.82,5184341.0
2015-12-24,115.87,116.63,115.15,115.63,5424545.0
2015-12-28,115.77,116.89,115.09,116.21,8670771.0
2015-12-29,116.23,117.22,115.72,116.63,8474749.0
2015-12-30,116.65,117.15,115.56,115.94,6072297.0
2015-12-31,115.81,117.19,115.28,116.68,7996341.0
2016-01-01,116.68,117.85,115.52,116.94,5107778.0
2016-01-04,116.76,117.06,114.46,114.73,8955529.0
2016-01-05,115.22,116.15,114.19,114.71,8876419.0
2016-01-06,114.73,115.06,112.11,112.53,8983122.0
2016-01-07,111.61,111.66,106.94,108.07,14937130.0
2016-01-08,108.43,109.54,106.94,107.62,13296014.0
2016-01-11,106.7,108.73,104.48,107.37,13706270.0
2016-01-12,107.99,109.02,106.75,107.85,10006726.0
2016-01-13,108.56,109.91,107.06,109.2,16275235.0
2016-01-14,107.86,108.85,105.87,107.78,12695451.0
2016-01-15,108.32,109.4,106.84,107.4,8075595.0
2016-01-18,107.35,108.01,105.13,106.47,7910162.0
2016-01-19,106.65,107.07,104.45,105.86,9815556.0
2016-01-20,104.86,105.91,101.39,103.6,12453428.0
2016-01-21,104.06,104.44,99.89,100.56,19371362.0
2016-01-22,101.57,106.39,101.23,105.81,12163993.0
2016-01-25,106.49,107.54,104.32,104.6,8365605.0
2016-01-27,105.45,106.82,103.8,105.08,11336468.0
2016-01-28,104.65,106.83,103.88,105.83,16178587.0
2016-01-29,103.62,107.51,103.05,106.8,14532387.0
2016-02-01,106.67,107.43,103.6,104.6,9495780.0
2016-02-02,104.85,105.77,102.1,102.69,11114817.0
2016-02-03,102.11,103.26,100.57,101.69,8829241.0
2016-02-04,102.48,103.3,100.49,101.42,7572669.0
2016-02-05,101.4,102.35,99.73,101.26,11772440.0
2016-02-08,101.84,102.72,99.86,100.42,8576501.0
2016-02-09,99.3,100.32,97.69,98.42,13906118.0
2016-02-10,98.05,99.87,96.32,98.19,23784850.0
2016-02-11,97.81,98.17,93.14,94.02,24082096.0
2016-02-12,94.53,97.15,91.59,96.03,27687816.0
2016-02-15,96.71,101.25,96.63,100.83,21564659.0
2016-02-16,101.15,101.99,98.62,99.62,15550991.0
2016-02-17,99.39,100.68,98.26,100.26,15449055.0
2016-02-18,101.24,101.91,98.01,99.51,15148883.0
2016-02-19,99.16,100.69,97.73,99.18,9786477.0
2016-02-22,98.74,99.51,97.92,98.64,11092742.0
2016-02-23,98.9,99.58,96.83,97.2,14142223.0
2016-02-24,97.01,98.24,96.26,97.25,9519967.0
2016-02-25,97.57,98.5,95.73,96.37,16385460.0
2016-02-26,97.32,97.81,95.79,96.43,11791013.0
2016-02-29,96.48,98.22,92.68,93.96,18253370.0
2016-03-01,93.14,99.9,92.83,99.25,16536836.0
