Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,12965566
2015-01-02,100.4305,103.1582,99.6098,101.5783,19481670
2015-01-05,101.9286,103.8915,100.7021,101.7261,12638961
2015-01-06,101.3607,101.9661,97.3655,98.3077,19020725
2015-01-07,98.5913,100.2754,96.9943,98.6406,15727249
2015-01-08,99.5246,101.3763,98.4953,99.9794,14794873
2015-01-09,100.7146,101.8885,98.6426,99.6043,18083490
2015-01-12,99.9043,103.3258,99.0247,101.9649,55289246
2015-01-13,102.608,104.9622,100.4796,102.0596,29403766
2015-01-14,102.5478,104.3922,101.1788,102.2785,27857724
2015-01-15,103.6849,105.5701,101.7579,103.7134,17378599
2015-01-16,103.7642,105.2351,102.1064,103.2652,16079755
2015-01-19,104.1341,106.3225,102.7311,104.1711,16312337
2015-01-20,104.9741,106.5978,103.3284,104.8129,20990866
2015-01-21,105.1455,108.0125,103.348,106.2026,32959270
2015-01-22,106.6654,107.8364,104.3754,105.9387,20887900
2015-01-23,106.6058,107.7433,103.8988,105.3655,17900271
2015-01-27,105.8863,107.7204,104.0303,106.0708,19379861
2015-01-28,105.767,108.1537,104.638,106.4616,25034981
2015-01-29,106.4774,108.5522,105.1258,107.084,32102757
2015-01-30,107.4756,109.1766,105.3193,106.5621,26486948
2015-02-02,106.0759,108.9022,104.5638,106.3517,19627069
2015-02-03,106.6813,109.1127,105.3563,107.4612,25394236
2015-02-04,108.02,109.9681,106.1353,107.462,29462086
2015-02-05,107.4092,109.666,105.0553,107.0543,30234387
2015-02-06,106.7313,108.4425,103.5678,104.9337,19877406
2015-02-09,104.9914,107.3724,101.9307,104.0787,15618828
2015-02-10,103.7537,107.6863,102.0619,105.4782,14714849
2015-02-11,105.8296,108.6394,104.6465,107.0091,17700783
2015-02-12,107.8529,110.1156,105.2634,107.5637,32049024
2015-02-13,107.924,111.0272,106.515,108.5857,18768772
2015-02-16,109.1321,110.4045,106.9844,108.1046,13593191
2015-02-18,108.2943,110.504,106.5744,108.3266,24527946
2015-02-19,108.5748,109.7831,105.4174,106.4792,17266704
2015-02-20,106.7029,108.525,104.7894,106.0999,18708280
2015-02-23,106.6141,108.9182,103.3885,105.4843,13811161
2015-02-24,105.7054,107.9586,103.0426,105.8847,18176296
2015-02-25,106.957,108.5428,104.7491,105.8762,18617682
2015-02-26,106.2826,108.2058,103.2342,104.8077,16916187
2015-02-27,105.4631,108.8663,102.9883,106.0682,22052967
2015-03-02,107.2643,111.0666,105.3004,109.3139,23501435
2015-03-03,109.4219,111.5692,107.1025,109.437,24204725
2015-03-04,110.0035,111.3094,106.482,107.5661,36403113
2015-03-05,107.9068,110.5175,105.3973,107.9014,72406244
2015-03-09,107.5902,109.3642,104.7296,105.9816,23349100
2015-03-10,106.6816,108.5535,103.9842,105.4222,20444047
2015-03-11,105.761,107.6977,103.5017,105.0618,16903586
2015-03-12,105.8354,108.1692,104.5963,106.1225,17642028
2015-03-13,106.7923,108.2943,103.1791,104.3768,22996751
2015-03-16,104.5419,105.8498,102.1952,103.5812,17564701
2015-03-17,104.0106,105.7915,101.9043,103.4295,19287760
2015-03-18,104.1102,105.1582,102.064,103.304,12585808
2015-03-19,104.0121,105.564,101.6486,102.4373,10779023
2015-03-20,102.4822,103.5815,99.6328,101.4546,18701624
2015-03-23,102.182,103.8508,99.0606,101.0695,45232203
2015-03-24,100.7168,102.5753,98.8888,100.257,22665338
2015-03-25,100.316,101.6175,98.1842,99.4253,15692376
2015-03-26,99.1414,100.6535,97.625,98.9821,25715465
2015-03-27,99.1237,100.6891,96.9693,98.5414,27884690
2015-03-30,99.6365,103.0338,98.2977,101.3198,19431489
2015-03-31,101.601,103.2555,99.9504,101.3197,16827990
2015-04-01,101.8865,104.7441,100.1644,103.2415,16480762
2015-04-06,103.7953,106.4957,102.5672,104.8778,22878925
2015-04-07,105.658,107.7781,103.6635,106.1053,19474251
