Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,372726
2015-01-02,101.4542,107.197,101.2344,106.0614,1428489
2015-01-05,109.0546,111.8182,106.2501,109.3013,516369
2015-01-06,107.0097,108.484,102.058,103.8271,658385
2015-01-07,104.1861,106.4941,102.2537,104.8452,440494
2015-01-08,106.6036,109.0051,104.7009,106.2323,1121047
2015-01-09,107.4028,110.2332,103.7778,105.1266,1085095
2015-01-12,104.7048,107.9978,103.5794,105.5959,355840
2015-01-13,107.3016,109.95,105.4038,106.5485,1115123
2015-01-14,106.0347,107.4147,103.3696,104.3497,451049
2015-01-15,106.96,108.0359,103.719,105.5975,413266
2015-01-16,105.7494,107.3413,104.13,105.4098,296735
2015-01-19,106.4015,108.344,104.3945,106.4423,1788201
2015-01-20,107.3634,112.5627,106.307,109.0498,504669
2015-01-21,109.8286,110.602,107.0387,107.8627,369721
2015-01-22,109.0208,109.6973,106.1486,107.2447,250013
2015-01-23,109.0336,110.2308,103.2852,105.0375,357833
2015-01-27,105.6153,107.1265,103.5737,104.8234,334877
2015-01-28,104.8056,105.8435,102.6209,103.059,351259
2015-01-29,102.0192,104.6054,101.0901,103.1158,1388350
2015-01-30,104.1975,105.5149,102.0587,103.0293,754313
2015-02-02,103.5596,106.8708,101.4706,104.115,936475
2015-02-03,105.6513,106.3986,102.5035,103.3504,446920
2015-02-04,104.7778,105.2532,101.2358,102.0961,617866
2015-02-05,101.742,103.2064,96.2838,98.2825,332188
2015-02-06,97.7035,101.2078,94.7449,96.5934,332784
2015-02-09,95.2422,96.6265,90.3611,92.1799,369948
2015-02-10,93.5169,95.635,89.9897,92.107,491581
2015-02-11,93.8565,96.0548,90.8274,94.0072,1171187
2015-02-12,94.5607,99.2719,93.0321,96.2724,1077997
2015-02-13,98.6955,100.3508,95.5796,97.8091,671917
2015-02-16,95.7704,97.7297,91.6133,94.1905,670454
2015-02-18,93.7028,97.5166,92.5526,94.4118,399581
2015-02-19,94.9779,97.1246,93.5682,95.0554,436456
2015-02-20,95.2456,97.876,93.2007,95.8412,542369
2015-02-23,96.407,99.6487,95.1235,96.4319,457865
2015-02-24,97.3711,98.1383,94.4416,95.3269,257019
2015-02-25,96.4933,97.0732,90.935,91.8586,223597
2015-02-26,92.598,93.6945,90.2603,91.5171,273279
2015-02-27,93.1741,93.6535,90.2644,91.8363,219368
2015-03-02,92.6106,93.7048,88.7987,91.2049,887933
2015-03-03,92.3464,95.1893,83.3246,88.1822,2315920
2015-03-04,88.7732,91.5677,85.971,87.1921,1656197
2015-03-05,87.3611,89.2347,85.4201,87.6311,787559
2015-03-09,87.4153,87.9497,84.2204,85.5416,601492
2015-03-10,85.571,86.9084,83.4356,84.1544,405853
2015-03-11,84.3634,84.8498,82.2003,83.479,236324
2015-03-12,82.9871,85.0526,82.6381,83.8334,587894
2015-03-13,84.2226,90.5227,80.9553,84.6137,3473976
2015-03-16,85.6251,91.6669,82.866,89.0912,884006
2015-03-17,91.7725,97.2694,90.2433,96.8793,1091002
2015-03-18,99.6148,104.9569,97.5617,101.9869,1075010
2015-03-19,102.5622,103.6264,95.8062,96.86,666175
2015-03-20,96.7562,97.8179,91.3119,92.3674,609603
2015-03-23,91.5558,93.8273,88.2739,89.0041,445613
2015-03-24,88.4364,90.56,86.1938,86.652,235679
2015-03-25,85.9308,87.9612,84.3656,84.8165,361055
2015-03-26,84.3181,86.4748,82.2578,84.6901,290987
2015-03-27,85.4882,88.6743,82.2232,84.7993,644040
2015-03-30,84.8099,88.2344,84.706,87.8298,399844
2015-03-31,89.0542,90.8217,86.1459,87.6751,442741
2015-04-01,88.3653,90.7518,87.0555,89.7197,580587
2015-04-06,91.0165,92.4084,88.3582,89.971,287946
2015-04-07,90.6034,93.2928,87.4593,91.9301,6189205
2015-04-08,91.94,95.7593,91.6049,94.9819,3441487
2015-04-09,95.9284,97.5576,93.9262,96.0188,1343436
2015-04-10,97.4637,98.4876,93.6949,97.6118,902514
2015-04-13,99.1555,101.521,97.0833,99.8711,1568398
2015-04-15,100.2736,103.877,97.2635,99.2808,2203043
2015-04-16,99.4873,100.2391,96.2407,96.9015,655490
2015-04-17,95.3298,97.4821,93.0017,93.7203,873552
2015-04-20,94.0592,94.6574,89.9768,91.3965,937886
2015-04-21,91.0187,93.5173,89.5783,90.6965,1052636
2015-04-22,89.9295,93.0881,87.8408,90.9081,765260
2015-04-23,91.198,93.5203,89.508,91.0717,566035
2015-04-24,90.9798,92.4752,87.85,88.5822,598502
2015-04-27,88.1008,89.2282,84.5765,86.1075,499718
2015-04-28,85.3125,88.7764,83.6324,87.2451,419849
2015-04-29,87.2122,88.9902,85.6867,87.177,526434
