Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,10747751.0
2015-01-02,100.54,103.32,99.67,101.24,26580688.0
2015-01-05,101.64,103.22,99.77,101.02,13504295.0
2015-01-06,100.58,101.32,97.02,98.12,17025668.0
2015-01-07,98.02,100.69,96.68,98.53,21293716.0
2015-01-08,99.68,102.47,98.31,99.97,19958333.0
2015-01-09,100.29,102.22,98.57,100.06,24608166.0
2015-01-12,100.51,102.25,99.12,100.38,14546562.0
2015-01-13,101.25,103.82,99.02,101.46,38859078.0
2015-01-14,102.03,104.65,100.61,102.41,28146419.0
2015-01-15,103.32,105.53,100.99,103.25,22826529.0
2015-01-16,103.07,105.63,101.82,103.32,15143651.0
2015-01-19,104.0,105.94,102.73,104.27,23047798.0
2015-01-20,104.74,106.44,102.57,104.33,17543018.0
2015-01-21,104.83,106.72,103.08,104.51,25099271.0
2015-01-22,104.5,106.64,102.95,104.31,40090052.0
2015-01-23,105.38,106.51,102.65,104.03,32502936.0
2015-01-27,104.62,106.4,102.44,103.95,26487062.0
2015-01-28,103.73,105.97,102.06,103.81,24058887.0
2015-01-29,103.85,105.9,102.25,103.87,21690336.0
2015-01-30,104.48,105.92,102.33,103.67,25339502.0
2015-02-02,103.45,106.22,101.13,103.67,25231895.0
2015-02-03,104.43,105.85,102.26,103.96,27301209.0
2015-02-04,104.4,106.28,102.24,103.55,24565688.0
2015-02-05,103.98,105.58,101.63,102.79,18558788.0
2015-02-06,102.95,104.26,100.42,101.99,28908937.0
2015-02-09,101.21,103.29,99.12,101.15,14360757.0
2015-02-10,101.18,104.0,99.76,102.14,18974341.0
2015-02-11,102.78,104.46,100.27,102.55,21878258.0
2015-02-12,103.48,105.59,102.02,103.5,23399956.0
2015-02-13,104.16,105.71,101.91,103.66,17979865.0
2015-02-16,104.85,105.75,102.29,103.42,11918598.0
2015-02-18,103.79,106.44,101.94,104.26,23913390.0
2015-02-19,105.2,108.09,103.67,105.5,27406834.0
2015-02-20,105.45,109.43,103.71,106.16,38775628.0
2015-02-23,106.22,108.18,103.91,105.12,16160313.0
2015-02-24,105.43,106.87,103.56,104.62,16130978.0
2015-02-25,105.16,107.56,102.4,104.0,26786735.0
2015-02-26,103.99,105.8,101.54,102.95,17433115.0
2015-02-27,103.33,105.9,102.24,104.49,21277914.0
2015-03-02,104.53,106.68,102.2,104.49,24581569.0
2015-03-03,104.74,107.33,103.14,106.07,23656214.0
2015-03-04,107.35,108.38,103.74,105.2,33165282.0
2015-03-05,105.31,108.87,103.85,106.47,34717035.0
2015-03-09,107.09,108.78,104.09,105.83,31471806.0
2015-03-10,105.64,107.86,104.1,105.65,18904606.0
2015-03-11,105.7,107.37,104.16,105.62,14628739.0
2015-03-12,106.27,107.82,104.55,106.23,15753984.0
2015-03-13,106.98,108.81,104.32,105.75,16489988.0
2015-03-16,106.05,108.53,103.53,106.07,13592699.0
2015-03-17,106.48,109.46,104.61,107.58,18712306.0
2015-03-18,107.96,109.62,105.31,107.45,14540277.0
2015-03-19,107.9,109.95,105.32,107.07,15278895.0
2015-03-20,107.45,108.73,102.69,104.64,21740241.0
2015-03-23,105.0,106.4,102.59,103.71,12866097.0
2015-03-24,103.72,104.84,101.39,102.57,16972867.0
2015-03-25,103.16,105.22,101.24,102.46,21987141.0
2015-03-26,102.1,104.17,100.21,102.03,16561254.0
2015-03-27,102.34,104.05,99.94,102.19,24788059.0
2015-03-30,103.2,106.89,101.79,104.76,22463994.0
2015-03-31,105.28,108.58,103.64,105.94,25458182.0
2015-04-01,106.39,109.18,105.13,107.42,24691449.0
2015-04-06,107.55,109.73,105.69,107.7,13127604.0
2015-04-07,108.32,112.29,106.07,109.7,29467288.0
2015-04-08,110.68,113.28,108.45,110.23,28622538.0
2015-04-09,110.51,115.32,108.72,111.85,35420059.0
2015-04-10,112.47,115.68,110.93,112.78,23121744.0
2015-04-13,114.05,116.54,111.85,114.16,29010898.0
2015-04-15,114.84,117.15,111.79,113.99,23564162.0
2015-04-16,114.55,116.26,111.56,113.24,18977851.0
2015-04-17,113.66,115.65,110.83,112.54,33539476.0
2015-04-20,112.88,114.18,108.93,110.28,15289851.0
2015-04-21,111.11,112.83,107.75,109.8,11324385.0
2015-04-22,109.55,112.0,107.82,109.78,22137602.0
2015-04-23,110.66,112.26,108.24,109.21,20428993.0
2015-04-24,109.34,110.55,104.93,106.08,11545886.0
2015-04-27,107.56,108.48,101.65,103.9,18021238.0
2015-04-28,103.23,107.84,101.82,105.9,14713266.0
2015-04-29,105.18,107.84,103.2,105.72,11420109.0
2015-04-30,105.37,108.27,102.83,105.8,18791929.0
2015-05-04,106.99,109.94,105.12,107.45,14011215.0
2015-05-05,108.18,109.88,106.31,108.08,16859180.0
2015-05-06,107.39,109.15,103.81,105.19,26142126.0
2015-05-07,105.6,106.92,102.26,103.6,15644716.0
2015-05-08,104.44,106.94,102.48,104.52,16186549.0
2015-05-11,105.63,107.78,104.05,105.69,11848093.0
2015-05-12,105.75,107.4,102.93,104.68,15005345.0
2015-05-13,105.57,108.06,103.84,105.85,22539901.0
2015-05-14,105.95,108.25,104.27,106.93,22308078.0
2015-05-15,107.28,108.71,105.69,106.94,12658023.0
2015-05-18,107.06,109.62,105.98,107.57,23443004.0
2015-05-19,108.16,109.74,106.25,107.71,18688020.0
2015-05-20,107.43,109.56,105.78,107.12,20774769.0
2015-05-21,107.83,109.18,105.41,107.21,18984633.0
2015-05-22,107.47,108.96,105.47,107.45,12934120.0
2015-05-25,107.76,109.39,106.08,107.55,17191150.0
2015-05-26,107.65,108.73,105.04,106.88,22376520.0
2015-05-27,106.5,108.36,104.58,106.4,23986654.0
2015-05-28,106.78,108.95,104.99,106.67,22089114.0
2015-05-29,107.21,110.54,105.63,108.21,61018194.0
2015-06-01,108.37,111.06,106.79,108.55,14463976.0
2015-06-02,108.59,109.72,105.49,106.57,14893955.0
2015-06-03,106.48,108.09,102.36,104.33,14333656.0
2015-06-04,104.99,106.58,102.51,104.85,10917496.0
2015-06-05,105.07,107.64,103.64,105.49,20155354.0
2015-06-08,105.59,106.82,102.53,103.98,11272519.0
2015-06-09,103.6,105.55,101.79,103.55,13933498.0
2015-06-10,103.71,106.84,102.9,105.06,14730315.0
2015-06-11,105.53,106.71,102.22,103.14,15548198.0
2015-06-12,103.0,104.87,101.42,103.12,11652321.0
2015-06-15,103.22,105.32,101.43,103.27,20155159.0
2015-06-16,103.59,105.1,101.3,103.02,20961918.0
2015-06-17,103.9,106.36,102.75,104.77,18599632.0
2015-06-18,105.4,107.81,104.33,106.09,26514952.0
2015-06-19,106.72,108.6,105.41,107.09,30347995.0
2015-06-22,108.0,110.04,106.09,108.48,18114103.0
2015-06-23,109.08,111.1,107.48,109.43,33407667.0
2015-06-24,109.56,111.41,107.37,108.9,27355914.0
2015-06-25,108.7,110.95,107.13,109.31,26759781.0
2015-06-26,109.3,111.75,108.21,110.13,25372194.0
2015-06-29,108.39,110.23,105.96,108.86,22480822.0
2015-06-30,109.16,111.59,107.58,109.95,54637470.0
2015-07-01,110.65,113.56,108.99,111.36,45568389.0
2015-07-02,111.72,114.17,110.03,112.2,27960507.0
2015-07-03,112.58,114.5,111.01,112.55,36065140.0
2015-07-06,111.55,115.34,110.31,114.12,38278242.0
2015-07-07,114.67,117.05,113.3,115.01,54641460.0
2015-07-08,114.76,116.87,111.84,113.6,40694888.0
2015-07-09,114.01,115.45,111.5,112.82,36683895.0
2015-07-10,113.49,115.23,111.55,113.27,29452534.0
2015-07-13,113.9,115.97,112.35,114.8,30153272.0
2015-07-14,115.27,117.08,113.85,115.44,32809011.0
2015-07-15,115.9,118.22,114.65,116.53,36277207.0
2015-07-16,117.16,120.72,115.86,117.96,44144726.0
2015-07-17,118.31,120.47,116.46,117.81,29723642.0
2015-07-20,118.44,120.7,116.17,118.7,34602582.0
2015-07-21,118.8,120.0,115.0,115.94,28443800.0
2015-07-22,116.31,118.93,115.12,117.3,37074738.0
2015-07-23,117.87,120.26,115.39,117.34,49415320.0
2015-07-24,117.4,118.93,115.15,116.26,43306343.0
2015-07-27,116.36,117.73,113.52,115.05,20673252.0
2015-07-28,115.44,117.34,113.33,114.87,22469476.0
2015-07-29,116.1,118.3,113.94,116.22,29544806.0
2015-07-30,117.36,119.79,115.87,117.99,29745567.0
2015-07-31,119.59,121.52,116.95,118.66,36083798.0
2015-08-03,119.27,121.92,117.32,119.6,35349366.0
2015-08-04,120.23,124.36,117.46,121.55,44943580.0
2015-08-05,122.57,125.08,119.85,121.58,56232138.0
2015-08-06,122.43,124.33,118.9,121.03,34821713.0
2015-08-07,121.6,124.07,119.28,121.13,37002497.0
2015-08-10,121.57,125.39,119.83,122.22,45325629.0
2015-08-11,122.72,123.73,118.34,119.61,26683753.0
2015-08-12,119.29,121.12,114.97,116.2,18395392.0
2015-08-13,116.68,118.93,113.0,114.55,20662178.0
2015-08-14,114.94,118.23,113.61,116.24,24550767.0
2015-08-17,116.36,118.85,114.45,116.57,17575184.0
2015-08-18,117.43,119.97,115.56,117.8,19552029.0
2015-08-19,118.46,121.21,116.39,118.19,24266705.0
2015-08-20,118.33,119.51,114.17,115.06,19561912.0
2015-08-21,114.04,115.93,110.88,114.47,17992973.0
2015-08-24,110.66,113.0,102.11,105.24,27393601.0
2015-08-25,105.93,112.4,99.24,107.04,24933361.0
2015-08-26,106.71,110.15,103.67,107.19,19758611.0
2015-08-27,109.28,112.01,107.39,110.41,16189360.0
2015-08-28,111.5,113.27,108.43,109.99,17139458.0
2015-08-31,109.63,111.71,107.62,109.38,15155996.0
2015-09-01,108.38,110.2,105.53,107.41,16616311.0
2015-09-02,107.55,109.65,105.63,107.23,16369621.0
2015-09-03,108.05,110.63,106.79,108.66,14451101.0
2015-09-04,108.2,109.86,104.17,107.27,12195829.0
2015-09-07,107.68,109.43,104.52,106.15,8877803.0
2015-09-08,105.66,107.54,102.87,105.71,14122760.0
2015-09-09,107.06,108.67,105.63,106.7,12687215.0
2015-09-10,105.56,107.84,103.4,106.51,17000585.0
2015-09-11,106.76,109.15,105.25,107.07,15637804.0
2015-09-14,107.95,109.13,105.85,107.92,12397822.0
2015-09-15,108.3,109.32,106.11,107.23,11433623.0
2015-09-16,108.05,109.13,105.08,106.5,13408375.0
2015-09-18,107.49,109.54,105.33,107.42,22391652.0
2015-09-21,107.17,109.36,105.62,107.91,12986181.0
2015-09-22,108.74,110.02,106.01,106.99,14704133.0
2015-09-23,106.57,108.5,104.77,107.03,12810778.0
2015-09-24,107.26,109.2,105.98,107.7,17339492.0
2015-09-28,108.3,110.49,106.18,107.35,13349583.0
2015-09-29,106.67,108.75,105.14,107.11,14203848.0
2015-09-30,107.72,109.54,106.09,107.82,16078248.0
2015-10-01,108.62,110.28,106.68,108.2,15098560.0
2015-10-05,109.01,111.77,107.53,110.08,17425457.0
2015-10-06,110.41,112.29,108.71,110.33,24543223.0
2015-10-07,110.42,112.9,108.98,110.78,21029643.0
2015-10-08,110.91,112.06,108.74,110.3,17466556.0
2015-10-09,110.88,112.65,109.21,110.83,16670488.0
2015-10-12,111.6,113.63,109.42,111.33,10956414.0
2015-10-13,111.48,113.24,109.91,111.68,19123960.0
2015-10-14,111.55,113.95,110.36,112.31,17793545.0
2015-10-15,112.83,114.36,110.9,112.25,16296682.0
2015-10-16,112.76,114.13,111.12,112.84,14851865.0
2015-10-19,113.09,115.03,111.85,113.35,14617551.0
2015-10-20,113.71,115.29,112.09,113.4,18966975.0
2015-10-21,113.61,115.6,111.99,113.63,24506482.0
2015-10-23,114.51,115.62,111.97,113.08,18206416.0
2015-10-26,113.45,115.01,110.75,112.34,27925816.0
2015-10-27,112.58,114.88,110.45,113.47,21597790.0
2015-10-28,113.65,116.97,112.19,115.1,27365093.0
2015-10-29,115.62,116.8,113.29,114.31,23979093.0
2015-10-30,114.6,116.2,111.52,113.16,20675753.0
2015-11-02,113.35,115.92,111.22,114.28,16842615.0
2015-11-03,114.67,116.6,112.82,114.49,20780399.0
2015-11-04,114.97,116.42,112.38,113.83,22674185.0
2015-11-05,113.71,114.84,110.91,111.9,13858597.0
2015-11-06,111.81,113.87,109.69,111.35,13004233.0
2015-11-09,110.11,113.33,107.69,112.07,13748082.0
2015-11-10,112.02,113.53,109.46,110.77,13178008.0
2015-11-13,111.39,112.4,107.75,110.26,13194986.0
2015-11-16,110.44,113.16,108.98,111.61,36659418.0
2015-11-17,112.4,114.28,110.72,112.9,17225815.0
2015-11-18,113.27,114.8,110.8,111.72,14685873.0
2015-11-19,112.49,113.85,110.7,112.15,14710235.0
2015-11-20,112.29,114.68,111.17,113.2,18382422.0
2015-11-23,113.68,115.67,111.15,112.98,22302340.0
2015-11-24,113.31,115.3,111.76,113.31,23926458.0
2015-11-26,113.69,115.42,111.87,113.24,43189734.0
2015-11-27,113.55,115.08,111.79,113.21,28215379.0
2015-11-30,113.77,115.59,111.47,113.39,21575090.0
2015-12-01,113.95,116.62,112.39,114.62,42889194.0
2015-12-02,114.99,116.59,112.8,114.15,26187033.0
2015-12-03,114.15,115.9,112.27,113.36,20115184.0
2015-12-04,113.36,114.98,111.59,112.85,14207506.0
2015-12-07,113.4,114.92,111.28,112.68,40039046.0
2015-12-08,112.34,113.86,109.71,110.66,23655444.0
2015-12-09,110.53,111.56,107.07,108.11,20892091.0
2015-12-10,108.49,112.08,106.51,109.32,16506498.0
2015-12-11,109.66,111.29,107.24,108.23,19044926.0
2015-12-14,108.26,110.88,106.09,109.21,19468061.0
2015-12-15,109.45,111.64,107.96,110.41,22324497.0
2015-12-16,111.15,113.59,109.4,111.3,30816261.0
2015-12-17,114.16,116.28,111.28,113.73,24236918.0
2015-12-18,113.41,115.24,111.39,113.24,15839407.0
2015-12-21,113.64,115.66,112.0,114.14,16181807.0
2015-12-22,114.61,116.01,112.44,114.05,23587860.0
2015-12-23,114.64,116.84,113.0,114.38,20807302.0
2015-12-24,114.79,117.04,113.6,115.57,31520974.0
2015-12-28,115.57,117.51,114.23,115.81,22722926.0
2015-12-29,116.24,117.52,114.45,115.58,23399757.0
2015-12-30,115.99,117.75,114.62,116.12,20152545.0
2015-12-31,116.21,118.47,115.13,116.75,19607285.0
2016-01-01,117.03,119.87,116.19,118.36,17511177.0
2016-01-04,118.26,120.03,115.85,117.11,25291991.0
2016-01-05,117.51,120.03,115.92,118.4,30803413.0
