Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,16554118
2015-01-02,99.6871,104.159,98.4854,102.0759,10932323
2015-01-05,101.8093,102.4846,98.9378,99.8241,7130466
2015-01-06,99.4779,100.9376,96.5672,97.8099,14181608
2015-01-07,97.975,111.6519,97.7448,109.4688,106944032
2015-01-08,109.6834,114.6642,107.0189,110.9877,53079040
2015-01-09,111.7134,119.0369,111.3179,114.2298,41794578
2015-01-12,115.0575,117.8128,113.0474,114.551,30075949
2015-01-13,115.3439,120.8799,113.4577,116.877,67536970
2015-01-14,116.6734,118.3793,114.3366,115.2809,20513721
2015-01-15,116.2224,117.1244,113.0492,113.6906,11065404
2015-01-16,114.4797,118.1258,113.5091,115.2519,21395176
2015-01-19,115.8981,116.8994,113.1415,113.6616,11952367
2015-01-20,114.4161,115.0314,110.0933,110.8294,17762843
2015-01-21,111.3166,113.5824,108.8624,109.8652,18751199
2015-01-22,110.249,112.7122,108.7956,110.68,39001605
2015-01-23,111.7734,114.4809,109.4216,111.897,28160751
2015-01-27,118.1159,123.2895,115.9948,117.3494,58040327
2015-01-28,117.7713,118.6445,115.7043,116.7042,19370461
2015-01-29,116.5335,117.8314,113.5133,115.6935,11352717
2015-01-30,116.149,117.108,113.9421,115.0704,8485951
2015-02-02,115.4115,120.312,114.1956,117.8139,20589817
2015-02-03,118.6507,123.899,115.2354,122.5487,44050980
2015-02-04,123.8284,125.1726,120.4827,121.5449,22112552
2015-02-05,123.1936,124.1085,120.7027,121.2279,7235254
2015-02-06,121.6246,123.1345,117.3476,117.9382,8062939
2015-02-09,117.8126,119.2947,114.0223,115.5196,8291616
2015-02-10,114.8438,119.9838,114.1178,117.5899,10652996
2015-02-11,119.7942,127.1702,119.6058,125.8471,32057620
2015-02-12,128.0376,136.1648,124.3816,132.705,44651628
2015-02-13,134.0332,134.8332,128.8353,129.8305,20152079
2015-02-16,130.1246,136.3307,128.6157,132.5716,16195495
2015-02-18,133.761,151.7884,133.5091,145.576,109737693
2015-02-19,146.9465,149.5045,139.4544,141.9465,37156445
2015-02-20,142.9606,146.7774,140.8724,143.1496,24657409
2015-02-23,143.8189,145.1565,137.8771,138.7235,20919557
2015-02-24,139.928,142.0679,134.3311,136.2043,31252324
2015-02-25,137.7587,140.786,135.6061,137.6194,21796018
2015-02-26,138.4451,140.5534,133.4575,134.5509,34269922
2015-02-27,137.4608,148.837,137.3759,139.074,161881370
2015-03-02,137.873,138.4456,132.8176,133.473,24989955
2015-03-03,134.2065,135.6869,131.8815,133.6928,19122685
2015-03-04,134.9885,139.5012,133.8085,135.6482,26202041
2015-03-05,132.9487,133.4029,129.3557,130.2147,24385610
2015-03-09,128.0893,128.8237,122.4832,124.1989,17907667
2015-03-10,124.3026,125.5459,118.4337,119.5349,32200946
2015-03-11,120.1209,124.0983,118.7954,120.5297,38451758
2015-03-12,121.5384,123.5125,120.5441,121.5757,20520632
2015-03-13,122.4355,123.2183,119.0559,119.6392,22519993
2015-03-16,120.0271,120.4154,116.5709,117.3918,11777149
2015-03-17,117.2156,121.4511,116.5965,120.3904,27205204
2015-03-18,120.6094,121.2193,117.1911,117.7331,12441613
2015-03-19,118.6557,119.6441,115.9912,116.2999,16208462
2015-03-20,116.8418,116.8815,113.3337,114.603,15241382
2015-03-23,115.3306,116.6496,112.731,113.6428,20843646
2015-03-24,114.2544,116.9907,113.5175,116.1613,23085934
2015-03-25,116.5488,116.7372,113.493,114.0807,11150426
2015-03-26,114.1319,114.9526,111.8906,113.0631,11215707
2015-03-27,114.5467,115.1632,110.5689,111.4348,17428366
2015-03-30,113.6666,117.104,113.6666,116.0403,44092051
2015-03-31,116.8359,120.0077,115.3066,118.7614,36283289
2015-04-01,119.2108,127.2317,118.8201,123.9954,57861443
2015-04-06,124.632,127.8897,124.2121,127.0204,23716932
2015-04-07,127.7176,128.2832,123.6831,126.6793,16684389
2015-04-08,127.2374,131.6809,125.9863,130.0786,22223361
2015-04-09,131.2346,132.8936,129.0429,130.8743,15012123
2015-04-10,131.1376,132.2928,127.7794,129.4087,10660240
