Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,157450.0
2015-01-02,99.51,101.45,99.44,100.96,445846.0
2015-01-05,101.56,102.22,100.4,101.02,558272.0
2015-01-06,100.69,101.31,99.26,100.1,491464.0
2015-01-07,100.47,102.97,100.28,102.36,1660934.0
2015-01-08,102.63,103.51,101.8,102.2,603374.0
2015-01-09,103.07,104.32,101.18,102.71,892914.0
2015-01-12,103.22,104.67,102.3,103.3,1227922.0
2015-01-13,103.66,106.96,103.27,106.04,1565856.0
2015-01-14,106.56,109.09,105.71,106.99,1406272.0
2015-01-15,108.87,109.63,106.33,107.08,1576864.0
2015-01-16,106.76,109.64,106.04,108.89,1392842.0
2015-01-19,109.3,110.36,108.32,109.5,989156.0
2015-01-20,109.55,110.47,108.72,109.72,827094.0
2015-01-21,109.71,110.46,108.9,109.68,892678.0
2015-01-22,109.55,110.82,109.05,109.62,1370642.0
2015-01-23,110.5,112.15,110.25,111.6,1377422.0
2015-01-27,111.87,113.89,111.41,112.59,1134478.0
2015-01-28,112.63,113.46,110.97,112.08,930760.0
2015-01-29,112.23,112.93,110.16,111.02,618174.0
2015-01-30,111.2,111.2,109.21,109.59,808340.0
2015-02-02,109.6,110.5,108.11,109.21,818332.0
2015-02-03,110.06,111.28,108.21,109.83,858342.0
2015-02-04,110.36,111.17,107.76,108.22,812050.0
2015-02-05,109.18,109.22,105.58,106.67,647342.0
2015-02-06,106.97,108.02,106.2,106.96,679626.0
2015-02-09,106.91,108.09,105.35,106.48,997126.0
2015-02-10,107.56,109.44,106.08,106.92,677782.0
2015-02-11,108.12,109.21,106.56,107.8,664214.0
2015-02-12,107.98,109.55,106.63,107.85,1326042.0
2015-02-13,108.16,112.06,106.74,111.07,1218626.0
2015-02-16,113.34,114.03,111.41,112.49,1041358.0
2015-02-18,112.71,114.21,111.1,113.1,939256.0
2015-02-19,113.49,113.93,111.32,112.16,495230.0
2015-02-20,112.28,114.9,111.35,113.9,3028086.0
