Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,161440
2015-01-02,100.3446,103.3015,99.8854,101.9593,487967
2015-01-05,102.6302,108.0162,101.6421,105.7878,935496
2015-01-06,105.1745,106.5185,101.1205,102.8949,725789
2015-01-07,103.0356,106.2108,101.4919,104.8932,803977
2015-01-08,106.0072,111.1872,105.4019,109.4415,929847
2015-01-09,110.4513,112.7688,108.7217,111.4984,743767
2015-01-12,112.0702,113.4452,110.3528,111.6141,839474
2015-01-13,112.3614,113.5654,109.4433,111.2409,483186
2015-01-14,111.5403,113.4645,109.1706,111.7397,395253
2015-01-15,113.5613,114.3551,110.782,112.287,863685
2015-01-16,111.9116,114.859,110.57,113.3436,551501
2015-01-19,114.2001,115.5392,112.8332,114.2294,574408
2015-01-20,114.5519,115.9042,112.9473,113.9013,420370
2015-01-21,114.4182,117.2298,112.6434,115.5963,462899
2015-01-22,115.9077,117.2094,114.335,114.8036,417822
2015-01-23,115.4708,116.658,112.6417,113.7388,345507
2015-01-27,113.9802,116.5634,112.4482,113.6657,354346
2015-01-28,113.9154,115.5555,112.4188,113.1655,430964
2015-01-29,113.0897,114.9738,111.1643,112.5709,363501
2015-01-30,112.8789,114.4829,109.9873,111.007,282528
2015-02-02,110.5259,114.2144,108.2624,110.3132,369458
2015-02-03,111.1012,113.0352,109.2073,110.0095,467978
2015-02-04,110.4204,111.77,108.2456,109.4447,224488
2015-02-05,109.4354,111.0724,106.7844,108.1641,310905
2015-02-06,108.5607,108.9033,104.335,106.4997,460213
2015-02-09,106.3931,107.0131,102.685,103.8624,263970
2015-02-10,104.309,105.9326,101.91,103.7215,285421
2015-02-11,104.3031,106.2564,101.8305,104.0091,466914
2015-02-12,102.4079,106.6476,100.5946,103.255,1476161
2015-02-13,103.5164,106.2412,102.07,103.1669,547817
2015-02-16,103.8291,107.8919,103.4155,105.5405,558606
2015-02-18,105.8407,107.3004,104.4888,105.2214,493122
2015-02-19,106.0395,106.7539,103.6375,104.6129,321530
2015-02-20,106.2179,107.6384,105.5676,106.2494,488111
2015-02-23,106.906,107.1227,101.7565,103.4264,457691
2015-02-24,103.645,104.4587,100.7708,101.385,485927
2015-02-25,101.4565,103.4138,100.684,101.2358,410842
2015-02-26,101.4087,102.5637,99.171,99.9161,700095
2015-02-27,99.9997,107.7862,99.2781,103.8451,1241682
2015-03-02,107.9516,109.4282,103.903,106.0566,669341
2015-03-03,106.8388,107.6661,104.2134,105.3215,514984
2015-03-04,105.7152,107.3166,103.142,104.5283,379695
2015-03-05,104.5859,105.9094,102.7829,103.621,427477
2015-03-09,103.3066,105.8892,102.6784,104.1421,342456
2015-03-10,104.1382,105.4819,102.6109,103.7691,266136
2015-03-11,103.7673,105.2511,102.1232,103.4184,248049
2015-03-12,103.7588,105.0345,102.52,103.4336,205616
2015-03-13,103.6328,104.1076,98.5765,99.4299,877977
2015-03-16,101.797,104.1154,99.4257,101.1628,571543
2015-03-17,101.7815,103.0521,100.1622,101.1223,724543
2015-03-18,101.525,102.6555,100.647,101.4725,509749
2015-03-19,101.8286,102.3948,98.8643,99.2881,363386
2015-03-20,99.4227,100.7403,96.8107,98.4365,461513
2015-03-23,98.862,100.0867,95.7232,97.5465,313895
2015-03-24,96.7592,99.3491,95.8323,98.1278,450262
2015-03-25,98.1095,99.4418,97.1256,97.8158,361373
2015-03-26,97.7533,98.1783,95.238,96.2046,780913
2015-03-27,96.9141,98.0168,93.4075,94.9345,1219893
2015-03-30,95.8956,97.9289,94.1962,95.8485,1007842
2015-03-31,97.0075,98.3385,95.088,95.7914,858923
