Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,32189889
2015-01-02,100.2316,101.4522,99.8836,100.569,41686196
2015-01-05,100.5704,101.734,99.8553,100.6213,37838628
2015-01-06,100.2105,100.5598,97.3349,98.0656,38632848
2015-01-07,98.298,99.1635,96.6739,97.8707,32363976
2015-01-08,98.6112,100.005,98.1386,99.2529,26227240
2015-01-09,99.7944,101.8483,99.168,100.7536,37687561
2015-01-12,100.9693,101.9959,99.7371,100.9655,25089673
2015-01-13,101.1702,102.4538,99.9688,100.9183,34007440
2015-01-14,100.9046,101.7524,99.2663,99.952,26899766
2015-01-15,100.7077,101.7725,99.2058,100.3646,27844292
2015-01-16,100.5344,102.4821,99.8932,101.5609,25397167
2015-01-19,102.0512,103.8401,101.3832,103.071,37299635
2015-01-20,103.4727,104.5995,102.3606,103.7545,74968532
2015-01-21,103.7805,105.1709,102.5872,104.1077,46202249
2015-01-22,104.1376,107.255,103.6569,106.1852,53587216
2015-01-23,106.7175,108.8111,105.0804,106.8465,58495939
2015-01-27,107.4693,109.239,104.8148,107.2919,44426351
2015-01-28,107.3389,109.32,105.6565,107.5988,55137613
2015-01-29,107.3665,110.1726,105.564,108.2701,51712866
2015-01-30,108.7204,109.7453,106.4365,107.7389,48216726
2015-02-02,107.959,109.9566,106.7103,108.0453,169912681
2015-02-03,108.4894,109.6458,105.9471,107.4625,75304709
2015-02-04,108.0607,110.0501,106.7509,108.3585,62434731
2015-02-05,108.3793,109.4131,106.2162,107.2697,62883713
2015-02-06,107.379,108.4361,104.1653,105.2052,50820793
2015-02-09,104.7,107.0053,102.8539,105.2855,41122522
2015-02-10,105.2885,107.1514,103.2738,105.243,55801550
2015-02-11,105.7493,108.1021,104.4219,106.7754,58273599
2015-02-12,107.4084,109.4507,105.9392,108.2695,63347758
2015-02-13,109.2604,111.9621,108.3021,110.1672,78560755
2015-02-16,109.6583,111.0023,108.1675,109.0187,46645485
2015-02-18,109.4524,110.9506,108.352,109.6577,55506407
2015-02-19,109.9928,110.9299,108.0738,109.2712,36420569
2015-02-20,109.4663,110.6701,108.2504,109.2021,33741942
2015-02-23,109.3134,110.8317,107.1847,108.4699,42051412
2015-02-24,108.5655,109.7948,107.4402,108.678,35798311
2015-02-25,109.0926,109.8489,106.5349,107.5107,33895623
2015-02-26,107.59,108.5148,104.5539,105.9075,40250665
2015-02-27,106.2583,108.3322,105.4782,107.2866,34739511
2015-03-02,109.7521,112.5994,108.603,111.4265,37652219
2015-03-03,112.1344,114.2907,111.2064,112.8986,43085287
2015-03-04,113.4394,118.0646,111.3793,114.8616,51635514
2015-03-05,115.3956,118.7776,114.2326,117.7094,43554060
2015-03-09,117.2022,120.1685,115.687,118.3661,63800089
2015-03-10,119.0106,121.2509,116.8239,118.3382,97383225
2015-03-11,118.8426,120.4866,116.1593,117.474,55787783
2015-03-12,117.8692,120.8031,116.8798,119.554,117806334
2015-03-13,120.3551,121.44,117.0296,117.9923,78131188
2015-03-16,118.3127,120.3642,116.4419,118.678,222438859
2015-03-17,119.323,122.14,118.5094,120.5883,310092923
2015-03-18,121.0435,122.4272,119.157,120.8264,152163471
2015-03-19,121.9066,124.3315,119.8276,121.1931,90410727
2015-03-20,121.5422,123.5343,117.3662,118.5655,82147012
2015-03-23,119.1859,120.764,116.7907,118.5786,59220338
2015-03-24,119.204,121.8626,118.129,120.3795,132485787
2015-03-25,121.5636,123.3299,119.8708,121.2821,99137020
2015-03-26,121.0017,121.8634,117.7396,118.9905,59637535
2015-03-27,119.795,121.0582,116.3946,118.2547,62249298
2015-03-30,119.4296,121.2768,117.9495,119.5241,61197634
2015-03-31,120.0912,122.5393,119.0995,120.9884,66837617
2015-04-01,121.1977,125.4118,120.2134,124.1715,76138175
2015-04-06,125.4494,131.5912,124.5788,130.3562,98018348
2015-04-07,131.2825,133.4133,128.0769,130.2556,127378362
2015-04-08,131.2416,133.151,128.6626,130.6622,110574222
2015-04-09,131.4376,131.9365,126.4747,127.7565,73934683
2015-04-10,127.8431,129.4577,125.5449,127.5752,65411327
2015-04-13,127.7736,130.4504,126.3376,129.3255,85350461
2015-04-15,130.1363,131.1441,126.0702,127.0991,96856334
2015-04-16,127.3165,128.3001,123.2957,125.1668,70756749
2015-04-17,125.2574,126.6816,119.6947,121.0199,70727291
2015-04-20,121.7436,123.4668,118.6722,120.1799,69380930
2015-04-21,116.8103,118.6586,113.6705,115.7005,315972775
2015-04-22,116.5404,118.8183,114.6272,117.0371,72299196
2015-04-23,118.0254,118.9821,114.8758,115.7489,58468185
2015-04-24,116.0747,117.324,113.0534,114.5232,85835077
2015-04-27,114.9635,115.5016,109.0102,110.5702,64451644
2015-04-28,109.9039,112.4166,107.8232,110.9351,70141154
2015-04-29,111.4047,113.9181,110.2721,112.0369,52217222
2015-04-30,111.5834,113.8844,109.8552,112.3504,77358675
2015-05-04,113.2683,116.5993,112.4263,115.0965,56307885
2015-05-05,115.3219,116.9774,114.0765,115.6834,69249184
2015-05-06,115.5825,116.231,110.8063,112.254,57510267
2015-05-07,111.9973,112.8823,108.8582,110.5659,53064385
2015-05-08,111.5035,113.9174,110.3333,112.3795,48143290
2015-05-11,113.3056,115.5531,112.2012,114.191,43025162
2015-05-12,114.2424,115.0952,111.7785,113.0506,39803108
2015-05-13,113.7545,115.844,111.7967,113.5747,64331093
2015-05-14,113.3869,114.6196,111.5872,113.4557,56353189
2015-05-15,113.0547,115.3975,111.9447,114.1499,43133666
2015-05-18,114.3,116.6042,113.6856,115.8141,36588485
2015-05-19,115.8426,118.2584,114.5782,116.2415,51049145
2015-05-20,116.8243,118.1238,115.5355,116.6681,44004153
2015-05-21,116.9703,118.4996,115.2683,117.0277,41062635
2015-05-22,117.1579,119.3864,116.1076,118.171,47229808
2015-05-25,118.4372,119.4612,116.6996,117.6092,34979862
2015-05-26,117.8014,118.5937,115.7985,117.1537,83357950
2015-05-27,116.7903,118.9901,115.0439,117.0842,57968681
2015-05-28,117.3206,118.1702,114.0958,115.4077,54314515
2015-05-29,115.8629,119.0761,114.5488,117.515,94141130
2015-06-01,114.9696,116.7465,112.0376,113.877,53800328
2015-06-02,114.4523,115.3243,111.4566,112.1767,44405181
2015-06-03,112.3918,113.0741,108.4971,110.3627,48328070
2015-06-04,110.3822,111.5906,107.796,109.459,43630317
2015-06-05,109.4516,112.0824,108.6723,110.2905,39530719
2015-06-08,110.6413,111.4551,107.9595,109.0609,32707564
2015-06-09,108.5986,109.5702,106.5165,107.6387,45471433
2015-06-10,107.8527,110.2385,107.1332,108.9209,34602331
2015-06-11,109.5421,110.8111,106.744,107.4995,39431546
2015-06-12,107.7298,108.5585,105.7327,107.3444,30240536
2015-06-15,107.6864,110.062,106.519,108.545,38955285
2015-06-16,108.8064,109.9094,107.2984,108.8313,60079066
2015-06-17,109.576,111.7691,108.5985,110.5598,56169544
2015-06-18,111.1296,113.5628,110.3605,112.2187,47569789
2015-06-19,112.7957,114.1454,111.1647,112.4997,40393235
2015-06-22,113.1904,114.5475,112.1503,113.2201,32586903
2015-06-23,113.6479,114.7882,112.2854,113.2891,45108266
2015-06-24,113.5761,115.903,112.8202,114.2384,50577109
2015-06-25,114.1926,115.7123,112.8148,114.2191,49649677
2015-06-26,114.3813,115.6234,113.2027,114.5452,30748867
2015-06-29,112.7865,113.818,110.5055,112.8996,46804291
2015-06-30,113.1156,116.2701,112.5687,115.4897,65963711
2015-07-01,116.1222,117.7801,114.9684,116.1389,46298757
2015-07-02,116.9779,117.6523,115.0783,115.6876,43442920
2015-07-03,116.1489,117.5665,115.1762,116.0697,40510471
2015-07-06,114.1684,118.3117,113.7246,117.687,69897216
2015-07-07,117.9919,119.5252,116.7682,118.2406,65468729
2015-07-08,117.4924,119.3895,115.7363,117.2963,53893555
2015-07-09,117.4474,119.3414,116.3766,117.461,42788006
2015-07-10,118.2222,120.0484,116.999,118.7942,38242125
2015-07-13,119.5801,121.3281,118.6414,120.3695,86417338
2015-07-14,120.7917,122.1164,119.642,121.1391,78984692
2015-07-15,121.4531,123.2503,120.6783,122.3265,69125352
2015-07-16,122.8291,124.464,122.0369,123.7957,49876375
2015-07-17,124.3898,125.8897,123.3744,124.4696,60859279
2015-07-20,124.8822,125.8454,123.6627,124.8017,52805961
2015-07-21,121.1823,121.6635,115.9156,116.9552,75580655
2015-07-22,116.9277,119.9906,115.7992,118.4549,47137149
2015-07-23,119.0294,119.8577,116.31,117.4669,52170053
2015-07-24,117.8021,119.1358,115.7798,116.9966,64609827
2015-07-27,116.9803,118.2314,114.5495,115.7338,49447079
2015-07-28,116.6057,117.6468,113.771,115.0264,54384685
2015-07-29,115.4132,117.2482,113.847,115.7344,70724850
2015-07-30,116.4762,118.3084,114.4852,116.2787,75213456
2015-07-31,117.0559,119.5555,115.5681,118.3399,54710486
2015-08-03,118.5456,120.2932,116.9424,118.6371,42948701
2015-08-04,119.1728,120.2248,117.0233,118.8251,47805432
2015-08-05,119.5093,121.7323,118.439,120.6986,48167160
2015-08-06,121.2336,123.6192,120.3912,121.9806,59447462
2015-08-07,122.4508,123.3867,120.7231,121.5384,69306384
2015-08-10,122.1378,123.5847,119.7726,121.1853,60854988
2015-08-11,121.8534,122.986,119.6213,121.1769,93272442
2015-08-12,121.2562,123.9531,119.6139,121.6079,58825557
2015-08-13,122.1773,124.7657,119.8307,122.7096,50841734
2015-08-14,123.8608,126.924,123.1232,125.1717,51422389
2015-08-17,125.8369,127.0989,122.9908,125.2709,62242969
2015-08-18,125.8395,127.3202,123.2809,124.5648,58965525
2015-08-19,125.0499,129.1736,124.2276,127.8439,74409298
2015-08-20,128.6871,131.8568,126.5148,128.0554,59832628
2015-08-21,127.2933,129.6828,124.3626,128.0392,51596209
2015-08-24,124.006,126.6915,116.7325,118.9685,70165012
2015-08-25,121.2474,123.8322,112.7895,120.2594,80654254
2015-08-26,120.5102,122.8247,117.2005,119.265,49854309
2015-08-27,121.9397,124.3974,119.962,122.7189,55687971
2015-08-28,124.3501,125.8533,120.4313,122.3163,49425735
2015-08-31,122.3514,125.9233,120.6447,124.0183,66583295
2015-09-01,122.8702,125.6968,120.2063,122.2528,47400132
2015-09-02,123.3983,124.6526,120.5181,121.4102,62804170
2015-09-03,122.5311,123.8299,120.6168,121.7313,47387943
2015-09-04,122.3878,122.8431,117.3252,118.8334,48133551
