Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,3169245
2015-01-02,100.1498,102.0682,98.1043,98.8946,4872750
2015-01-05,99.2408,101.2186,97.7879,99.2203,5900737
2015-01-06,98.6763,99.0427,95.7979,96.601,5069795
2015-01-07,96.5654,97.3633,93.4707,95.3752,4662323
2015-01-08,95.3427,98.2401,94.9263,97.1957,8614228
2015-01-09,97.7611,100.9114,96.8493,98.8207,8164269
2015-01-12,98.8725,100.7127,97.6222,99.3834,8042896
2015-01-13,99.5734,102.0538,97.7344,99.6252,16118455
2015-01-14,99.66,101.3704,97.6996,98.8157,9323689
2015-01-15,99.6548,101.6097,97.9817,100.0001,14280910
2015-01-16,100.2713,101.6777,98.4508,99.3997,9235084
2015-01-19,99.4619,101.5352,98.1621,99.2254,3929752
2015-01-20,99.5173,101.5111,98.3558,99.5362,6356776
2015-01-21,99.8005,102.3029,98.8206,100.5718,6121069
2015-01-22,100.3569,102.4862,99.3277,100.2295,5931816
2015-01-23,101.2093,102.8186,98.5791,99.8276,9840683
2015-01-27,99.4174,101.3057,98.0815,99.2528,5907431
2015-01-28,99.4482,101.6836,97.8589,99.2894,7279085
2015-01-29,99.5674,101.519,97.7303,99.2661,4586517
2015-01-30,99.8689,101.3021,98.3414,99.1231,4879505
2015-02-02,99.3109,102.0039,98.0641,99.6626,10699089
2015-02-03,100.3455,101.311,98.4794,99.4048,10537683
2015-02-04,99.5889,101.6115,98.04,99.596,13643402
2015-02-05,100.3689,102.4715,97.4761,99.5076,24868237
2015-02-06,99.6752,101.7994,97.5737,99.6868,23014484
2015-02-09,98.6699,100.5187,97.0036,98.695,5352382
2015-02-10,98.3748,100.2995,96.6995,98.6154,8996327
2015-02-11,98.9156,100.5002,97.9377,99.3234,5564278
2015-02-12,99.4927,102.594,98.2786,100.32,11696149
2015-02-13,100.5648,101.1564,98.2789,99.6148,6540826
2015-02-16,99.9565,101.2072,97.7155,98.6412,3681214
2015-02-18,98.7581,101.4099,98.3232,100.2992,10355490
2015-02-19,100.4752,102.9518,98.5624,101.0921,8307974
2015-02-20,101.1344,102.272,98.9565,100.3059,4839201
2015-02-23,100.3087,101.7164,97.3692,98.4488,8410215
2015-02-24,98.4888,100.8003,97.2672,99.1597,5872889
2015-02-25,99.4301,100.9545,97.2277,98.6941,7874033
2015-02-26,98.2691,100.6074,96.8768,98.1541,6232004
2015-02-27,98.0717,101.0457,97.1221,99.5824,6700501
2015-03-02,99.2815,100.304,97.1884,99.1426,6848929
2015-03-03,99.462,100.607,97.5576,98.5988,4487146
2015-03-04,99.1739,100.5565,96.4319,97.7799,11213432
2015-03-05,97.982,99.2292,95.7776,97.2035,5492574
2015-03-09,97.0458,99.2535,95.6848,97.1159,5063788
2015-03-10,97.5341,98.1333,95.1857,95.8461,6445756
2015-03-11,95.7611,96.6191,93.8546,94.6107,5319266
2015-03-12,94.9335,97.5258,94.5454,95.9561,8733495
2015-03-13,96.3962,97.2747,94.4251,95.2716,5795852
2015-03-16,95.089,96.2784,92.9257,94.1778,3367381
2015-03-17,94.5915,96.1384,93.5066,94.5692,4268233
2015-03-18,94.4609,95.7941,93.3265,94.6711,5100463
2015-03-19,95.7931,100.2582,93.1874,96.5631,7007506
2015-03-20,96.5097,98.6685,93.5942,95.873,8833246
2015-03-23,96.7326,97.7695,93.0828,94.406,4737016
2015-03-24,94.8945,95.8182,92.1361,93.4563,5383260
2015-03-25,93.7838,95.9837,92.3957,94.7017,5316530
2015-03-26,94.2048,95.8018,91.2784,94.0684,7815633
2015-03-27,93.7537,96.1996,91.23,94.4427,6906799
2015-03-30,95.0091,98.0219,93.7011,96.5119,4903787
2015-03-31,96.3053,98.5674,94.3886,96.6594,5054826
2015-04-01,96.5482,98.1669,94.0958,96.8899,4968113
2015-04-06,96.7802,98.9777,95.4063,97.8303,13133610
2015-04-07,98.2638,100.4818,95.9918,96.9477,7136347
2015-04-08,97.5127,99.5466,96.0229,98.0091,5043334
2015-04-09,98.1139,100.374,95.6258,98.2471,10009250
2015-04-10,98.1869,100.5893,95.9074,97.8371,7389410
2015-04-13,98.1754,99.521,96.2781,97.6683,9065786
2015-04-15,97.6217,99.6833,95.0523,96.56,9742596
2015-04-16,96.1649,97.438,93.8544,95.189,6207793
2015-04-17,95.2151,96.3443,92.7205,93.7527,4994664
2015-04-20,93.8406,94.5243,90.0881,91.4849,7884160
2015-04-21,91.5226,93.9571,90.3343,92.1429,5495179
2015-04-22,92.455,94.2914,90.4043,92.7306,8599012
2015-04-23,92.7164,94.4294,90.9014,91.9724,4783634
2015-04-24,91.9619,92.7099,87.6516,89.0724,6305786
2015-04-27,89.4609,90.3124,85.1845,87.2286,5420658
2015-04-28,87.2888,90.3886,85.7712,89.5308,7850211
2015-04-29,89.3699,91.7349,87.838,90.3928,3954154
2015-04-30,89.989,92.1663,88.0559,90.5846,5926668
2015-05-04,90.7977,93.4893,90.0904,92.3312,2753563
2015-05-05,92.2144,93.7798,89.5845,91.4844,3169419
2015-05-06,91.2355,91.8486,86.5557,88.0248,4416330
2015-05-07,88.232,89.1427,86.2108,87.3533,4287040
2015-05-08,88.5627,90.1685,87.3586,88.7927,2681874
2015-05-11,89.1976,91.3325,88.2178,89.5015,4148582
2015-05-12,89.4513,89.9009,87.3403,87.9611,2381214
2015-05-13,88.391,91.5813,86.8248,90.2497,6060563
2015-05-14,90.4426,93.7115,88.9956,91.8987,13634610
2015-05-15,93.3387,96.0114,91.3937,93.8887,31627673
2015-05-18,93.9628,95.1117,92.135,93.724,10014146
2015-05-19,93.7053,96.903,92.7199,94.9683,6958027
2015-05-20,95.2451,97.571,93.7087,95.4475,6688081
2015-05-21,95.9308,96.7569,94.0502,95.5306,5858189
2015-05-22,95.6468,96.3252,93.8835,94.5553,3791950
2015-05-25,94.3603,95.3695,91.6176,93.3999,3741732
2015-05-26,93.1035,94.6219,92.0324,93.0256,3069805
2015-05-27,92.2742,95.1735,91.4028,93.4302,4318471
2015-05-28,92.9497,93.5122,90.2815,91.3944,5420208
2015-05-29,92.2757,94.8033,90.6264,93.1113,9323614
2015-06-01,93.1886,95.103,91.7434,93.3556,4391867
2015-06-02,92.9859,94.2039,89.9659,91.1718,4885050
2015-06-03,91.6618,92.4841,87.6232,89.6081,4702222
2015-06-04,89.7357,91.009,87.5608,88.8779,3406707
2015-06-05,88.5345,90.7866,87.8238,89.2996,2060973
2015-06-08,89.7029,90.5559,87.2628,88.6723,2430488
2015-06-09,88.3893,89.3024,86.7336,87.4885,2619524
