Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,2894715
2015-01-02,100.082,102.1534,99.8714,100.6449,2805555
2015-01-05,100.8174,102.4062,100.236,101.1334,2294699
2015-01-06,100.269,100.7157,96.7383,97.9913,4541367
2015-01-07,98.0016,100.6667,97.2829,98.6706,6580105
2015-01-08,99.908,100.6707,97.5212,98.5693,5285916
2015-01-09,99.562,99.9014,96.7484,97.9075,3097600
2015-01-12,98.3138,99.6655,97.4554,98.7898,2163587
2015-01-13,98.7191,101.3271,97.6206,98.8079,7317319
2015-01-14,98.9604,100.577,98.1023,99.0829,5800463
2015-01-15,100.2267,102.4424,99.1695,100.7286,12965122
2015-01-16,101.3623,105.2126,100.3871,103.2919,11455249
2015-01-19,103.7938,107.2304,103.2824,106.6167,6632049
2015-01-20,106.9872,107.7797,105.1013,105.9776,3865709
2015-01-21,106.1414,111.0711,105.0026,109.9189,35863856
2015-01-22,109.9751,110.9991,106.8973,108.5996,10469703
2015-01-23,109.1983,110.2516,106.8801,108.6269,4878474
2015-01-27,108.536,112.3705,106.6565,109.5159,6307665
2015-01-28,111.1314,117.1929,109.6309,115.73,11259736
2015-01-29,114.7784,119.4152,113.7395,117.2815,13967628
2015-01-30,117.5872,119.3706,114.275,116.1862,11649889
2015-02-02,116.162,119.6049,115.3296,117.3781,12223346
2015-02-03,118.1765,120.9938,115.7814,116.3525,6619947
2015-02-04,116.7405,119.0762,114.3717,115.3868,5166850
2015-02-05,115.8284,117.1381,111.4958,113.4444,13038089
2015-02-06,115.5985,116.3839,109.3966,111.2859,48843097
2015-02-09,109.8174,113.1618,109.0188,110.2638,8400456
2015-02-10,109.593,114.6819,109.0891,112.0728,5207485
2015-02-11,112.8152,114.5542,111.7422,112.7999,3823781
2015-02-12,113.6414,114.9437,111.8907,112.631,4922425
2015-02-13,113.2057,114.5963,111.1964,112.6885,4975857
2015-02-16,114.4566,115.2446,110.4454,111.3799,3511507
2015-02-18,111.9397,115.5136,110.942,114.2609,7097329
2015-02-19,116.1012,118.0869,114.0267,114.89,13680192
2015-02-20,115.2682,116.9343,112.6468,115.6582,8861701
2015-02-23,115.4476,117.8178,109.619,113.0953,204091990
2015-02-24,114.0797,115.9203,112.7908,113.9356,36139111
2015-02-25,114.5171,115.7963,112.4151,113.5146,10852378
2015-02-26,113.8918,114.81,111.9627,113.8242,4342612
2015-02-27,113.9957,117.4728,113.1336,116.8056,19956215
2015-03-02,113.1836,114.5588,110.4757,112.4712,11093305
2015-03-03,112.6475,114.5479,111.5317,112.8404,3984000
2015-03-04,114.6826,115.2451,111.087,111.7516,4695842
