Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,12463253
2015-01-02,100.0958,102.1702,99.9624,101.1633,14147271
2015-01-05,100.6276,103.3598,100.0907,101.8582,21045673
2015-01-06,100.7475,100.9013,95.9682,96.722,37531062
2015-01-07,96.5254,98.7014,94.9798,97.3003,26824076
2015-01-08,98.5275,99.8138,96.8687,98.9007,42252400
2015-01-09,100.1557,103.0283,97.3341,101.0526,43914692
2015-01-12,101.2747,101.4754,99.008,99.8955,21592811
2015-01-13,99.8597,100.3957,97.5591,98.0807,28257886
2015-01-14,98.0872,99.6825,97.1645,98.6342,42949046
2015-01-15,99.7668,100.8943,98.0098,99.1937,32315362
2015-01-16,98.6945,100.6175,98.0189,99.1814,25468362
2015-01-19,99.4883,101.3468,98.6706,99.7796,24671870
2015-01-20,100.785,101.0317,99.3252,100.182,32161896
2015-01-21,100.1466,100.6175,98.6227,99.3736,31804133
2015-01-22,99.5324,101.5911,98.9475,100.6632,42010137
2015-01-23,101.2695,101.6414,99.1007,99.5996,24729416
2015-01-27,99.904,100.5449,98.567,99.6708,26717862
2015-01-28,99.7499,101.4097,99.0295,100.6065,22365940
2015-01-29,100.1754,101.2839,98.8931,100.1491,32921290
2015-01-30,100.2528,101.113,98.7027,99.6406,19295856
2015-02-02,100.3985,101.6287,98.9351,99.5544,22369367
2015-02-03,100.3248,102.4717,99.9021,101.749,33434861
2015-02-04,103.4174,105.432,101.9898,103.789,42324990
2015-02-05,103.7929,103.9479,100.1569,100.882,24877316
2015-02-06,101.4688,102.116,98.3056,99.6118,30082784
2015-02-09,98.2246,100.7809,97.8968,99.8926,24099422
2015-02-10,99.4888,101.0324,98.2487,99.6165,21583724
2015-02-11,99.7857,100.4436,97.2259,97.797,18285879
2015-02-12,98.1384,99.8273,96.4487,98.581,24265897
2015-02-13,97.1029,98.2276,95.6061,96.1969,34745547
2015-02-16,95.9016,97.7147,95.3693,96.3091,17878656
2015-02-18,96.5586,97.5495,94.36,94.8994,27796508
2015-02-19,95.1997,95.8255,94.0734,94.9142,22510779
2015-02-20,95.1521,95.805,94.0154,94.3598,25005815
2015-02-23,94.6755,95.1951,92.2502,92.8268,23964945
2015-02-24,93.1237,93.5509,89.8538,90.7835,43315683
2015-02-25,91.4695,92.8966,90.5675,91.3511,38678918
2015-02-26,91.9843,92.7819,90.5491,91.8502,38040685
2015-02-27,91.8838,94.0148,91.5012,93.3462,33008612
2015-03-02,94.3135,94.7792,91.3387,92.4119,25486523
2015-03-03,92.5506,93.956,91.3471,92.4252,22695513
2015-03-04,92.9465,94.1131,91.6703,92.1895,30607744
2015-03-05,92.3785,92.82,91.1574,92.1769,23310373
2015-03-09,91.6936,91.9686,90.0827,90.739,21152904
2015-03-10,91.1514,91.635,88.7108,90.3934,27942112
2015-03-11,90.566,91.426,88.7711,89.4297,24840562
2015-03-12,89.7761,90.7742,89.2181,90.1706,22472813
2015-03-13,90.4833,91.355,89.4315,90.1388,21310426
2015-03-16,90.084,90.4541,88.9337,89.4593,20007217
2015-03-17,89.4546,90.4474,88.7692,89.8776,16858133
2015-03-18,90.0551,90.6069,88.4565,89.064,37663159
2015-03-19,89.3375,91.2042,88.9397,89.8552,23414623
2015-03-20,89.8746,90.1873,88.317,89.1559,21396626
2015-03-23,89.1956,90.4867,88.8857,90.0107,14622438
2015-03-24,90.0966,91.3609,89.4861,90.7244,18208288
2015-03-25,91.3386,91.6216,89.2139,89.5717,20476400
2015-03-26,90.0453,90.3492,87.2221,87.9534,29067497
2015-03-27,88.3519,89.6418,87.2184,88.3588,23459799
2015-03-30,88.4451,91.4028,87.8755,90.6986,16961898
2015-03-31,90.9797,92.1964,88.2243,89.0323,28228197
2015-04-01,89.2174,90.0281,88.4467,89.1811,19255294
2015-04-06,89.6348,92.4978,89.187,91.9757,15359993
2015-04-07,92.6008,93.2662,91.3245,92.4909,19710417
2015-04-08,92.5381,93.236,90.7402,91.5778,20094747
2015-04-09,92.0129,92.6191,90.1151,90.7331,23402345
2015-04-10,90.791,92.3653,90.3052,90.9044,26683974
2015-04-13,91.6468,92.1158,90.4183,91.4949,28930666
2015-04-15,91.7485,94.5658,91.0983,92.7121,29550234
2015-04-16,92.9987,95.5773,92.6675,95.0144,26772912
2015-04-17,95.4739,96.5633,94.5924,95.3318,27041405
2015-04-20,95.3047,96.0894,91.5027,93.068,16021496
2015-04-21,93.2351,94.5221,91.6097,92.2979,23159542
2015-04-22,92.4344,93.4283,89.4723,90.4809,31588356
2015-04-23,91.1577,91.5287,89.1032,89.6179,23117379
2015-04-24,90.091,92.0285,88.7941,90.8436,21904113
2015-04-27,91.0842,91.3059,88.2283,88.9281,19574241
2015-04-28,88.7154,90.1293,87.2891,88.5546,18324756
2015-04-29,88.5322,89.6076,87.567,88.6477,17506421
2015-04-30,88.7319,89.3508,87.4238,87.8606,33251393
2015-05-04,88.4025,94.1372,88.2132,93.4969,25019612
2015-05-05,94.0637,96.961,93.2392,96.4988,38023167
2015-05-06,96.0655,96.503,92.1028,93.0563,26226007
2015-05-07,93.3499,94.0023,90.0326,91.3201,18007393
2015-05-08,91.689,92.6961,89.8511,90.4909,15619305
2015-05-11,90.9135,92.2765,90.2188,91.6759,14835076
2015-05-12,91.9841,92.2659,88.5415,89.3856,17531614
2015-05-13,90.1764,91.8188,88.9849,90.0981,24092041
2015-05-14,90.3315,92.3316,89.3977,91.4982,14982128
2015-05-15,91.4953,92.5052,90.4297,92.0012,19761843
2015-05-18,92.3785,94.0047,92.0878,93.2032,16109383
2015-05-19,92.7126,93.4215,91.4073,92.3713,20039502
2015-05-20,92.3695,93.0687,91.2669,91.6935,16575066
2015-05-21,92.119,92.7959,91.1081,92.2417,12952830
2015-05-22,93.5675,94.1896,92.3868,93.3954,15013049
2015-05-25,93.5136,95.2598,92.9486,94.4354,15869271
2015-05-26,94.5564,95.0958,92.569,92.9177,16248227
2015-05-27,93.0916,95.2604,91.7185,94.5306,22958801
2015-05-28,94.8846,95.977,92.4896,93.7113,31271469
2015-05-29,91.8311,95.2047,90.3034,94.2851,46253191
2015-06-01,94.1899,94.8107,92.4371,93.3535,13101637
2015-06-02,94.2794,94.4796,91.6895,92.3127,13179045
2015-06-03,92.1892,93.3835,88.6265,89.2468,17088298
2015-06-04,89.6797,90.1271,87.1819,87.792,19254099
2015-06-05,88.0252,90.8115,86.7424,89.6436,21682943
2015-06-08,90.0507,90.3134,88.5566,88.9978,15306803
2015-06-09,88.7774,89.5243,87.2577,88.0463,17351552
2015-06-10,88.1907,89.901,87.9728,89.1829,18714917
2015-06-11,89.4654,90.1441,87.8186,88.1941,18421290
2015-06-12,88.1322,88.8965,87.5965,88.1406,17012630
2015-06-15,88.1576,89.792,87.5039,88.9403,13367446
2015-06-16,88.8707,89.6644,87.9058,89.0627,11708549
2015-06-17,89.2151,90.0322,88.6501,89.5332,20428308
2015-06-18,89.6358,91.845,89.2177,91.0192,15826429
2015-06-19,91.4384,93.0223,90.9583,92.2967,16012465
2015-06-22,92.5532,92.8955,91.0732,92.3552,13307244
2015-06-23,92.4705,93.8812,91.9619,92.6836,16095700
2015-06-24,92.8813,93.8589,91.7396,92.3522,25587200
2015-06-25,92.0684,93.7867,90.6396,91.9501,35839892
2015-06-26,91.7662,92.5698,90.7649,91.5832,22220318
2015-06-29,90.3824,91.1283,89.2751,90.4451,19788841
2015-06-30,90.2646,91.1925,89.6168,90.3487,25279904
2015-07-01,90.2869,92.9583,90.0321,91.5405,108127603
2015-07-02,91.6375,92.2415,90.2944,90.623,32450849
2015-07-03,91.1005,91.5871,90.0503,90.4414,21065764
2015-07-06,89.3662,90.7271,88.947,90.4137,25226660
2015-07-07,90.5168,90.9208,89.372,89.6313,23539172
2015-07-08,89.0583,90.2813,88.0292,88.5127,23198309
2015-07-09,88.6212,89.2576,86.9813,87.3753,19565284
2015-07-10,88.1507,88.4718,85.4718,86.437,29435296
2015-07-13,86.8401,87.5716,85.1038,86.2388,23430254
2015-07-14,86.1897,87.2683,85.4283,86.2212,23437739
2015-07-15,86.5837,87.7624,86.19,86.5588,20014299
2015-07-16,86.7322,87.5898,86.1163,86.6434,29632146
2015-07-17,87.0077,87.4652,86.2627,86.7998,19190503
2015-07-20,86.8399,87.332,86.0608,86.5988,16779194
2015-07-21,86.6557,86.8232,83.7234,84.1251,19277293
2015-07-22,84.1268,86.1632,83.921,85.2733,29506820
2015-07-23,85.5545,86.0541,84.0486,85.3186,41557217
2015-07-24,84.9674,85.7716,84.2065,84.7048,24728077
2015-07-27,84.4943,84.7672,81.3654,81.8757,26645830
2015-07-28,81.9699,82.2933,79.8025,81.3576,27021220
2015-07-29,81.5646,82.1654,79.9039,81.2345,31046461
2015-07-30,82.0415,82.8613,81.0506,81.6473,32809769
2015-07-31,81.9835,83.4906,81.6238,82.3632,24133139
2015-08-03,82.3569,83.7794,80.9941,82.6934,27298830
2015-08-04,82.7527,82.9456,80.3117,80.8531,28856063
2015-08-05,81.4232,82.5475,80.8979,81.6853,27633977
2015-08-06,81.9491,82.8999,81.2386,81.9494,34615172
2015-08-07,81.7555,85.0075,81.3073,84.2295,49194123
2015-08-10,84.5514,85.2105,82.2418,82.8469,27534672
2015-08-11,83.2357,83.4735,81.1403,81.6681,18951328
2015-08-12,81.5908,82.4743,80.1208,81.1268,29772600
2015-08-13,81.4513,82.4095,79.8704,80.903,22412456
2015-08-14,81.4977,82.2249,80.3438,81.3977,17653013
2015-08-17,81.3894,81.9234,79.1447,80.3328,21168846
2015-08-18,80.8786,81.1912,78.8886,79.2621,17185294
2015-08-19,79.0876,79.9018,78.2912,79.2075,19928196
2015-08-20,78.6004,79.0483,77.0943,77.6567,25446937
2015-08-21,76.981,78.0567,75.7263,77.2932,20086493
2015-08-24,75.4486,76.0767,68.2802,69.1836,61560774
2015-08-25,70.1027,71.8133,67.602,70.3747,36694644
2015-08-26,70.2989,72.2925,68.3355,69.3973,29512354
2015-08-27,71.3194,71.9904,69.6352,70.9144,35870345
2015-08-28,73.2119,75.1413,72.4257,74.0357,31851721
2015-08-31,74.8563,75.6595,72.3351,73.1599,31838651
2015-09-01,73.885,74.2923,71.167,71.8602,27159102
2015-09-02,71.9696,72.6407,69.4143,70.0825,23236991
2015-09-03,70.8872,71.9868,70.058,71.0682,14858476
2015-09-04,71.7315,71.8957,68.2267,69.49,27043862
2015-09-07,70.0067,70.6313,68.6722,69.4777,18912055
2015-09-08,69.8151,71.4325,68.7905,70.9458,24379523
2015-09-09,71.7669,72.1613,70.7022,71.1791,21701427
2015-09-10,70.4078,71.1774,69.2247,70.2913,30242707
2015-09-11,70.789,71.8056,70.024,70.4447,22460665
2015-09-14,70.8376,71.3597,69.7868,71.0141,10394412
2015-09-15,71.0685,71.7149,69.9724,70.8724,14183781
2015-09-16,71.7341,72.0057,70.5291,71.2975,24997303
2015-09-18,71.4112,74.1247,70.7592,73.178,26953206
2015-09-21,72.4101,73.836,72.0146,73.3524,12490119
2015-09-22,74.0995,74.3117,71.7803,72.2413,17629455
2015-09-23,71.1297,73.0333,70.802,72.4812,10124258
2015-09-24,72.5283,73.2331,69.9622,70.8322,23692808
2015-09-28,71.013,71.3232,69.6686,70.1057,12480877
2015-09-29,69.542,70.7604,68.0107,70.3343,16883406
2015-09-30,70.8186,72.3196,69.0434,71.4209,30141565
2015-10-01,71.6257,72.8488,70.6209,71.714,14269161
2015-10-05,72.3171,74.2023,70.8862,73.8838,16939862
2015-10-06,74.0538,76.2756,73.6015,75.7577,24480148
2015-10-07,76.5833,79.175,76.3938,78.2559,23055768
2015-10-08,78.8506,79.051,76.6238,77.9806,13099083
2015-10-09,78.8425,79.9566,78.3449,79.3195,17073251
2015-10-12,79.3287,80.7294,78.6893,79.4525,15275110
2015-10-13,78.6686,79.3336,76.8243,77.4566,15661121
2015-10-14,77.5133,79.9333,77.14,77.8495,17883483
2015-10-15,78.3482,79.6502,77.5436,79.174,16267855
2015-10-16,79.426,80.5318,78.2748,80.0255,12630200
2015-10-19,80.0422,80.5395,78.0475,78.7709,19746572
2015-10-20,78.3381,78.9846,77.2413,77.7713,18880583
2015-10-21,77.5364,78.9426,76.8932,77.576,13315681
2015-10-23,78.0433,79.8119,77.8681,78.6806,16403269
2015-10-26,78.616,79.8082,77.6284,78.4246,20916599
2015-10-27,77.6828,78.2226,75.8514,76.2315,26735310
2015-10-28,75.5539,77.7001,74.6789,76.9922,33793409
2015-10-29,77.7955,78.3123,76.0403,76.593,39706080
2015-10-30,76.4366,76.9432,74.8202,75.7318,18936060
2015-11-02,75.7341,76.3973,74.1288,75.8433,13093366
2015-11-03,75.8997,77.3337,75.0042,76.7052,16266259
2015-11-04,76.9974,77.6563,75.9329,76.6712,25476753
2015-11-05,76.1763,77.3216,75.6381,76.0286,16575531
2015-11-06,75.6087,77.437,74.9127,75.8599,16348584
2015-11-09,74.3759,76.1078,73.9262,75.4375,15963417
2015-11-10,75.4656,76.3298,72.9268,73.4463,19838772
2015-11-13,72.6248,72.9797,70.9983,71.5547,22937259
2015-11-16,71.4229,72.723,69.3826,72.2369,31230944
2015-11-17,72.5201,73.6854,71.3427,73.1771,29696221
2015-11-18,72.9099,73.7664,72.1871,72.9042,20077559
2015-11-19,73.4496,74.1251,72.2432,73.6378,19322576
2015-11-20,74.0592,76.2013,73.4617,75.2288,76010196
2015-11-23,75.4514,76.7314,74.3207,75.4767,48400479
2015-11-24,75.6576,77.2744,74.6317,75.6559,43768295
2015-11-26,75.7803,77.2681,75.1256,76.5921,46859225
2015-11-27,76.9297,77.699,76.0249,76.6713,23723919
2015-11-30,76.2821,77.2049,75.0911,76.3865,69910000
2015-12-01,76.5722,77.8602,75.901,76.7491,29539643
2015-12-02,77.1434,77.6513,75.9735,76.845,21427429
2015-12-03,76.2022,76.8698,74.8405,75.5412,29106386
2015-12-04,74.8678,76.3513,74.3184,75.0853,30201686
2015-12-07,75.3584,75.9073,73.809,74.3511,28441089
2015-12-08,73.8519,74.0435,71.1324,71.6504,30411712
2015-12-09,71.434,72.3321,70.4622,71.6576,27567056
2015-12-10,71.9042,73.0556,70.8976,72.4969,29388476
2015-12-11,72.5112,73.241,70.9216,71.5572,33384318
2015-12-14,70.8008,71.7395,70.2846,71.0559,20607241
2015-12-15,71.3997,72.4123,70.6689,71.8711,20519799
2015-12-16,72.3913,75.1367,71.7154,74.1574,83204086
2015-12-17,74.1923,74.6816,72.5915,73.8369,47254744
2015-12-18,73.4607,74.1492,72.7625,73.3743,29556844
2015-12-21,73.2971,75.354,72.7266,74.8193,32844378
2015-12-22,74.9431,75.7295,74.1099,74.9123,32341308
2015-12-23,75.5971,77.1275,75.1061,76.6964,41672929
2015-12-24,77.2971,78.087,76.1266,76.6199,26510898
2015-12-28,76.6894,78.955,76.4815,78.1933,40249229
2015-12-29,78.2558,79.2321,77.3415,78.3258,38045763
2015-12-30,78.4867,79.4068,77.9459,78.3827,31973959
2015-12-31,78.3316,79.8426,76.837,79.0184,65977268
2016-01-01,78.7459,79.8107,78.0123,79.1624,20017616
2016-01-04,78.8313,80.0698,77.018,77.7724,24626883
2016-01-05,78.3975,80.2992,78.0083,79.4839,57429700
2016-01-06,79.5562,80.3738,77.5701,78.674,72115454
2016-01-07,76.9416,78.1239,75.0193,75.9007,62930411
2016-01-08,76.5393,77.6432,75.7137,76.9048,33869937
2016-01-11,75.7076,76.567,74.5079,75.6733,52252582
2016-01-12,75.4399,75.7789,73.9789,74.4432,47942366
2016-01-13,74.9483,75.5801,72.565,74.4139,44601698
2016-01-14,73.6117,75.0992,72.2691,74.049,31638257
2016-01-15,74.3748,74.577,71.6847,72.2255,29320882
2016-01-18,71.4348,72.7024,69.5574,70.9654,32296883
2016-01-19,71.3691,72.7214,70.0652,72.0469,22792945
2016-01-20,70.9601,71.6493,69.3819,70.6485,24963887
2016-01-21,70.984,71.6518,68.8144,69.3626,30453167
2016-01-22,70.7084,73.1304,69.9216,72.6486,40615524
2016-01-25,73.8437,74.287,72.2387,73.141,38108499
2016-01-27,73.1519,73.9516,72.0668,72.8314,28096729
2016-01-28,72.8924,73.7425,71.5831,73.1022,50691514
2016-01-29,73.5236,75.6823,72.9932,74.9619,60121464
2016-02-01,75.349,75.8956,73.4293,74.8853,21671164
2016-02-02,74.2,74.9045,72.2307,72.6865,25629409
2016-02-03,71.7486,72.9547,70.5304,71.6687,20147515
2016-02-04,72.9745,73.902,71.7469,72.9631,23831232
2016-02-05,73.048,73.6544,71.6742,72.6874,26542481
2016-02-08,72.6195,73.3284,70.301,71.1544,23823862
2016-02-09,70.2312,72.7877,69.9175,72.1179,26014550
2016-02-10,71.049,71.7631,69.8428,70.8713,24050771
2016-02-11,70.7645,71.154,66.6849,67.8022,33878599
2016-02-12,67.2173,67.4333,63.4237,65.2837,39072047
2016-02-15,66.7202,68.1015,65.7057,67.6811,27477426
2016-02-16,68.5395,69.3647,66.3627,66.9228,24927110
2016-02-17,67.0026,67.5962,65.3204,66.8186,24708865
2016-02-18,67.7009,69.6805,67.1597,68.903,23832382
2016-02-19,68.4112,69.7805,67.6422,69.2884,16887552
2016-02-22,69.4832,70.4677,68.8249,69.8507,15099486
2016-02-23,70.2248,70.8193,68.841,69.6465,15354984
2016-02-24,69.1587,69.4851,67.7278,68.2409,23320638
2016-02-25,68.9697,70.183,67.5292,69.1936,34581370
2016-02-26,69.6222,70.1861,68.3376,69.1585,20711079
2016-02-29,69.4385,70.7662,63.3984,64.5235,49963947
2016-03-01,64.5998,65.6803,63.1961,64.8774,47768338
2016-03-02,65.692,66.8547,64.8719,65.8971,29129337
2016-03-03,66.2081,68.479,65.2711,67.1857,37450663
2016-03-04,67.7633,69.0592,66.9667,67.8203,35704183
2016-03-08,68.2113,69.8441,67.6386,68.473,27939767
2016-03-09,68.4614,69.6859,67.9888,69.1484,21441129
2016-03-10,70.0757,70.3738,68.5151,69.044,31393069
2016-03-11,69.5324,69.8169,68.045,68.8695,31096527
2016-03-14,69.5133,70.2427,68.8564,69.6032,20465955
2016-03-15,69.035,69.7878,68.48,69.2516,22141761
2016-03-16,69.3398,69.9701,68.3725,69.0802,17045638
2016-03-17,69.9105,71.8794,69.607,70.8238,33223809
2016-03-18,71.2631,72.0725,70.7277,71.7565,38633235
2016-03-21,71.7233,72.9256,71.1881,72.3944,26716659
2016-03-22,72.4145,73.4485,71.8364,72.2751,24716879
2016-03-23,72.379,72.9109,70.9219,71.6892,24760114
2016-03-28,72.1724,72.8953,70.9361,71.4372,24959788
2016-03-29,71.8694,72.1432,70.0372,70.6811,22504327
2016-03-30,71.0158,72.8337,70.7213,72.437,28555956
2016-03-31,71.788,72.7218,70.8134,71.6258,46938999
2016-04-01,71.683,72.0233,69.889,70.2322,25084090
2016-04-04,70.3507,70.5635,69.161,69.9582,16997503
2016-04-05,69.5333,70.2811,68.6828,69.1177,18714769
2016-04-06,69.4492,70.1205,68.5241,69.4185,20447454
2016-04-07,70.1879,70.5338,69.2406,69.6845,20821372
2016-04-08,69.6617,70.5486,68.9471,69.6591,13897402
2016-04-11,70.3355,70.8,69.2512,70.2329,19397957
2016-04-12,70.3592,72.4011,70.0278,71.9425,31107190
2016-04-13,73.0754,73.3579,72.0734,72.6089,31095949
2016-04-18,72.117,72.5929,70.4364,71.1886,20583360
2016-04-20,71.4694,72.5224,71.0029,71.9054,41135315
2016-04-21,72.5565,73.3236,72.04,72.5595,27822638
2016-04-22,73.2087,73.7916,72.2406,73.1588,27356512
2016-04-25,73.3145,73.6192,71.7759,72.2015,25316232
2016-04-26,72.0961,73.4633,71.591,72.863,23547252
2016-04-27,73.1883,75.6452,72.8762,74.9634,35702334
2016-04-28,75.1308,76.076,72.9936,73.5057,42148870
2016-04-29,73.7407,74.7485,72.8737,73.6232,21560167
2016-05-02,73.8295,75.1385,73.1643,74.1806,26740560
2016-05-03,74.492,75.0065,72.7596,73.5563,31822297
2016-05-04,73.3823,74.0589,72.0455,72.5774,30358030
2016-05-05,72.8784,73.485,72.094,72.4593,20382572
2016-05-06,72.3636,73.4782,71.4356,72.7281,31864185
2016-05-09,73.1947,74.0311,72.8341,73.5436,23082383
2016-05-10,73.6498,74.0193,71.9853,72.8487,21931910
2016-05-11,72.4361,72.7578,71.3279,72.1442,21115053
2016-05-12,72.7924,73.4976,71.9181,72.5813,27230781
2016-05-13,72.4863,72.7855,71.0265,71.7722,24406334
2016-05-16,72.0246,72.3098,70.4973,71.4436,35123655
2016-05-17,72.3622,74.2428,71.9461,73.4939,49660068
2016-05-18,73.4275,74.9124,72.9125,74.1855,30892448
2016-05-19,73.9072,74.1259,72.2885,72.6825,24066087
2016-05-20,73.1518,73.9895,72.4624,73.1612,18662086
2016-05-23,73.5407,73.8937,71.635,71.9602,17098399
2016-05-24,72.0679,72.4071,70.7491,71.4953,21694143
2016-05-25,72.1092,73.2882,71.7489,72.8753,23814179
2016-05-26,73.3019,75.8311,72.7711,74.2483,41498178
2016-05-27,74.7166,75.4063,73.1605,73.6935,25895661
2016-05-30,74.0882,74.7295,73.3752,73.8789,22699836
2016-05-31,74.2673,74.5531,72.4379,72.9013,60517122
2016-06-01,73.0604,73.8082,72.5616,72.98,15550520
2016-06-02,72.789,74.0159,72.18,73.5738,18723801
2016-06-03,73.7874,74.3042,72.762,73.1055,21256516
2016-06-06,73.2374,73.9881,72.5148,73.0893,20076139
2016-06-07,73.4409,74.2656,73.1784,73.7853,22054582
2016-06-08,74.1534,75.1465,73.8303,74.4902,20501203
2016-06-09,74.7963,76.4634,74.5867,75.7367,29514283
2016-06-10,75.6312,76.6831,74.5685,75.1238,28654708
2016-06-13,74.3889,75.0053,73.3593,73.9708,29645398
2016-06-14,74.3176,74.9987,73.2487,74.1259,55354157
2016-06-15,74.4323,75.0264,73.9913,74.5037,39140723
2016-06-16,74.3718,74.8002,73.4804,74.2646,32049899
2016-06-17,74.6349,74.9481,73.8464,74.252,30051387
