Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,1047772.0
2015-01-02,100.45,103.7,98.17,102.01,1822567.0
2015-01-05,102.01,105.7,100.65,103.33,2572556.0
2015-01-06,102.5,103.36,97.1,98.5,1885582.0
2015-01-07,98.31,100.9,96.09,98.61,1146892.0
2015-01-08,99.1,102.02,98.61,100.53,967041.0
2015-01-09,101.33,102.26,98.14,99.87,829131.0
2015-01-12,100.39,102.79,98.45,101.13,1039854.0
2015-01-13,101.68,103.9,99.97,101.43,939547.0
2015-01-14,101.33,103.71,100.06,102.21,2344503.0
2015-01-15,102.87,104.78,100.5,102.39,2687852.0
2015-01-16,103.28,104.84,101.49,102.51,3669569.0
2015-01-19,102.74,104.56,101.22,102.74,1555880.0
2015-01-20,103.02,105.45,101.56,102.94,1272633.0
2015-01-21,103.05,104.16,100.88,102.06,1009761.0
2015-01-22,102.9,105.73,101.86,103.5,2040460.0
2015-01-23,104.2,105.1,101.24,102.12,773904.0
2015-01-27,102.55,103.84,101.28,101.96,591582.0
2015-01-28,102.0,103.2,99.4,101.07,687578.0
2015-01-29,100.96,103.02,99.48,101.54,723715.0
2015-01-30,102.05,103.19,98.22,99.54,1150738.0
2015-02-02,99.08,102.28,97.82,100.29,1183813.0
2015-02-03,100.77,101.77,97.96,99.48,775123.0
2015-02-04,101.09,103.99,99.06,101.26,1025341.0
2015-02-05,102.0,103.1,99.56,100.31,1432887.0
2015-02-06,100.18,101.52,97.41,98.83,848784.0
2015-02-09,97.87,98.55,94.89,95.66,929795.0
2015-02-10,95.07,98.36,93.99,96.05,643158.0
2015-02-11,96.39,99.24,95.5,98.36,614769.0
2015-02-12,98.24,100.67,97.28,99.47,533233.0
2015-02-13,99.52,102.33,98.46,100.26,981790.0
2015-02-16,99.87,101.19,97.51,98.78,709395.0
2015-02-18,99.03,100.38,96.96,98.19,862130.0
2015-02-19,98.25,100.13,96.32,98.27,1036445.0
2015-02-20,98.12,100.02,97.06,98.26,672166.0
2015-02-23,99.11,100.06,95.85,97.42,991029.0
2015-02-24,97.57,98.71,94.79,96.6,1099857.0
2015-02-25,97.33,98.99,94.89,95.98,898479.0
2015-02-26,95.88,96.74,93.78,94.53,684798.0
2015-02-27,95.54,97.9,94.2,96.34,912051.0
2015-03-02,96.41,97.77,94.37,95.64,1028370.0
2015-03-03,95.8,97.27,94.36,95.76,744960.0
2015-03-04,95.9,98.92,93.89,95.71,1003549.0
2015-03-05,96.5,97.84,94.46,96.12,874402.0
2015-03-09,95.53,97.16,94.31,95.56,587001.0
2015-03-10,95.93,97.36,94.1,95.62,757699.0
2015-03-11,95.98,97.21,93.82,95.23,709978.0
2015-03-12,95.28,99.15,94.33,97.25,2568730.0
2015-03-13,97.85,100.83,94.86,96.84,2986905.0
2015-03-16,97.42,98.96,94.99,96.49,1994503.0
2015-03-17,96.45,98.32,94.78,96.4,1524769.0
2015-03-18,96.47,98.1,93.45,95.41,1576864.0
2015-03-19,95.94,97.86,92.79,93.92,1909228.0
2015-03-20,93.64,95.13,90.92,92.48,750084.0
2015-03-23,92.74,94.07,90.02,91.58,685438.0
2015-03-24,91.46,93.92,90.1,91.48,1155501.0
2015-03-25,91.23,93.38,89.34,90.94,943821.0
2015-03-26,90.29,92.44,89.34,91.32,948578.0
2015-03-27,91.07,93.18,89.38,90.38,944761.0
2015-03-30,91.0,95.59,89.63,93.85,1375172.0
2015-03-31,94.15,96.34,92.78,94.16,1242676.0
2015-04-01,94.46,98.22,93.04,95.7,1185403.0
2015-04-06,96.26,98.97,94.66,96.93,1335426.0
2015-04-07,97.19,100.12,95.29,98.2,789281.0
2015-04-08,98.84,101.55,97.24,99.28,1298198.0
