Date,Open,High,Low,Close,Volume
2015-01-01,100.0,100.0,100.0,100.0,53147689
2015-01-02,100.2254,103.093,99.0159,101.2491,77633280
2015-01-05,101.0645,103.3614,99.7851,101.2065,85348014
2015-01-06,100.2929,100.9145,96.6335,97.6723,73351372
2015-01-07,98.0318,99.8151,95.6235,97.4389,85586640
2015-01-08,99.039,101.5794,96.9371,100.0195,71428069
2015-01-09,100.9123,101.8248,96.9051,98.6253,70384054
2015-01-12,98.685,100.0121,97.22,98.35,58415989
2015-01-13,98.6425,99.8611,95.9055,96.8636,78557803
2015-01-14,96.6786,98.1676,95.3409,96.1473,69200291
2015-01-15,98.5369,105.0173,97.4083,102.547,150548507
2015-01-16,102.4602,106.4805,100.2082,102.5857,111816780
2015-01-19,103.4376,105.0009,101.3572,102.6933,94576920
2015-01-20,103.4534,106.1109,101.5842,104.0397,71988943
2015-01-21,104.37,106.496,101.7751,104.1411,60803950
2015-01-22,104.7855,107.3866,102.5295,105.3896,78100647
2015-01-23,107.0882,109.819,104.2197,107.2334,99745139
2015-01-27,107.7705,110.2133,105.6083,108.2709,69132375
2015-01-28,107.5526,111.3888,105.7601,109.0411,76652883
2015-01-29,108.4559,114.306,107.5523,111.3618,144577286
2015-01-30,112.2969,116.4136,110.2732,113.0305,197509756
2015-02-02,113.3837,115.6841,111.321,113.3729,118458982
2015-02-03,114.0806,115.2561,110.2954,111.9736,103851433
2015-02-04,112.6419,116.3136,109.699,112.9015,151313061
2015-02-05,112.6956,114.2352,109.0901,110.3826,100504708
2015-02-06,110.055,112.5327,106.539,108.781,121887905
2015-02-09,107.3498,109.8994,104.4007,106.3936,93426421
2015-02-10,104.7567,109.0512,102.6144,105.9411,110821842
2015-02-11,106.1746,108.8416,105.1778,107.3079,74615018
2015-02-12,108.0848,110.7764,106.5803,108.905,80510750
2015-02-13,109.3216,112.0359,106.9834,108.3865,81871863
2015-02-16,109.4119,111.4735,107.2436,108.5691,152944314
2015-02-18,109.6122,111.1978,106.4329,107.9146,77298860
2015-02-19,108.9205,110.8279,106.1582,108.9805,91881485
2015-02-20,109.3839,112.3432,107.9125,110.0465,77423453
2015-02-23,110.3688,113.077,106.8416,109.1603,70838935
2015-02-24,109.7839,112.3042,107.4628,109.1463,87087800
2015-02-25,109.7772,112.0772,107.8325,109.2273,64986134
2015-02-26,109.406,111.2998,107.2211,109.2967,93829527
2015-02-27,109.3824,114.4144,108.2254,112.9709,234611680
2015-03-02,112.8469,114.9635,109.0897,111.5394,130865545
2015-03-03,111.7908,113.2605,108.8591,110.0318,83777302
2015-03-04,112.5425,114.0806,108.2761,109.8105,116429826
2015-03-05,110.0705,112.0777,107.475,109.7581,70135635
2015-03-09,109.5217,110.9271,105.579,106.9689,90368745
2015-03-10,107.1297,108.4273,103.9724,104.9,64942405
2015-03-11,105.2343,107.0096,102.2848,104.9365,110940843
2015-03-12,105.6347,107.8822,104.2199,106.5695,112089419
