,Open,High,Low,Close,Volume
2017-01-02 09:00:00,124.5,127.8,124.4,127.2,667598.0
2017-01-02 13:00:00,127.2,131.45,126.7,130.25,1666257.0
2017-01-03 09:00:00,133.5,138.0,131.15,131.7,3259529.0
2017-01-03 13:00:00,131.6,131.75,130.25,130.95,1239490.0
2017-01-04 09:00:00,132.0,135.2,128.6,129.25,1467627.0
2017-01-04 13:00:00,129.25,129.7,127.6,128.5,830785.0
2017-01-05 09:00:00,129.7,131.5,128.8,129.95,486294.0
2017-01-05 13:00:00,129.8,131.0,128.75,129.9,390739.0
2017-01-06 09:00:00,130.85,134.35,130.2,133.1,1237801.0
2017-01-06 13:00:00,133.0,134.9,132.8,134.6,1006657.0
2017-01-09 09:00:00,135.0,137.0,134.0,136.4,1300954.0
2017-01-09 13:00:00,136.4,136.9,135.9,136.6,549773.0
2017-01-10 09:00:00,137.45,141.35,137.15,140.45,2685284.0
2017-01-10 13:00:00,140.4,140.9,139.15,139.75,837874.0
2017-01-11 09:00:00,141.05,142.95,139.0,141.8,1517476.0
2017-01-11 13:00:00,141.7,141.85,139.1,140.2,885212.0
2017-01-12 09:00:00,136.8,138.6,135.05,136.2,852783.0
2017-01-12 13:00:00,136.2,137.45,135.35,137.05,353899.0
2017-01-13 09:00:00,137.3,145.35,137.0,142.35,1663202.0
2017-01-13 13:00:00,142.25,143.0,140.65,142.15,610501.0
2017-01-16 09:00:00,143.5,144.0,142.1,142.55,522769.0
2017-01-16 13:00:00,142.6,143.15,141.75,142.45,297834.0
2017-01-17 09:00:00,143.2,143.6,140.65,141.3,226040.0
2017-01-17 13:00:00,141.25,142.2,140.65,141.5,245790.0
2017-01-18 09:00:00,141.45,141.55,139.6,139.75,297186.0
2017-01-18 13:00:00,139.75,139.9,137.8,138.25,216898.0
2017-01-19 09:00:00,138.1,141.45,138.1,141.3,536267.0
2017-01-19 13:00:00,141.35,141.5,139.55,140.95,421683.0
2017-01-20 09:00:00,141.4,142.0,139.0,139.85,492653.0
2017-01-20 13:00:00,139.85,140.5,136.4,139.0,361341.0
2017-01-23 09:00:00,139.2,141.4,138.65,140.1,252741.0
2017-01-23 13:00:00,140.1,140.4,138.1,138.7,291312.0
2017-01-24 09:00:00,138.95,141.2,138.6,139.7,686369.0
2017-01-24 13:00:00,139.65,141.15,139.6,140.3,355462.0
2017-01-25 09:00:00,140.7,144.0,140.2,143.45,1402658.0
2017-01-25 13:00:00,143.55,144.85,143.0,144.35,424252.0
2017-01-27 09:00:00,144.35,146.95,143.75,143.9,1910255.0
2017-01-27 13:00:00,143.95,145.2,143.75,144.7,222242.0
2017-01-30 09:00:00,144.7,145.5,143.75,144.0,434395.0
2017-01-30 13:00:00,143.95,144.3,142.8,143.5,215219.0
2017-01-31 09:00:00,144.0,146.0,141.85,142.5,936884.0
2017-01-31 13:00:00,142.5,143.0,141.4,141.7,274859.0
2017-02-01 09:00:00,142.0,143.5,140.75,142.55,429675.0
2017-02-01 13:00:00,142.55,144.85,141.0,144.05,764305.0
2017-02-02 09:00:00,144.8,154.95,141.6,152.8,1840360.0
2017-02-02 13:00:00,152.85,154.4,152.15,153.65,843577.0
2017-02-03 09:00:00,153.8,155.0,150.0,152.9,661457.0
2017-02-03 13:00:00,153.0,154.8,152.1,153.75,284094.0
2017-02-06 09:00:00,154.8,159.45,154.8,157.0,776426.0
2017-02-06 13:00:00,157.0,159.25,156.6,158.2,479835.0
2017-02-07 09:00:00,159.25,160.65,157.5,159.35,689084.0
2017-02-07 13:00:00,159.35,159.4,156.6,158.15,333368.0
2017-02-08 09:00:00,159.0,159.1,152.25,153.05,506987.0
2017-02-08 13:00:00,153.05,155.9,153.0,155.25,329485.0
2017-02-09 09:00:00,156.45,156.45,153.1,154.4,273936.0
2017-02-09 13:00:00,154.35,154.55,153.3,154.0,117658.0
2017-02-10 09:00:00,154.0,156.75,150.8,154.6,497591.0
2017-02-10 13:00:00,154.6,154.8,153.0,153.6,139197.0
2017-02-13 09:00:00,157.0,162.25,153.1,154.55,1434181.0
2017-02-13 13:00:00,154.4,155.6,154.05,155.05,293168.0
2017-02-14 09:00:00,156.0,156.4,153.55,155.5,204433.0
2017-02-14 13:00:00,155.4,155.75,154.1,154.55,148813.0
2017-02-15 09:00:00,155.1,155.8,150.0,152.2,343759.0
2017-02-15 13:00:00,152.05,152.7,151.75,152.3,113766.0
2017-02-16 09:00:00,152.0,156.65,150.5,155.55,447734.0
2017-02-16 13:00:00,155.4,157.5,155.2,156.7,196165.0
2017-02-17 09:00:00,156.5,159.3,155.5,158.7,362987.0
2017-02-17 13:00:00,158.7,159.5,158.0,159.1,299169.0
2017-02-20 09:00:00,159.5,161.5,158.5,159.2,505448.0
2017-02-20 13:00:00,159.3,159.5,157.0,158.1,415575.0
2017-02-21 09:00:00,158.1,159.25,153.65,153.95,310735.0
2017-02-21 13:00:00,154.0,154.4,152.1,153.45,336695.0
2017-02-22 09:00:00,153.95,155.0,151.05,151.35,223187.0
2017-02-22 13:00:00,151.3,152.2,150.3,150.55,112245.0
2017-02-23 09:00:00,151.6,155.25,150.65,154.5,387013.0
2017-02-23 13:00:00,154.5,154.75,151.3,152.0,259233.0
2017-02-27 09:00:00,152.8,154.85,152.15,154.15,234336.0
2017-02-27 13:00:00,154.15,154.2,152.05,153.4,134722.0
2017-02-28 09:00:00,152.7,154.4,151.85,152.8,280166.0
2017-02-28 13:00:00,152.8,153.25,152.25,152.85,119657.0
2017-03-01 09:00:00,153.0,153.45,150.6,151.35,290705.0
2017-03-01 13:00:00,151.35,151.75,149.55,150.2,219350.0
2017-03-02 09:00:00,150.95,152.0,147.6,148.4,283509.0
2017-03-02 13:00:00,148.4,148.95,146.25,147.05,231457.0
2017-03-03 09:00:00,145.0,152.9,144.3,151.6,1043005.0
2017-03-03 13:00:00,151.75,153.95,151.6,153.05,653025.0
2017-03-06 09:00:00,153.65,157.0,153.0,155.0,536585.0
2017-03-06 13:00:00,154.8,156.15,154.25,155.5,402523.0
2017-03-07 09:00:00,155.95,156.5,153.4,154.25,262242.0
2017-03-07 13:00:00,154.35,154.5,151.25,152.6,133533.0
2017-03-08 09:00:00,152.65,153.45,146.4,148.6,514124.0
2017-03-08 13:00:00,148.6,149.0,145.05,146.1,493287.0
2017-03-09 09:00:00,147.0,149.25,145.0,145.25,472727.0
2017-03-09 13:00:00,145.4,158.0,144.55,154.65,1760051.0
2017-03-10 09:00:00,155.8,156.4,150.0,151.5,832894.0
2017-03-10 13:00:00,151.5,153.0,149.8,150.45,387714.0
2017-03-14 09:00:00,154.75,156.4,151.7,154.7,787960.0
2017-03-14 13:00:00,154.7,155.0,152.5,154.35,331033.0
2017-03-15 09:00:00,154.75,155.0,152.25,152.45,243081.0
2017-03-15 13:00:00,152.45,152.6,148.5,149.55,432912.0
2017-03-16 09:00:00,150.9,152.25,148.85,148.85,326183.0
2017-03-16 13:00:00,148.85,149.9,148.85,149.5,226601.0
2017-03-17 09:00:00,150.7,153.45,149.4,151.0,623352.0
2017-03-17 13:00:00,151.1,156.3,149.6,153.95,1511928.0
2017-03-20 09:00:00,154.9,156.5,151.45,151.75,983392.0
2017-03-20 13:00:00,151.75,152.65,149.65,150.55,512630.0
2017-03-21 09:00:00,150.0,151.5,146.2,147.0,567227.0
2017-03-21 13:00:00,147.0,148.1,146.0,146.65,325057.0
2017-03-22 09:00:00,146.0,148.7,144.05,144.7,955251.0
2017-03-22 13:00:00,144.85,145.3,141.25,141.9,720450.0
2017-03-23 09:00:00,141.5,147.0,141.5,146.05,954168.0
2017-03-23 13:00:00,146.05,149.4,145.7,148.25,682202.0
2017-03-24 09:00:00,149.55,149.6,146.6,147.85,600112.0
2017-03-24 13:00:00,147.9,148.3,145.0,146.25,248028.0
2017-03-27 09:00:00,146.0,147.5,145.0,145.05,335790.0
2017-03-27 13:00:00,145.05,145.5,143.1,144.1,270325.0
