,Open,High,Low,Close,Volume
2017-01-02 09:00:00,75.5,77.25,74.75,75.5,3892.0
2017-01-02 13:00:00,75.5,76.5,75.35,76.03,17399.0
2017-01-03 09:00:00,76.18,76.7,75.98,76.03,7565.0
2017-01-03 13:00:00,75.95,77.5,75.75,76.8,27477.0
2017-01-04 09:00:00,76.67,77.0,76.05,76.15,4419.0
2017-01-04 13:00:00,76.15,76.5,76.0,76.3,7362.0
2017-01-05 09:00:00,76.5,77.0,76.0,76.22,3450.0
2017-01-05 13:00:00,76.2,76.7,76.13,76.5,25281.0
2017-01-06 09:00:00,76.0,77.42,76.0,76.25,17360.0
2017-01-06 13:00:00,76.33,76.95,76.13,76.35,2404.0
2017-01-09 09:00:00,76.75,78.0,76.03,77.7,19473.0
2017-01-09 13:00:00,77.27,78.45,77.27,77.7,12107.0
2017-01-10 09:00:00,77.7,78.0,77.5,77.5,8746.0
2017-01-10 13:00:00,77.5,77.85,77.5,77.55,4937.0
2017-01-11 09:00:00,77.5,78.0,77.5,77.5,14701.0
2017-01-11 13:00:00,77.5,77.72,77.5,77.7,7098.0
2017-01-12 09:00:00,78.02,78.02,77.5,77.5,5260.0
2017-01-12 13:00:00,77.5,77.75,77.5,77.5,12007.0
2017-01-13 09:00:00,77.57,78.08,77.5,77.75,19104.0
2017-01-13 13:00:00,77.53,78.0,77.5,77.6,27832.0
2017-01-16 09:00:00,77.5,78.47,77.5,77.55,7336.0
2017-01-16 13:00:00,77.6,78.0,77.5,77.68,3868.0
2017-01-17 09:00:00,77.98,77.98,77.5,77.5,7845.0
2017-01-17 13:00:00,77.5,77.9,77.5,77.83,6205.0
2017-01-18 09:00:00,77.5,78.0,77.05,77.75,36326.0
2017-01-18 13:00:00,77.95,77.95,77.5,77.72,4712.0
2017-01-19 09:00:00,78.45,78.45,77.5,77.5,9180.0
2017-01-19 13:00:00,77.5,77.75,77.5,77.53,6781.0
2017-01-20 09:00:00,77.5,77.95,76.3,77.5,6591.0
2017-01-20 13:00:00,77.5,77.72,77.25,77.5,13541.0
2017-01-23 09:00:00,76.52,79.0,76.52,78.45,25897.0
2017-01-23 13:00:00,78.53,79.48,78.02,78.98,17386.0
2017-01-24 09:00:00,79.0,80.0,79.0,79.03,13403.0
2017-01-24 13:00:00,79.03,79.15,78.05,78.5,5896.0
2017-01-25 09:00:00,78.5,79.75,78.25,78.28,1413.0
2017-01-25 13:00:00,79.2,79.25,78.25,78.5,2485.0
2017-01-27 09:00:00,79.5,79.5,78.25,78.5,22144.0
2017-01-27 13:00:00,79.37,79.37,78.15,78.55,9487.0
2017-01-30 09:00:00,79.15,79.75,78.0,78.35,13143.0
2017-01-30 13:00:00,78.5,79.5,78.47,79.4,9131.0
2017-01-31 09:00:00,78.4,79.13,77.3,78.75,4022.0
2017-01-31 13:00:00,78.75,78.98,78.5,78.68,5998.0
2017-02-01 09:00:00,79.43,80.25,78.02,79.75,28410.0
2017-02-01 13:00:00,79.75,80.0,79.0,79.45,9286.0
2017-02-02 09:00:00,79.15,81.0,79.15,80.53,42869.0
2017-02-02 13:00:00,80.83,81.0,80.4,80.6,15285.0
2017-02-03 09:00:00,81.23,82.0,80.48,81.75,43215.0
2017-02-03 13:00:00,81.75,81.98,80.5,81.6,26588.0
2017-02-06 09:00:00,81.6,81.6,78.8,79.63,76892.0
2017-02-06 13:00:00,79.6,79.63,78.95,79.05,15896.0
2017-02-07 09:00:00,79.85,80.5,78.9,79.2,27596.0
2017-02-07 13:00:00,79.03,79.48,79.0,79.07,21592.0
2017-02-08 09:00:00,80.5,81.25,79.55,80.72,73442.0
2017-02-08 13:00:00,80.6,81.0,79.75,80.18,37603.0
2017-02-09 09:00:00,79.65,83.95,79.33,83.4,104946.0
2017-02-09 13:00:00,83.5,85.0,83.0,84.53,232369.0
2017-02-10 09:00:00,86.4,87.45,84.68,84.8,86072.0
2017-02-10 13:00:00,84.75,85.48,84.75,85.03,37759.0
2017-02-13 09:00:00,86.0,86.0,83.0,83.05,12942.0
2017-02-13 13:00:00,83.05,83.5,82.0,82.45,13815.0
2017-02-14 09:00:00,82.45,83.0,82.18,82.5,16977.0
2017-02-14 13:00:00,82.5,82.95,82.5,82.58,5266.0
2017-02-15 09:00:00,82.43,83.0,81.05,81.62,7959.0
2017-02-15 13:00:00,81.92,82.35,80.05,80.7,10479.0
2017-02-16 09:00:00,79.52,82.43,79.52,81.32,8733.0
2017-02-16 13:00:00,80.15,81.9,79.05,80.63,16962.0
2017-02-17 09:00:00,80.55,82.93,80.55,81.4,5859.0
2017-02-17 13:00:00,81.4,82.0,80.65,81.55,9452.0
2017-02-20 09:00:00,81.25,83.0,80.5,82.1,21616.0
2017-02-20 13:00:00,82.13,89.93,81.8,85.13,930621.0
2017-02-21 09:00:00,87.45,88.5,85.25,85.65,51756.0
2017-02-21 13:00:00,86.5,86.5,85.0,86.05,18897.0
2017-02-22 09:00:00,85.97,85.97,84.55,84.55,9614.0
2017-02-22 13:00:00,84.55,85.0,82.65,83.8,11877.0
2017-02-23 09:00:00,81.85,85.35,81.85,85.35,72781.0
2017-02-23 13:00:00,85.05,87.15,84.0,85.0,106738.0
2017-02-27 09:00:00,84.77,86.7,84.77,84.98,67797.0
2017-02-27 13:00:00,84.83,85.22,84.5,84.92,18535.0
2017-02-28 09:00:00,84.65,84.9,83.83,84.45,22006.0
2017-02-28 13:00:00,84.5,85.97,84.0,85.67,146410.0
2017-03-01 09:00:00,84.98,88.0,84.95,88.0,76668.0
2017-03-01 13:00:00,88.0,88.75,86.55,88.0,1173443.0
2017-03-02 09:00:00,88.33,89.0,86.9,88.25,43076.0
2017-03-02 13:00:00,88.03,90.0,88.03,89.75,156627.0
2017-03-03 09:00:00,89.35,91.13,89.18,89.5,221882.0
2017-03-03 13:00:00,89.7,90.0,89.5,89.75,26205.0
2017-03-06 09:00:00,89.5,91.85,88.05,91.03,26246.0
2017-03-06 13:00:00,91.0,91.95,90.5,90.98,52767.0
2017-03-07 09:00:00,91.07,92.5,90.55,91.78,658745.0
2017-03-07 13:00:00,91.78,106.95,91.75,101.15,2198862.0
2017-03-08 09:00:00,101.9,101.95,94.6,97.28,402851.0
2017-03-08 13:00:00,97.3,97.95,96.5,96.7,75960.0
2017-03-09 09:00:00,96.7,100.3,95.57,99.98,225088.0
2017-03-09 13:00:00,99.6,100.0,97.58,98.85,146408.0
2017-03-10 09:00:00,99.47,104.4,98.23,102.75,375420.0
2017-03-10 13:00:00,102.65,108.75,102.53,105.43,677261.0
2017-03-14 09:00:00,105.55,108.75,102.2,106.03,180619.0
2017-03-14 13:00:00,106.1,106.5,105.5,106.18,69486.0
2017-03-15 09:00:00,106.45,119.95,104.5,116.45,1857794.0
2017-03-15 13:00:00,116.45,117.25,113.35,114.25,408385.0
2017-03-16 09:00:00,114.5,121.82,114.5,119.03,1058861.0
2017-03-16 13:00:00,119.1,121.5,118.6,120.43,853012.0
2017-03-17 09:00:00,120.6,121.22,115.78,117.38,227535.0
