,Open,High,Low,Close,Volume
2025-01-15 09:00:00,264.95,266.0,260.1,261.0,24708.0
2025-01-15 13:00:00,261.0,265.25,258.05,258.05,25224.0
2025-01-16 09:00:00,271.0,275.95,266.0,275.0,82651.0
2025-01-16 13:00:00,275.05,286.4,275.0,282.0,104451.0
2025-01-17 09:00:00,282.2,289.0,279.0,284.05,90638.0
2025-01-17 13:00:00,283.55,285.95,281.0,282.0,31929.0
2025-01-20 09:00:00,284.75,301.0,280.2,299.0,135919.0
2025-01-20 13:00:00,299.0,304.0,297.7,299.0,98838.0
2025-01-21 09:00:00,296.95,302.65,282.5,283.75,82076.0
2025-01-21 13:00:00,283.8,284.55,280.05,282.0,27439.0
2025-01-22 09:00:00,283.75,283.95,272.2,275.05,84920.0
2025-01-22 13:00:00,275.2,277.0,272.85,274.7,30079.0
2025-01-23 09:00:00,273.95,278.45,270.1,272.8,26551.0
2025-01-23 13:00:00,272.75,277.05,252.2,259.0,267487.0
2025-01-24 09:00:00,261.0,265.0,255.65,261.8,69634.0
2025-01-24 13:00:00,261.4,265.0,258.45,260.8,29803.0
2025-01-27 09:00:00,263.9,263.9,242.0,252.5,167969.0
2025-01-27 13:00:00,252.3,253.9,246.85,249.35,37118.0
2025-01-28 09:00:00,254.0,268.05,249.35,267.5,91167.0
2025-01-28 13:00:00,267.5,271.7,262.3,270.0,61446.0
2025-01-29 09:00:00,267.1,286.5,265.05,283.05,139894.0
2025-01-29 13:00:00,283.05,289.8,283.0,288.0,51051.0
2025-01-30 09:00:00,287.0,297.85,285.55,292.0,93845.0
2025-01-30 13:00:00,292.0,293.0,282.65,285.25,52857.0
2025-01-31 09:00:00,288.65,289.0,282.65,283.0,34667.0
2025-01-31 13:00:00,283.35,284.0,280.95,284.0,16151.0
2025-02-01 09:00:00,284.25,286.0,271.4,281.75,40813.0
2025-02-01 13:00:00,281.7,283.95,278.0,280.0,13401.0
2025-02-03 09:00:00,278.65,279.4,269.3,270.0,33935.0
2025-02-03 13:00:00,270.0,273.4,266.0,266.95,30741.0
2025-02-04 09:00:00,270.0,274.9,263.35,271.35,45797.0
2025-02-04 13:00:00,270.25,273.25,270.1,272.0,12391.0
2025-02-05 09:00:00,274.45,275.0,269.8,271.25,26487.0
2025-02-05 13:00:00,271.3,273.0,269.95,270.0,15146.0
2025-02-06 09:00:00,271.4,277.2,268.8,273.45,32026.0
2025-02-06 13:00:00,273.8,276.5,269.55,276.0,12515.0
2025-02-07 09:00:00,277.9,278.8,269.15,270.55,17289.0
2025-02-07 13:00:00,270.25,273.05,267.0,270.0,10521.0
2025-02-10 09:00:00,270.95,273.95,261.1,270.45,35515.0
2025-02-10 13:00:00,270.25,270.45,265.1,268.0,24412.0
2025-02-11 09:00:00,271.7,274.9,253.75,255.25,81262.0
2025-02-11 13:00:00,254.95,265.0,253.1,260.15,38472.0
2025-02-12 09:00:00,259.3,260.25,242.8,256.55,119480.0
2025-02-12 13:00:00,256.25,258.5,251.0,254.0,21171.0
2025-02-13 09:00:00,251.15,259.3,248.2,249.8,56285.0
2025-02-13 13:00:00,249.4,250.0,240.9,244.8,65652.0
2025-02-14 09:00:00,247.5,250.65,240.8,243.2,60290.0
2025-02-14 13:00:00,243.35,246.95,236.15,239.0,77359.0
2025-02-17 09:00:00,239.0,241.4,221.8,224.0,112832.0
2025-02-17 13:00:00,224.05,225.5,219.95,224.9,81209.0
2025-02-18 09:00:00,225.55,229.5,216.2,220.9,81983.0
2025-02-18 13:00:00,220.9,223.35,220.0,221.95,45470.0
2025-02-19 09:00:00,222.65,265.0,221.5,257.9,287694.0
2025-02-19 13:00:00,257.9,261.75,251.1,260.75,121983.0
2025-02-20 09:00:00,253.8,273.45,251.15,269.15,126684.0
2025-02-20 13:00:00,269.1,272.75,264.1,265.0,37043.0
2025-02-21 09:00:00,265.95,268.75,257.75,262.05,54968.0
2025-02-21 13:00:00,261.8,264.85,257.4,263.25,16547.0
2025-02-24 09:00:00,262.85,262.85,251.55,258.95,56753.0
2025-02-24 13:00:00,258.4,259.45,251.65,253.5,23410.0
2025-02-25 09:00:00,253.75,258.8,249.0,252.8,47232.0
2025-02-25 13:00:00,252.85,254.85,241.95,243.0,55931.0
2025-02-27 09:00:00,244.95,245.0,234.0,234.0,48158.0
2025-02-27 13:00:00,234.0,240.9,231.0,234.15,34901.0
2025-02-28 09:00:00,229.95,233.6,222.4,222.95,190412.0
2025-02-28 13:00:00,223.4,227.0,223.35,227.0,27919.0
