,Open,High,Low,Close,Volume
2021-06-28 09:00:00,550.0,648.0,550.0,589.85,17179728.0
2021-06-28 13:00:00,589.9,652.0,587.1,609.9,7234398.0
2021-06-29 09:00:00,614.7,627.3,590.0,594.4,3303334.0
2021-06-29 13:00:00,594.4,594.4,583.0,585.7,730228.0
2021-06-30 09:00:00,588.0,592.4,572.2,575.5,778176.0
2021-06-30 13:00:00,575.5,593.4,574.0,575.1,537779.0
2021-07-01 09:00:00,575.25,587.5,574.6,581.8,414532.0
2021-07-01 13:00:00,581.1,581.85,577.0,578.65,134038.0
2021-07-02 09:00:00,580.75,591.75,575.0,580.3,461028.0
2021-07-02 13:00:00,580.3,582.45,574.5,576.15,136948.0
2021-07-05 09:00:00,580.0,586.0,575.35,581.35,321356.0
2021-07-05 13:00:00,581.5,584.25,576.8,579.5,108140.0
2021-07-06 09:00:00,579.0,579.0,573.15,575.0,147916.0
2021-07-06 13:00:00,575.0,575.5,572.0,572.6,93322.0
2021-07-07 09:00:00,568.05,584.4,568.05,581.2,178773.0
2021-07-07 13:00:00,581.2,583.8,577.5,579.1,117692.0
2021-07-08 09:00:00,579.15,581.8,575.0,579.5,77780.0
2021-07-08 13:00:00,579.5,580.0,573.25,576.8,74345.0
2021-07-09 09:00:00,578.1,595.5,573.65,585.15,264865.0
2021-07-09 13:00:00,585.95,593.6,583.0,586.45,238061.0
2021-07-12 09:00:00,594.95,623.0,594.05,621.7,772466.0
2021-07-12 13:00:00,619.6,631.0,607.8,614.1,487073.0
2021-07-13 09:00:00,622.8,634.65,619.0,627.75,555920.0
2021-07-13 13:00:00,628.5,629.65,621.1,623.5,169022.0
2021-07-14 09:00:00,625.8,629.3,611.0,625.0,262731.0
2021-07-14 13:00:00,625.0,628.0,617.2,621.85,100949.0
2021-07-15 09:00:00,623.9,629.95,608.25,609.55,336852.0
2021-07-15 13:00:00,609.55,612.0,603.0,606.0,104451.0
2021-07-16 09:00:00,606.0,608.95,597.3,604.6,142825.0
2021-07-16 13:00:00,603.95,606.0,600.0,601.2,71471.0
2021-07-19 09:00:00,593.0,607.8,586.5,599.05,157421.0
2021-07-19 13:00:00,598.95,618.95,593.1,598.65,246680.0
2021-07-20 09:00:00,604.0,611.85,592.0,604.15,141243.0
2021-07-20 13:00:00,604.8,605.0,600.0,600.75,32655.0
2021-07-22 09:00:00,605.9,618.5,601.35,611.2,161405.0
2021-07-22 13:00:00,611.2,611.9,598.55,602.6,45371.0
2021-07-23 09:00:00,603.0,611.35,601.0,607.0,120372.0
2021-07-23 13:00:00,607.0,607.0,595.0,600.6,52359.0
2021-07-26 09:00:00,600.6,606.0,587.2,589.3,186014.0
2021-07-26 13:00:00,589.75,592.0,585.0,587.2,44686.0
2021-07-27 09:00:00,589.9,629.0,589.25,620.7,566707.0
2021-07-27 13:00:00,621.0,625.55,618.0,620.35,150600.0
2021-07-28 09:00:00,618.9,620.15,603.95,610.3,173786.0
2021-07-28 13:00:00,610.85,614.95,609.0,611.3,23960.0
2021-07-29 09:00:00,615.95,615.95,608.2,610.0,30539.0
2021-07-29 13:00:00,610.25,612.65,605.05,609.85,34043.0
2021-07-30 09:00:00,615.0,646.35,611.35,617.15,435642.0
2021-07-30 13:00:00,617.15,623.0,612.5,617.8,139884.0
2021-08-02 09:00:00,626.0,626.55,615.2,618.0,48208.0
2021-08-02 13:00:00,618.0,621.0,600.0,613.85,31056.0
2021-08-03 09:00:00,615.0,624.25,615.0,617.4,41838.0
2021-08-03 13:00:00,617.0,617.45,610.05,614.2,26680.0
2021-08-04 09:00:00,614.05,619.75,601.0,602.5,86802.0
2021-08-04 13:00:00,602.3,607.35,597.25,601.95,47934.0
2021-08-05 09:00:00,604.6,609.6,601.0,604.7,31568.0
2021-08-05 13:00:00,605.0,609.5,595.0,603.3,25738.0
2021-08-06 09:00:00,603.3,618.8,603.3,609.7,57092.0
2021-08-06 13:00:00,609.0,609.85,599.3,605.55,31034.0
2021-08-09 09:00:00,610.0,618.0,597.25,603.85,78971.0
2021-08-09 13:00:00,603.85,604.0,594.0,599.6,36259.0
2021-08-10 09:00:00,595.0,606.8,595.0,596.75,54221.0
2021-08-10 13:00:00,597.5,602.5,585.0,598.45,41705.0
2021-08-11 09:00:00,599.8,599.8,575.0,583.25,69814.0
2021-08-11 13:00:00,583.65,594.0,582.15,589.1,27872.0
2021-08-12 09:00:00,589.5,601.0,589.1,594.7,33693.0
2021-08-12 13:00:00,595.15,599.9,593.85,596.9,13722.0
2021-08-13 09:00:00,597.0,607.9,597.0,601.95,42591.0
2021-08-13 13:00:00,601.9,602.9,591.5,598.3,28561.0
2021-08-16 09:00:00,596.6,603.5,593.3,595.9,49727.0
2021-08-16 13:00:00,595.55,598.1,594.0,595.55,20561.0
2021-08-17 09:00:00,594.95,600.85,594.05,594.5,176925.0
2021-08-17 13:00:00,594.5,600.0,594.5,596.2,21004.0
2021-08-18 09:00:00,594.15,597.55,588.0,589.0,28868.0
2021-08-18 13:00:00,589.55,594.0,587.1,588.9,13614.0
2021-08-20 09:00:00,587.5,591.4,572.5,573.7,91238.0
2021-08-20 13:00:00,573.15,580.0,570.1,575.85,34194.0
2021-08-23 09:00:00,582.0,582.0,540.0,549.5,71422.0
2021-08-23 13:00:00,549.5,550.0,540.0,543.55,19345.0
2021-08-24 09:00:00,546.0,559.05,541.6,549.75,54787.0
2021-08-24 13:00:00,549.75,551.5,548.0,549.95,8227.0
2021-08-25 09:00:00,550.05,560.0,550.05,553.7,41043.0
2021-08-25 13:00:00,553.7,554.3,550.0,553.0,9052.0
2021-08-26 09:00:00,557.7,560.0,548.45,553.5,33213.0
2021-08-26 13:00:00,553.5,554.0,550.15,552.0,5788.0
2021-08-27 09:00:00,550.15,556.3,547.0,552.5,29523.0
2021-08-27 13:00:00,551.25,554.45,550.0,553.0,35548.0
2021-08-30 09:00:00,559.0,567.95,553.0,565.8,31876.0
2021-08-30 13:00:00,565.25,572.0,558.0,562.55,18845.0
2021-08-31 09:00:00,566.0,566.0,554.45,556.7,52090.0
2021-08-31 13:00:00,556.0,556.0,551.2,554.3,21022.0
2021-09-01 09:00:00,555.7,558.55,546.5,549.8,31763.0
2021-09-01 13:00:00,550.0,550.0,547.0,548.5,14449.0
2021-09-02 09:00:00,556.0,556.0,545.0,546.05,30840.0
2021-09-02 13:00:00,546.9,548.1,543.35,544.9,17674.0
2021-09-03 09:00:00,550.75,550.75,500.0,540.65,59864.0
2021-09-03 13:00:00,541.0,541.65,526.95,535.0,40891.0
2021-09-06 09:00:00,536.0,540.0,531.25,537.75,94717.0
2021-09-06 13:00:00,537.4,544.95,537.0,540.1,21606.0
2021-09-07 09:00:00,544.35,545.45,535.35,542.0,48276.0
2021-09-07 13:00:00,541.5,543.0,534.0,535.25,16620.0
2021-09-08 09:00:00,532.0,547.95,532.0,541.6,63693.0
2021-09-08 13:00:00,541.6,544.8,541.05,542.0,17445.0
2021-09-09 09:00:00,545.6,545.6,538.05,542.85,10312.0
2021-09-09 13:00:00,542.5,545.0,542.0,545.0,13781.0
2021-09-13 09:00:00,536.3,542.95,536.3,539.15,10722.0
2021-09-13 13:00:00,538.3,540.95,538.0,538.45,8292.0
2021-09-14 09:00:00,540.0,542.35,538.5,538.5,13797.0
2021-09-14 13:00:00,538.5,539.15,535.0,537.5,15447.0
2021-09-15 09:00:00,538.6,538.6,532.0,533.1,25528.0
2021-09-15 13:00:00,533.25,533.8,529.0,531.5,30878.0
2021-09-16 09:00:00,535.9,540.5,531.1,533.8,21746.0
2021-09-16 13:00:00,533.15,535.75,531.5,532.4,12924.0
2021-09-17 09:00:00,533.5,609.0,528.5,600.1,339937.0
2021-09-17 13:00:00,600.05,638.85,596.55,638.85,924637.0
2021-09-20 09:00:00,631.8,668.0,609.0,636.95,726486.0
2021-09-20 13:00:00,636.6,639.0,610.0,617.75,119640.0
2021-09-21 09:00:00,613.75,626.95,594.0,603.0,97058.0
2021-09-21 13:00:00,603.5,614.4,600.7,609.3,67962.0
2021-09-22 09:00:00,610.0,653.0,610.0,636.3,214184.0
2021-09-22 13:00:00,636.15,640.0,620.0,620.0,51724.0
2021-09-23 09:00:00,628.0,644.85,616.55,623.0,206993.0
2021-09-23 13:00:00,623.0,629.9,608.0,611.05,50470.0
2021-09-24 09:00:00,614.0,619.95,606.25,607.0,35477.0
2021-09-24 13:00:00,606.25,607.0,595.55,596.7,23218.0
2021-09-27 09:00:00,600.0,603.0,577.0,593.65,51169.0
2021-09-27 13:00:00,591.65,596.6,588.5,591.9,21537.0
2021-09-28 09:00:00,585.0,632.8,585.0,607.0,164384.0
2021-09-28 13:00:00,607.0,608.95,597.15,602.0,38624.0
2021-09-29 09:00:00,592.55,609.55,592.55,600.0,67797.0
2021-09-29 13:00:00,599.9,608.0,595.25,598.8,29122.0
2021-09-30 09:00:00,598.8,610.0,595.1,601.45,26613.0
2021-09-30 13:00:00,601.4,603.35,596.75,601.4,19970.0
2021-10-01 09:00:00,599.5,602.95,591.5,592.25,40699.0
2021-10-01 13:00:00,592.7,596.6,590.0,593.75,26400.0
2021-10-04 09:00:00,595.0,605.8,592.8,594.0,34191.0
2021-10-04 13:00:00,594.0,595.75,593.0,593.65,13374.0
2021-10-05 09:00:00,596.7,605.0,592.25,594.2,36309.0
2021-10-05 13:00:00,594.3,600.0,591.0,593.15,22002.0
2021-10-06 09:00:00,595.0,599.5,592.1,594.5,42032.0
2021-10-06 13:00:00,594.35,594.8,586.05,589.15,15615.0
2021-10-07 09:00:00,593.85,596.5,585.7,588.5,26087.0
2021-10-07 13:00:00,589.05,589.05,586.0,588.05,10528.0
2021-10-08 09:00:00,590.0,593.7,586.95,588.75,10502.0
2021-10-08 13:00:00,589.25,603.0,588.75,595.95,30594.0
2021-10-11 09:00:00,597.0,599.35,590.3,591.2,29257.0
2021-10-11 13:00:00,591.2,594.35,589.7,591.05,11743.0
2021-10-12 09:00:00,592.0,594.6,588.0,588.8,19459.0
2021-10-12 13:00:00,588.75,593.1,587.5,590.4,10432.0
2021-10-13 09:00:00,590.4,596.95,588.1,589.0,19307.0
2021-10-13 13:00:00,589.3,593.1,584.0,586.0,23734.0
2021-10-14 09:00:00,586.0,596.5,584.35,590.75,55818.0
2021-10-14 13:00:00,591.95,595.0,587.7,588.55,15248.0
2021-10-18 09:00:00,591.95,595.0,587.0,590.0,23773.0
2021-10-18 13:00:00,590.0,591.5,588.05,588.2,9466.0
2021-10-19 09:00:00,623.0,666.0,613.6,623.1,358866.0
2021-10-19 13:00:00,622.4,627.25,596.0,606.7,83419.0
2021-10-20 09:00:00,608.0,629.9,592.25,619.7,101483.0
2021-10-20 13:00:00,619.7,635.3,616.5,630.95,147111.0
2021-10-21 09:00:00,640.0,640.05,611.0,612.05,72285.0
2021-10-21 13:00:00,612.8,624.7,611.2,616.55,23769.0
2021-10-22 09:00:00,615.1,625.0,581.95,602.5,66342.0
2021-10-22 13:00:00,601.65,606.0,582.95,596.4,53923.0
2021-10-25 09:00:00,560.05,577.6,550.5,571.1,86424.0
2021-10-25 13:00:00,571.25,619.0,570.0,611.15,98462.0
2021-10-26 09:00:00,605.1,610.8,575.1,602.0,52707.0
2021-10-26 13:00:00,601.25,603.95,599.25,600.9,21289.0
2021-10-27 09:00:00,602.85,610.0,601.05,609.0,33024.0
2021-10-27 13:00:00,609.4,610.0,585.0,593.55,52924.0
2021-10-28 09:00:00,595.6,602.0,588.0,590.5,16077.0
2021-10-28 13:00:00,591.0,593.0,575.1,582.6,22866.0
2021-10-29 09:00:00,577.0,587.1,571.3,576.75,20052.0
2021-10-29 13:00:00,577.2,597.9,575.6,589.4,15129.0
2021-11-01 09:00:00,587.0,596.45,587.0,592.55,10935.0
2021-11-01 13:00:00,592.0,594.45,587.9,591.45,12386.0
2021-11-02 09:00:00,593.95,594.25,588.0,588.9,7489.0
2021-11-02 13:00:00,588.25,588.85,583.05,585.45,12056.0
2021-11-03 09:00:00,589.6,591.0,583.5,584.3,13042.0
2021-11-03 13:00:00,584.5,586.5,579.0,583.05,9120.0
2021-11-04 17:00:00,586.95,589.1,585.0,585.75,5983.0
2021-11-08 09:00:00,589.95,595.0,588.2,589.5,16641.0
2021-11-08 13:00:00,589.35,592.15,588.8,590.2,9390.0
2021-11-09 09:00:00,594.75,595.0,588.95,590.0,13647.0
2021-11-09 13:00:00,590.0,593.65,579.3,584.0,12792.0
2021-11-10 09:00:00,586.95,590.0,582.0,585.0,8926.0
2021-11-10 13:00:00,585.6,586.45,579.5,581.8,9642.0
2021-11-11 09:00:00,582.0,652.0,573.35,639.2,585164.0
2021-11-11 13:00:00,639.55,674.8,606.3,611.55,495964.0
2021-11-12 09:00:00,610.25,627.6,601.6,607.15,85622.0
2021-11-12 13:00:00,607.85,610.65,600.9,602.9,18330.0
2021-11-15 09:00:00,602.9,617.0,580.95,595.65,54861.0
2021-11-15 13:00:00,595.5,602.4,593.25,599.25,14792.0
2021-11-16 09:00:00,600.0,609.0,594.1,600.55,20166.0
2021-11-16 13:00:00,602.05,602.65,593.05,595.85,11562.0
2021-11-17 09:00:00,591.1,605.0,591.1,599.6,22480.0
2021-11-17 13:00:00,599.5,610.0,587.25,596.95,20914.0
2021-11-18 09:00:00,587.25,597.55,587.25,589.5,16186.0
2021-11-18 13:00:00,589.0,593.0,587.0,589.1,9901.0
2021-11-22 09:00:00,590.0,592.25,558.75,564.9,27173.0
2021-11-22 13:00:00,565.0,568.05,552.1,556.65,27508.0
2021-11-23 09:00:00,561.6,583.55,556.65,573.05,39860.0
2021-11-23 13:00:00,573.1,577.9,558.95,563.85,21908.0
2021-11-24 09:00:00,566.0,584.0,566.0,575.8,30139.0
2021-11-24 13:00:00,575.7,579.85,574.15,577.0,18155.0
2021-11-25 09:00:00,581.75,584.5,570.0,584.2,16614.0
2021-11-25 13:00:00,583.0,588.1,582.0,585.25,10823.0
2021-11-26 09:00:00,580.0,580.95,570.0,573.35,11748.0
2021-11-26 13:00:00,573.35,577.85,550.0,567.65,11870.0
2021-11-29 09:00:00,567.65,567.65,542.25,551.5,35984.0
2021-11-29 13:00:00,551.5,590.0,551.0,576.0,17558.0
2021-11-30 09:00:00,576.0,583.95,568.15,573.45,40073.0
2021-11-30 13:00:00,574.2,596.5,573.25,578.9,33736.0
2021-12-01 09:00:00,576.1,588.0,573.2,575.15,11808.0
2021-12-01 13:00:00,575.1,577.3,570.05,572.15,4562.0
2021-12-02 09:00:00,573.0,578.1,571.4,573.1,7761.0
2021-12-02 13:00:00,573.1,576.3,569.0,571.55,6884.0
2021-12-03 09:00:00,574.6,576.0,570.0,572.25,5407.0
2021-12-03 13:00:00,572.5,572.6,566.2,569.15,4150.0
2021-12-06 09:00:00,570.0,572.95,563.15,565.35,9802.0
2021-12-06 13:00:00,565.4,567.5,563.1,565.1,4938.0
2021-12-07 09:00:00,566.1,573.55,566.1,568.6,6739.0
2021-12-07 13:00:00,568.2,571.0,562.0,565.3,5575.0
2021-12-08 09:00:00,572.0,576.0,565.45,570.75,11631.0
2021-12-08 13:00:00,570.5,571.0,565.0,569.3,7320.0
2021-12-09 09:00:00,566.1,581.0,566.0,576.5,32190.0
2021-12-09 13:00:00,576.6,577.0,570.3,571.5,8502.0
2021-12-10 09:00:00,574.0,580.0,571.5,574.25,10414.0
2021-12-10 13:00:00,574.05,576.25,572.3,574.45,4229.0
2021-12-13 09:00:00,579.0,579.0,565.45,570.0,10185.0
2021-12-13 13:00:00,569.3,574.0,566.05,569.25,5556.0
2021-12-14 09:00:00,566.0,575.0,564.05,573.6,12200.0
2021-12-14 13:00:00,573.6,573.9,571.55,572.25,3703.0
2021-12-15 09:00:00,575.85,578.8,567.2,572.4,10118.0
2021-12-15 13:00:00,572.35,574.5,571.5,572.3,4911.0
2021-12-16 09:00:00,572.3,578.0,566.75,566.75,7029.0
2021-12-16 13:00:00,566.75,569.1,566.0,567.0,2985.0
2021-12-17 09:00:00,570.95,570.95,554.2,557.0,11610.0
2021-12-17 13:00:00,557.65,559.7,554.7,556.0,3428.0
2021-12-20 09:00:00,557.0,557.0,526.1,535.6,20959.0
2021-12-20 13:00:00,535.75,575.0,534.3,556.75,26098.0
2021-12-21 09:00:00,552.0,563.3,548.8,552.05,17086.0
2021-12-21 13:00:00,551.35,553.65,540.0,544.45,6242.0
2021-12-22 09:00:00,547.0,554.85,542.2,543.5,11896.0
2021-12-22 13:00:00,542.8,546.5,542.0,544.15,5966.0
2021-12-23 09:00:00,545.75,549.7,539.95,544.3,11844.0
2021-12-23 13:00:00,545.05,564.65,543.3,556.2,13271.0
2021-12-24 09:00:00,556.2,556.5,547.05,548.25,11433.0
2021-12-24 13:00:00,548.75,551.0,544.0,545.35,4793.0
