,Open,High,Low,Close,Volume
2017-04-21 09:00:00,262.8,275.94,262.8,275.94,211080.0
2017-04-21 13:00:00,275.94,275.94,275.94,275.94,3000.0
2017-04-24 09:00:00,289.73,289.73,289.73,289.73,1726830.0
2017-04-24 13:00:00,289.73,289.73,289.73,289.73,1603125.0
2017-04-25 09:00:00,304.21,304.21,300.0,304.21,1519455.0
2017-04-25 13:00:00,304.21,304.21,304.0,304.21,69720.0
2017-04-26 09:00:00,308.0,318.98,301.0,310.2,210950.0
2017-04-26 13:00:00,310.2,311.0,299.0,303.88,110355.0
2017-04-27 09:00:00,305.6,305.6,291.6,303.0,195895.0
2017-04-27 13:00:00,303.0,303.2,296.0,298.89,63895.0
2017-04-28 05:00:00,304.0,305.6,304.0,305.6,1095.0
2017-04-28 09:00:00,304.0,313.83,304.0,313.83,176090.0
2017-04-28 13:00:00,313.83,313.83,313.83,313.83,19830.0
2017-05-02 09:00:00,329.52,329.52,329.52,329.52,36820.0
2017-05-02 13:00:00,329.52,329.52,329.52,329.52,2925.0
2017-05-03 09:00:00,345.99,345.99,335.2,342.8,229310.0
2017-05-03 13:00:00,342.8,344.0,336.02,338.81,26270.0
2017-05-04 09:00:00,337.0,355.75,325.05,355.0,167225.0
2017-05-04 13:00:00,355.0,355.75,352.0,355.51,158870.0
2017-05-05 09:00:00,360.0,360.0,342.0,350.2,47465.0
2017-05-05 13:00:00,352.98,365.0,350.0,352.05,72365.0
2017-05-08 09:00:00,355.8,356.79,340.0,344.6,22150.0
2017-05-08 13:00:00,346.0,356.0,345.2,352.7,44265.0
2017-05-09 09:00:00,349.0,353.8,349.0,351.2,6050.0
2017-05-09 13:00:00,349.0,349.0,338.24,340.43,43025.0
2017-05-10 09:00:00,341.0,344.09,338.02,342.4,15190.0
2017-05-10 13:00:00,342.4,345.6,337.0,339.69,19350.0
2017-05-11 09:00:00,341.05,345.99,337.4,339.0,10805.0
2017-05-11 13:00:00,337.2,339.0,335.4,337.45,18385.0
2017-05-12 09:00:00,340.0,340.0,329.0,334.02,9925.0
2017-05-12 13:00:00,334.8,337.0,332.21,336.21,14025.0
2017-05-15 09:00:00,340.2,341.0,332.02,337.0,39920.0
2017-05-15 13:00:00,337.0,338.0,332.04,334.96,18210.0
2017-05-16 09:00:00,333.0,337.0,330.2,336.6,17605.0
2017-05-16 13:00:00,336.6,338.0,332.0,334.9,7040.0
2017-05-17 09:00:00,332.4,340.0,331.2,335.8,10920.0
2017-05-17 13:00:00,336.0,337.98,333.06,334.01,10555.0
2017-05-18 09:00:00,332.0,332.0,327.6,328.0,10130.0
2017-05-18 13:00:00,329.0,330.98,326.2,329.95,71955.0
2017-05-19 09:00:00,329.6,330.0,325.0,326.0,8560.0
2017-05-19 13:00:00,326.0,328.0,322.02,323.71,110940.0
2017-05-22 09:00:00,325.2,325.2,320.6,321.0,3605.0
2017-05-22 13:00:00,321.0,326.0,320.0,320.46,8310.0
2017-05-23 09:00:00,320.02,328.0,316.2,316.4,12240.0
2017-05-23 13:00:00,316.8,321.98,316.8,319.98,28990.0
2017-05-24 09:00:00,317.2,320.0,311.2,314.4,6505.0
2017-05-24 13:00:00,314.4,317.6,313.6,315.91,37955.0
2017-05-25 09:00:00,313.6,317.6,310.0,310.0,6705.0
2017-05-25 13:00:00,310.0,322.0,308.0,320.02,19625.0
2017-05-26 09:00:00,323.2,336.02,320.0,336.02,42935.0
2017-05-26 13:00:00,336.02,336.02,336.02,336.02,36660.0
