,Open,High,Low,Close,Volume
2022-11-15 09:00:00,348.1,353.23,315.95,320.79,13547663.0
2022-11-15 13:00:00,320.7,321.71,310.92,314.5,3717167.0
2022-11-16 09:00:00,314.69,334.06,313.24,328.35,2842621.0
2022-11-16 13:00:00,328.49,337.59,328.25,334.5,956114.0
2022-11-17 09:00:00,332.12,335.42,323.7,329.51,451156.0
2022-11-17 13:00:00,329.51,332.56,327.52,329.65,165695.0
2022-11-18 09:00:00,331.11,333.58,324.47,328.2,238348.0
2022-11-18 13:00:00,328.25,328.59,324.38,325.98,156533.0
2022-11-21 09:00:00,325.35,336.0,317.31,331.16,1077493.0
2022-11-21 13:00:00,331.16,334.21,326.94,332.08,209374.0
2022-11-22 09:00:00,329.32,334.01,328.25,330.19,275784.0
2022-11-22 13:00:00,330.19,336.0,329.99,330.87,136527.0
2022-11-23 09:00:00,330.87,333.0,326.8,327.14,114201.0
2022-11-23 13:00:00,326.85,328.88,324.43,326.6,86325.0
2022-11-24 09:00:00,329.12,341.52,327.28,339.39,521726.0
2022-11-24 13:00:00,339.39,344.71,333.09,334.69,351211.0
2022-11-25 09:00:00,336.19,354.3,336.19,346.99,1317344.0
2022-11-25 13:00:00,346.94,351.49,346.65,348.83,590431.0
2022-11-28 09:00:00,353.43,363.11,352.12,356.77,1597449.0
2022-11-28 13:00:00,356.38,366.55,353.52,363.45,903638.0
2022-11-29 09:00:00,373.76,378.6,354.73,364.56,2001333.0
2022-11-29 13:00:00,364.66,368.14,352.31,354.54,819253.0
2022-11-30 09:00:00,356.33,357.83,348.83,355.46,306981.0
2022-11-30 13:00:00,355.56,359.04,350.72,355.27,436562.0
2022-12-01 09:00:00,359.62,365.43,358.56,364.37,811526.0
2022-12-01 13:00:00,364.37,366.98,360.69,361.71,286886.0
2022-12-02 09:00:00,361.71,369.11,357.3,366.01,771434.0
2022-12-02 13:00:00,366.45,369.89,365.05,367.9,375235.0
2022-12-05 09:00:00,369.74,370.86,364.13,368.58,357140.0
2022-12-05 13:00:00,368.58,371.82,368.14,369.84,208525.0
2022-12-06 09:00:00,368.1,375.41,366.11,369.84,305185.0
2022-12-06 13:00:00,369.55,369.84,363.11,368.24,139445.0
2022-12-07 09:00:00,367.66,390.42,367.08,380.34,1843675.0
2022-12-07 13:00:00,380.44,381.26,375.79,377.2,211395.0
2022-12-08 09:00:00,380.05,382.09,373.28,377.2,321529.0
2022-12-08 13:00:00,377.15,380.49,373.32,375.65,100593.0
2022-12-09 09:00:00,377.63,378.36,368.92,368.92,172076.0
2022-12-09 13:00:00,368.97,370.57,362.53,364.8,149387.0
2022-12-12 09:00:00,364.03,386.83,362.58,378.17,731951.0
2022-12-12 13:00:00,378.94,381.26,374.92,377.63,288288.0
2022-12-13 09:00:00,379.52,385.57,375.02,378.65,332817.0
2022-12-13 13:00:00,378.6,380.54,376.18,378.65,226291.0
2022-12-14 09:00:00,379.76,402.62,378.65,391.24,1923829.0
2022-12-14 13:00:00,392.11,395.4,386.35,391.48,297064.0
2022-12-15 09:00:00,392.16,396.71,385.86,393.13,293007.0
2022-12-15 13:00:00,393.13,394.29,386.4,391.87,239645.0
2022-12-16 09:00:00,386.35,394.53,374.83,385.82,422398.0
2022-12-16 13:00:00,385.67,386.25,376.76,378.84,292287.0
2022-12-19 09:00:00,376.67,380.54,373.81,376.08,286594.0
2022-12-19 13:00:00,376.62,377.05,373.76,376.37,161639.0
2022-12-20 09:00:00,375.7,380.88,368.19,373.76,415581.0
2022-12-20 13:00:00,373.76,374.15,372.55,373.57,158559.0
2022-12-21 09:00:00,374.97,378.31,368.48,374.78,352296.0
2022-12-21 13:00:00,374.73,375.21,351.54,358.03,423296.0
2022-12-22 09:00:00,359.91,362.29,344.03,350.38,381966.0
2022-12-22 13:00:00,350.52,353.91,345.73,350.86,109398.0
2022-12-23 09:00:00,346.16,351.49,344.23,347.62,310348.0
2022-12-23 13:00:00,347.52,348.58,335.51,340.84,531796.0
2022-12-26 09:00:00,342.58,352.31,337.21,345.0,557036.0
2022-12-26 13:00:00,345.0,346.6,338.22,340.64,286557.0
2022-12-27 09:00:00,343.74,354.15,340.84,351.97,246354.0
2022-12-27 13:00:00,352.02,352.46,345.87,347.62,115708.0
2022-12-28 09:00:00,347.57,366.89,346.12,360.3,400602.0
2022-12-28 13:00:00,360.3,363.11,359.24,361.32,188560.0
2022-12-29 09:00:00,362.09,370.66,361.41,363.16,223202.0
2022-12-29 13:00:00,363.3,366.89,361.17,364.66,71644.0
2022-12-30 09:00:00,365.48,370.81,362.19,366.01,193044.0
2022-12-30 13:00:00,366.01,366.01,349.7,352.65,294006.0
2023-01-02 09:00:00,355.51,360.16,352.7,357.98,149580.0
2023-01-02 13:00:00,357.59,365.0,356.62,359.48,56555.0
2023-01-03 09:00:00,359.62,381.7,359.62,377.68,358619.0
2023-01-03 13:00:00,377.68,385.38,377.63,383.44,200092.0
2023-01-04 09:00:00,383.44,384.41,371.63,377.54,295828.0
2023-01-04 13:00:00,377.54,386.83,375.65,380.68,191559.0
2023-01-05 09:00:00,379.57,382.38,374.73,377.59,307249.0
2023-01-05 13:00:00,376.96,377.88,369.16,376.04,76427.0
2023-01-06 09:00:00,377.83,381.99,370.47,371.19,124955.0
2023-01-06 13:00:00,371.34,374.58,364.95,373.03,68730.0
2023-01-09 09:00:00,374.68,391.58,374.68,383.1,258739.0
2023-01-09 13:00:00,383.1,385.19,377.63,380.93,93323.0
2023-01-10 09:00:00,382.86,385.72,373.76,383.44,127508.0
2023-01-10 13:00:00,383.44,383.83,371.39,377.25,265466.0
2023-01-11 09:00:00,381.41,381.41,371.82,377.2,276107.0
2023-01-11 13:00:00,376.91,377.63,372.79,373.03,70947.0
2023-01-12 09:00:00,374.73,378.99,365.72,367.85,89135.0
2023-01-12 13:00:00,367.42,378.51,366.06,377.1,143104.0
2023-01-13 09:00:00,373.91,383.54,373.91,377.25,120664.0
2023-01-13 13:00:00,377.34,380.44,376.33,378.75,80313.0
2023-01-16 09:00:00,379.52,384.9,374.24,379.04,104507.0
2023-01-16 13:00:00,379.04,379.52,374.0,375.7,21416.0
2023-01-17 09:00:00,378.89,387.32,375.02,386.4,310368.0
2023-01-17 13:00:00,385.96,405.52,385.48,391.29,911582.0
2023-01-18 09:00:00,394.05,403.24,389.98,396.52,626745.0
2023-01-18 13:00:00,396.52,408.52,395.11,396.61,330337.0
2023-01-19 09:00:00,395.98,403.29,395.45,399.57,251498.0
2023-01-19 13:00:00,399.9,402.23,388.87,390.32,154744.0
2023-01-20 09:00:00,393.76,397.68,387.9,396.37,150844.0
2023-01-20 13:00:00,396.13,400.53,395.84,397.68,119455.0
2023-01-23 09:00:00,400.58,401.36,391.19,392.01,167067.0
2023-01-23 13:00:00,392.16,397.14,391.29,395.3,139496.0
2023-01-24 09:00:00,395.35,403.05,393.17,399.9,197759.0
2023-01-24 13:00:00,400.29,401.74,397.1,399.71,64218.0
2023-01-25 09:00:00,400.78,400.87,382.52,386.49,222750.0
2023-01-25 13:00:00,386.54,392.64,383.54,387.41,93977.0
2023-01-27 09:00:00,388.48,391.63,360.49,366.55,237490.0
2023-01-27 13:00:00,367.13,367.47,362.14,364.08,112654.0
2023-01-30 09:00:00,363.4,377.63,362.29,365.48,105298.0
2023-01-30 13:00:00,365.58,366.98,358.36,363.54,59911.0
2023-01-31 09:00:00,372.79,401.07,372.79,397.87,626874.0
2023-01-31 13:00:00,397.97,398.6,390.61,393.37,141111.0
2023-02-01 09:00:00,399.71,416.32,393.51,411.48,570603.0
2023-02-01 13:00:00,411.04,412.93,392.16,399.08,416048.0
2023-02-02 09:00:00,401.6,407.65,394.72,400.24,145417.0
2023-02-02 13:00:00,399.42,400.24,393.13,396.56,41718.0
2023-02-03 09:00:00,398.55,404.79,383.44,395.21,134962.0
2023-02-03 13:00:00,395.26,396.03,386.78,390.46,70995.0
2023-02-06 09:00:00,388.53,413.41,388.38,406.3,184929.0
2023-02-06 13:00:00,405.81,410.94,405.28,408.23,91378.0
2023-02-07 09:00:00,410.31,416.32,401.21,403.92,122081.0
2023-02-07 13:00:00,404.12,406.97,399.95,401.99,79089.0
2023-02-08 09:00:00,399.9,430.31,399.71,421.21,514851.0
2023-02-08 13:00:00,421.5,423.09,414.67,420.24,164457.0
2023-02-09 09:00:00,421.79,422.95,407.46,412.69,188422.0
2023-02-09 13:00:00,412.3,417.91,411.57,416.03,59440.0
2023-02-10 09:00:00,415.49,422.17,400.44,401.84,319514.0
2023-02-10 13:00:00,401.84,404.75,391.38,403.2,203692.0
2023-02-13 09:00:00,415.4,415.4,392.16,396.03,276986.0
2023-02-13 13:00:00,396.03,398.89,395.6,396.95,61593.0
2023-02-14 09:00:00,397.24,399.52,384.12,389.25,196739.0
2023-02-14 13:00:00,389.25,391.19,384.94,391.19,131695.0
2023-02-15 09:00:00,387.32,414.48,385.53,411.52,228858.0
2023-02-15 13:00:00,411.52,411.52,401.84,403.34,68346.0
2023-02-16 09:00:00,405.38,407.26,394.09,394.92,109451.0
2023-02-16 13:00:00,394.92,401.84,394.09,400.78,59734.0
2023-02-17 09:00:00,400.87,406.34,395.11,398.94,77118.0
2023-02-17 13:00:00,398.94,404.89,398.6,403.1,51298.0
2023-02-20 09:00:00,405.04,405.04,393.13,395.55,65912.0
2023-02-20 13:00:00,395.55,398.84,395.5,397.0,39718.0
2023-02-21 09:00:00,398.89,401.26,392.16,396.32,65527.0
2023-02-21 13:00:00,396.37,410.27,396.18,403.92,131791.0
2023-02-22 09:00:00,399.61,400.68,385.38,387.66,137914.0
2023-02-22 13:00:00,387.66,390.17,387.32,388.14,52789.0
2023-02-23 09:00:00,387.41,393.03,386.74,388.28,73765.0
2023-02-23 13:00:00,388.28,391.63,384.12,384.46,64004.0
2023-02-24 09:00:00,388.19,394.72,388.19,390.95,46822.0
2023-02-24 13:00:00,390.56,399.81,390.22,392.64,98816.0
2023-02-27 09:00:00,394.19,394.19,372.6,377.63,109939.0
2023-02-27 13:00:00,377.63,384.02,377.1,382.81,42584.0
2023-02-28 09:00:00,382.81,390.95,375.7,387.85,96454.0
2023-02-28 13:00:00,387.75,387.75,377.73,382.57,51970.0
2023-03-01 09:00:00,383.35,390.17,383.35,387.32,62343.0
2023-03-01 13:00:00,387.32,391.87,386.59,389.35,88139.0
2023-03-02 09:00:00,389.54,391.82,387.32,389.06,60794.0
2023-03-02 13:00:00,389.06,394.09,388.19,391.09,96440.0
2023-03-03 09:00:00,392.21,396.08,387.9,392.25,187031.0
2023-03-03 13:00:00,392.93,398.06,387.36,388.33,339920.0
2023-03-06 09:00:00,389.25,397.82,389.25,393.61,131350.0
2023-03-06 13:00:00,393.61,394.09,387.32,388.28,73074.0
2023-03-08 09:00:00,388.28,397.92,385.72,394.09,66130.0
2023-03-08 13:00:00,394.09,398.74,393.22,396.22,36265.0
2023-03-09 09:00:00,394.48,398.36,390.8,392.45,128352.0
2023-03-09 13:00:00,392.5,394.92,392.16,392.93,35684.0
2023-03-10 09:00:00,387.32,394.09,385.43,392.16,79107.0
2023-03-10 13:00:00,392.16,393.61,391.67,392.01,25096.0
2023-03-13 09:00:00,391.63,391.63,376.47,384.41,190164.0
2023-03-13 13:00:00,383.93,386.35,377.73,380.49,90055.0
2023-03-14 09:00:00,383.35,389.25,378.12,387.32,197619.0
2023-03-14 13:00:00,387.32,387.75,375.7,381.22,138188.0
2023-03-15 09:00:00,387.22,389.64,383.54,387.75,68747.0
2023-03-15 13:00:00,387.32,388.87,383.06,385.43,32428.0
2023-03-16 09:00:00,379.86,389.93,379.42,386.11,75851.0
2023-03-16 13:00:00,385.72,387.32,385.38,385.91,33201.0
2023-03-17 09:00:00,387.32,388.28,380.2,387.32,108838.0
2023-03-17 13:00:00,387.7,390.12,386.25,388.72,41475.0
2023-03-20 09:00:00,384.9,389.16,381.85,384.85,34932.0
2023-03-20 13:00:00,384.85,385.38,380.73,383.3,27241.0
2023-03-21 09:00:00,389.2,389.2,381.51,384.41,108774.0
2023-03-21 13:00:00,384.41,385.38,380.68,383.39,88965.0
2023-03-22 09:00:00,384.8,388.77,381.6,386.64,77758.0
2023-03-22 13:00:00,386.98,392.16,386.35,389.74,26778.0
2023-03-23 09:00:00,390.22,392.16,384.12,390.03,50791.0
2023-03-23 13:00:00,389.5,392.06,384.65,388.38,31417.0
2023-03-24 09:00:00,389.98,389.98,382.48,387.07,24352.0
2023-03-24 13:00:00,387.07,387.8,376.76,379.72,44683.0
2023-03-27 09:00:00,379.57,379.57,363.11,370.86,51322.0
2023-03-27 13:00:00,370.86,373.76,368.92,370.18,54277.0
2023-03-28 09:00:00,369.89,381.07,367.22,380.01,108264.0
2023-03-28 13:00:00,381.02,382.48,371.82,374.58,50709.0
2023-03-29 09:00:00,375.99,385.28,372.84,383.78,83179.0
2023-03-29 13:00:00,383.69,391.19,381.99,388.19,89730.0
2023-03-31 09:00:00,390.12,393.42,385.96,391.24,105889.0
2023-03-31 13:00:00,391.24,395.69,380.88,388.53,55134.0
2023-04-03 09:00:00,389.25,391.38,385.19,388.14,57945.0
2023-04-03 13:00:00,388.14,388.14,383.49,384.85,17055.0
2023-04-05 09:00:00,382.48,395.06,382.48,392.21,95047.0
2023-04-05 13:00:00,392.16,393.95,389.25,390.08,74095.0
2023-04-06 09:00:00,388.28,405.71,388.19,400.63,214186.0
2023-04-06 13:00:00,400.24,401.84,395.06,399.57,111340.0
2023-04-10 09:00:00,399.86,402.81,392.93,395.3,50594.0
2023-04-10 13:00:00,395.3,395.4,388.28,391.14,39385.0
2023-04-11 09:00:00,397.0,402.23,392.69,393.47,140309.0
2023-04-11 13:00:00,394.0,404.75,393.13,403.39,101544.0
2023-04-12 09:00:00,404.79,409.93,397.0,398.45,126237.0
2023-04-12 13:00:00,398.69,399.23,390.66,394.53,76874.0
2023-04-13 09:00:00,398.45,398.74,391.04,391.19,99695.0
2023-04-13 13:00:00,391.67,393.13,388.38,391.43,61400.0
2023-04-17 09:00:00,391.43,391.43,385.09,388.58,198453.0
2023-04-17 13:00:00,388.62,389.01,382.48,384.22,56780.0
2023-04-18 09:00:00,388.87,399.71,387.32,397.19,185215.0
2023-04-18 13:00:00,396.85,398.02,389.93,396.85,160499.0
2023-04-19 09:00:00,397.0,407.65,397.0,405.33,183129.0
2023-04-19 13:00:00,405.62,405.71,400.87,402.33,67144.0
2023-04-20 09:00:00,402.81,406.68,393.71,394.72,329243.0
2023-04-20 13:00:00,394.39,396.9,393.66,395.6,56948.0
2023-04-21 09:00:00,395.93,396.76,383.54,386.4,91488.0
2023-04-21 13:00:00,386.01,390.03,385.86,388.62,42405.0
2023-04-24 09:00:00,386.35,391.19,386.11,389.45,57724.0
2023-04-24 13:00:00,389.93,393.22,389.25,391.96,55041.0
2023-04-25 09:00:00,395.06,400.87,391.19,400.68,91189.0
2023-04-25 13:00:00,400.82,403.78,399.47,400.49,85604.0
2023-04-26 09:00:00,395.16,402.81,392.35,395.74,86173.0
2023-04-26 13:00:00,395.84,401.5,395.16,397.97,44134.0
2023-04-27 09:00:00,397.92,401.31,397.24,398.94,28266.0
2023-04-27 13:00:00,398.94,405.52,397.29,402.57,42317.0
2023-04-28 09:00:00,403.73,403.73,399.08,399.86,32002.0
2023-04-28 13:00:00,399.18,404.36,397.53,402.33,50749.0
2023-05-02 09:00:00,401.74,416.37,399.03,403.58,175204.0
2023-05-02 13:00:00,403.15,418.64,398.31,414.62,231569.0
2023-05-03 09:00:00,416.37,423.43,415.3,421.74,245265.0
2023-05-03 13:00:00,422.13,426.48,418.93,423.63,172247.0
2023-05-04 09:00:00,425.08,432.73,419.51,430.79,221567.0
2023-05-04 13:00:00,430.84,432.83,426.24,430.16,164241.0
2023-05-05 09:00:00,425.56,432.83,416.66,426.63,136741.0
2023-05-05 13:00:00,426.97,432.83,423.14,428.37,69028.0
2023-05-08 09:00:00,430.7,430.7,418.11,419.56,61913.0
2023-05-08 13:00:00,419.17,420.24,413.94,416.12,33722.0
2023-05-09 09:00:00,415.4,419.27,408.38,414.77,90122.0
2023-05-09 13:00:00,414.77,415.4,408.81,410.7,41085.0
2023-05-10 09:00:00,415.3,421.01,405.71,418.54,123115.0
