,Open,High,Low,Close,Volume
2016-10-03 09:00:00,5.1,5.1,5.1,5.1,533538.0
2016-10-03 13:00:00,5.1,5.1,5.1,5.1,79954.0
2016-10-04 09:00:00,5.35,5.35,5.35,5.35,675117.0
2016-10-04 13:00:00,5.35,5.35,5.35,5.35,49479.0
2016-10-05 09:00:00,5.6,5.6,5.15,5.6,13532019.0
2016-10-05 13:00:00,5.6,5.6,5.6,5.6,254438.0
2016-10-06 09:00:00,5.75,5.85,5.7,5.85,4685211.0
2016-10-06 13:00:00,5.85,5.85,5.85,5.85,149946.0
2016-10-07 09:00:00,6.1,6.1,6.1,6.1,1803985.0
2016-10-07 13:00:00,6.1,6.1,6.1,6.1,118005.0
2016-10-10 09:00:00,6.4,6.4,6.35,6.4,1354996.0
2016-10-10 13:00:00,6.4,6.4,6.4,6.4,136875.0
2016-10-13 09:00:00,6.7,6.7,6.7,6.7,3545004.0
2016-10-13 13:00:00,6.7,6.7,6.7,6.7,163367.0
2016-10-14 09:00:00,7.0,7.0,6.4,6.4,12919751.0
2016-10-14 13:00:00,6.4,6.4,6.4,6.4,915386.0
2016-10-17 09:00:00,6.1,6.1,6.1,6.1,700987.0
2016-10-17 13:00:00,6.1,6.1,6.1,6.1,349108.0
2016-10-18 09:00:00,5.8,5.8,5.8,5.8,839540.0
2016-10-18 13:00:00,5.8,6.1,5.8,5.85,24193749.0
2016-10-19 09:00:00,5.75,5.85,5.6,5.6,33652239.0
2016-10-19 13:00:00,5.6,5.6,5.6,5.6,463112.0
2016-10-20 09:00:00,5.45,5.45,5.35,5.35,22158706.0
2016-10-20 13:00:00,5.35,5.45,5.35,5.35,16706337.0
2016-10-21 09:00:00,5.6,5.6,5.35,5.6,21779299.0
2016-10-21 13:00:00,5.6,5.6,5.55,5.6,6584548.0
2016-10-24 09:00:00,5.75,5.8,5.5,5.6,7714063.0
2016-10-24 13:00:00,5.65,5.7,5.55,5.65,2941842.0
2016-10-25 09:00:00,5.75,5.75,5.4,5.4,4605177.0
2016-10-25 13:00:00,5.4,5.4,5.4,5.4,394324.0
2016-10-26 09:00:00,5.15,5.65,5.15,5.45,10879184.0
2016-10-26 13:00:00,5.4,5.45,5.15,5.15,1776446.0
2016-10-27 09:00:00,5.0,5.15,4.9,4.9,6545395.0
2016-10-27 13:00:00,4.9,4.9,4.9,4.9,533391.0
2016-10-28 09:00:00,4.85,4.85,4.7,4.7,5667243.0
2016-10-28 13:00:00,4.7,4.8,4.7,4.7,7383544.0
2016-10-30 13:00:00,4.75,4.8,4.5,4.65,3994345.0
2016-11-01 09:00:00,4.7,4.8,4.45,4.45,4688129.0
2016-11-01 13:00:00,4.5,4.5,4.45,4.45,1466316.0
2016-11-02 09:00:00,4.35,4.65,4.3,4.6,9935325.0
2016-11-02 13:00:00,4.6,4.6,4.55,4.6,915712.0
2016-11-03 09:00:00,4.6,4.6,4.5,4.6,2547414.0
