,Open,High,Low,Close,Volume
2018-05-21 09:00:00,600.0,606.8,579.1,581.5,13850973.0
2018-05-21 13:00:00,581.5,591.9,580.5,586.1,2716735.0
2018-05-22 09:00:00,585.8,595.0,580.65,591.55,938320.0
2018-05-22 13:00:00,591.8,597.8,591.5,595.6,628580.0
2018-05-23 09:00:00,596.0,603.0,593.3,600.05,792355.0
2018-05-23 13:00:00,600.05,605.0,599.1,603.6,694259.0
2018-05-24 09:00:00,603.0,607.8,585.05,590.0,327514.0
2018-05-24 13:00:00,589.8,591.55,587.85,589.8,132614.0
2018-05-25 09:00:00,586.55,592.85,582.15,586.0,100100.0
2018-05-25 13:00:00,586.0,590.0,585.0,588.3,63995.0
2018-05-28 09:00:00,588.3,591.0,584.2,585.05,76564.0
2018-05-28 13:00:00,585.0,589.9,584.8,587.15,75501.0
2018-05-29 09:00:00,584.9,587.45,584.2,585.45,121060.0
2018-05-29 13:00:00,585.45,585.9,581.0,584.8,93755.0
2018-05-30 09:00:00,584.8,589.0,572.3,582.5,124318.0
2018-05-30 13:00:00,582.6,584.0,581.65,582.15,36641.0
2018-05-31 09:00:00,585.0,597.9,581.7,584.8,197736.0
2018-05-31 13:00:00,584.75,591.8,584.1,590.1,171613.0
2018-06-01 09:00:00,585.1,590.0,582.5,585.25,73980.0
2018-06-01 13:00:00,585.15,589.0,583.3,587.15,53894.0
2018-06-04 09:00:00,584.0,587.9,582.5,585.0,89352.0
2018-06-04 13:00:00,585.0,586.0,580.0,584.5,56477.0
2018-06-05 09:00:00,576.0,579.1,569.85,572.8,262249.0
2018-06-05 13:00:00,572.75,575.0,568.25,572.15,143812.0
2018-06-06 09:00:00,570.0,579.9,569.1,573.6,43743.0
2018-06-06 13:00:00,573.45,573.45,561.0,570.65,20304.0
2018-06-07 09:00:00,570.0,574.9,565.5,566.0,126702.0
2018-06-07 13:00:00,566.2,569.8,565.0,566.45,35836.0
2018-06-08 09:00:00,561.05,565.8,561.05,563.05,28205.0
2018-06-08 13:00:00,563.0,563.8,562.25,563.0,32969.0
2018-06-11 09:00:00,560.2,568.6,559.5,560.0,26709.0
2018-06-11 13:00:00,559.75,560.5,559.0,559.95,44879.0
2018-06-12 09:00:00,558.5,561.95,555.0,556.1,100230.0
2018-06-12 13:00:00,555.7,556.5,555.25,555.95,35511.0
2018-06-13 09:00:00,553.05,572.05,552.0,555.2,54548.0
2018-06-13 13:00:00,555.2,556.85,554.5,555.05,20477.0
2018-06-14 09:00:00,555.0,563.0,553.5,558.8,47663.0
2018-06-14 13:00:00,558.8,561.0,558.05,559.9,20263.0
2018-06-15 09:00:00,562.0,567.0,558.5,560.05,70895.0
2018-06-15 13:00:00,560.0,560.9,548.4,557.7,53851.0
2018-06-18 09:00:00,562.45,566.95,557.1,560.05,521369.0
2018-06-18 13:00:00,560.1,572.0,560.0,564.5,217783.0
2018-06-19 09:00:00,569.9,574.5,562.7,567.55,122733.0
2018-06-19 13:00:00,567.05,569.0,564.75,566.5,231832.0
2018-06-20 09:00:00,567.0,568.45,556.5,560.5,17357.0
2018-06-20 13:00:00,560.4,561.85,560.05,561.0,25010.0
2018-06-21 09:00:00,562.0,562.0,555.1,559.0,11321.0
2018-06-21 13:00:00,558.6,565.55,556.25,562.55,37929.0
2018-06-22 09:00:00,560.15,561.9,554.0,554.0,33639.0
2018-06-22 13:00:00,553.5,554.95,551.0,553.0,14361.0
2018-06-25 09:00:00,558.95,558.95,540.3,541.5,272011.0
2018-06-25 13:00:00,541.55,542.15,530.2,532.95,18147.0
2018-06-26 09:00:00,530.0,534.0,511.1,517.1,50685.0
2018-06-26 13:00:00,517.1,524.75,512.7,520.6,30733.0
2018-06-27 09:00:00,528.65,533.0,515.05,516.85,25739.0
2018-06-27 13:00:00,515.55,515.55,502.55,507.1,18055.0
2018-06-28 09:00:00,503.0,505.45,496.3,504.55,34077.0
2018-06-28 13:00:00,504.65,519.6,500.2,510.5,99691.0
2018-06-29 09:00:00,516.0,523.8,510.35,517.3,47169.0
2018-06-29 13:00:00,518.0,526.5,510.0,520.7,94486.0
2018-07-02 09:00:00,520.7,524.4,505.0,505.5,42818.0
2018-07-02 13:00:00,505.5,509.7,504.15,506.15,17470.0
2018-07-03 09:00:00,505.2,518.6,503.25,511.4,26512.0
2018-07-03 13:00:00,512.0,533.0,509.7,525.45,50432.0
2018-07-04 09:00:00,528.95,535.3,524.9,529.65,23555.0
2018-07-04 13:00:00,529.65,531.45,521.4,527.7,130922.0
2018-07-05 09:00:00,530.0,536.95,522.8,524.65,58110.0
2018-07-05 13:00:00,523.9,528.05,511.8,516.05,197083.0
2018-07-06 09:00:00,513.0,524.45,512.7,520.0,32316.0
2018-07-06 13:00:00,520.0,520.7,509.0,515.65,19589.0
2018-07-09 09:00:00,524.45,524.45,516.65,517.85,13188.0
2018-07-09 13:00:00,517.95,518.35,511.05,514.75,12589.0
2018-07-10 09:00:00,512.1,521.5,512.1,520.15,55936.0
2018-07-10 13:00:00,519.95,520.95,513.35,515.95,110868.0
2018-07-11 09:00:00,515.2,519.6,513.05,514.9,11427.0
2018-07-11 13:00:00,514.9,517.65,506.7,511.15,19617.0
2018-07-12 09:00:00,513.3,514.85,511.05,513.25,20820.0
2018-07-12 13:00:00,513.65,514.05,498.95,501.85,42696.0
2018-07-13 09:00:00,501.8,508.35,489.0,490.0,24573.0
2018-07-13 13:00:00,490.0,490.95,486.4,488.25,18156.0
2018-07-16 09:00:00,494.0,494.0,471.4,480.0,31880.0
2018-07-16 13:00:00,480.0,490.0,476.0,489.0,37186.0
2018-07-17 09:00:00,497.95,503.25,492.5,494.65,140129.0
2018-07-17 13:00:00,494.25,496.05,482.75,488.8,34608.0
2018-07-18 09:00:00,494.45,494.5,485.05,487.75,25054.0
2018-07-18 13:00:00,487.25,487.95,475.1,480.8,111687.0
2018-07-19 09:00:00,486.0,487.05,472.0,474.9,26182.0
2018-07-19 13:00:00,474.2,478.0,466.35,470.3,25472.0
2018-07-20 09:00:00,470.0,473.9,460.0,461.3,42261.0
2018-07-20 13:00:00,460.0,462.0,432.9,447.55,239938.0
2018-07-23 09:00:00,460.0,460.0,445.0,447.4,263908.0
2018-07-23 13:00:00,447.0,448.0,444.55,445.7,33387.0
2018-07-24 09:00:00,442.2,450.0,442.2,449.35,27815.0
2018-07-24 13:00:00,448.55,449.85,443.0,445.75,14969.0
2018-07-25 09:00:00,446.2,464.95,445.0,458.5,73799.0
2018-07-25 13:00:00,458.0,463.45,455.1,460.4,24124.0
2018-07-26 09:00:00,464.0,464.45,456.05,457.25,15685.0
2018-07-26 13:00:00,457.85,464.8,452.3,458.4,17645.0
2018-07-27 09:00:00,455.0,470.6,455.0,466.0,22502.0
2018-07-27 13:00:00,465.0,471.4,464.1,468.9,8859.0
2018-07-30 09:00:00,474.0,485.0,470.0,482.75,195230.0
2018-07-30 13:00:00,482.75,487.0,482.75,483.4,10466.0
2018-07-31 09:00:00,494.0,494.0,483.4,485.0,21136.0
2018-07-31 13:00:00,485.0,485.45,478.0,481.35,8810.0
2018-08-01 09:00:00,485.9,485.9,478.5,484.6,22026.0
2018-08-01 13:00:00,484.0,493.95,481.45,486.5,34815.0
2018-08-02 09:00:00,486.25,490.45,479.7,485.95,38394.0
2018-08-02 13:00:00,485.95,486.5,476.1,481.25,16300.0
2018-08-03 09:00:00,489.8,489.8,477.0,481.75,14630.0
2018-08-03 13:00:00,480.05,485.75,476.4,482.35,58664.0
2018-08-06 09:00:00,482.35,486.8,477.05,480.1,35032.0
2018-08-06 13:00:00,480.65,482.0,477.0,479.75,26543.0
2018-08-07 09:00:00,475.1,487.25,475.1,482.0,19608.0
2018-08-07 13:00:00,481.9,490.0,481.0,486.9,22936.0
2018-08-08 09:00:00,488.0,505.0,482.0,502.4,81580.0
2018-08-08 13:00:00,502.4,503.8,497.6,500.5,42053.0
2018-08-09 09:00:00,505.0,505.0,500.0,501.9,15453.0
2018-08-09 13:00:00,501.9,505.0,496.25,500.7,12341.0
2018-08-10 09:00:00,504.9,506.85,499.25,499.9,19471.0
2018-08-10 13:00:00,499.2,502.85,497.0,500.7,10785.0
2018-08-13 09:00:00,482.55,487.35,471.5,480.0,211520.0
2018-08-13 13:00:00,480.0,482.0,479.5,480.05,67511.0
2018-08-14 09:00:00,490.0,498.95,479.0,481.5,24839.0
2018-08-14 13:00:00,481.5,485.0,475.25,480.1,123232.0
2018-08-16 09:00:00,483.25,489.95,480.4,483.1,15629.0
2018-08-16 13:00:00,483.05,488.0,480.0,484.5,30720.0
2018-08-17 09:00:00,489.0,489.0,482.7,484.15,14263.0
2018-08-17 13:00:00,483.2,484.8,474.6,478.85,15269.0
2018-08-20 09:00:00,479.0,487.4,476.4,479.15,193533.0
2018-08-20 13:00:00,479.15,489.55,478.6,481.25,22442.0
2018-08-21 09:00:00,487.0,495.0,478.0,479.2,165414.0
2018-08-21 13:00:00,479.2,480.0,470.8,474.45,25746.0
2018-08-23 09:00:00,475.0,475.0,465.3,466.3,6809.0
2018-08-23 13:00:00,466.15,467.9,462.6,464.4,5207.0
2018-08-24 09:00:00,466.0,468.3,461.15,465.0,59319.0
2018-08-24 13:00:00,465.0,465.75,442.1,447.15,144160.0
2018-08-27 09:00:00,447.0,449.25,440.35,441.0,15330.0
2018-08-27 13:00:00,441.75,442.0,440.15,441.2,7927.0
2018-08-28 09:00:00,441.0,445.0,435.15,437.0,16693.0
2018-08-28 13:00:00,438.3,438.3,435.0,436.0,13474.0
2018-08-29 09:00:00,439.9,440.0,433.0,436.6,113795.0
2018-08-29 13:00:00,435.75,439.7,434.05,436.25,45584.0
2018-08-30 09:00:00,436.25,445.25,434.0,441.1,31323.0
2018-08-30 13:00:00,440.15,453.4,440.15,447.35,74983.0
2018-08-31 09:00:00,450.0,469.4,450.0,452.25,45255.0
2018-08-31 13:00:00,452.25,462.0,447.05,459.55,48350.0
2018-09-03 09:00:00,465.0,480.0,462.05,466.05,39902.0
2018-09-03 13:00:00,466.0,466.95,451.25,453.8,15184.0
2018-09-04 09:00:00,457.45,465.9,455.05,456.1,6570.0
2018-09-04 13:00:00,456.0,457.95,451.0,452.5,7141.0
2018-09-05 09:00:00,460.5,460.5,445.55,447.85,9190.0
2018-09-05 13:00:00,446.35,448.0,438.0,439.95,72162.0
2018-09-06 09:00:00,443.5,449.95,441.0,444.7,6950.0
2018-09-06 13:00:00,444.7,447.45,444.15,444.8,5510.0
