,Open,High,Low,Close,Volume
2016-10-03 09:00:00,125.0,128.5,125.0,127.45,17985
2016-10-03 13:00:00,127.4,128.3,126.25,126.65,15169
2016-10-04 09:00:00,126.5,128.65,125.55,125.55,8614
2016-10-04 13:00:00,126.0,126.5,124.7,126.25,12749
2016-10-05 09:00:00,126.0,128.0,124.45,125.25,22774
2016-10-05 13:00:00,125.5,126.0,123.75,124.4,18764
2016-10-06 09:00:00,125.6,129.9,125.0,128.25,36823
2016-10-06 13:00:00,128.25,128.25,125.0,126.05,21580
2016-10-07 09:00:00,126.2,127.0,124.15,125.5,6633
2016-10-07 13:00:00,125.15,126.35,124.45,125.7,8476
2016-10-10 09:00:00,125.5,130.5,125.5,128.45,38412
2016-10-10 13:00:00,128.55,129.4,128.3,128.8,16050
2016-10-13 09:00:00,127.35,130.25,125.1,125.5,25753
2016-10-13 13:00:00,125.85,126.9,123.5,126.45,14139
2016-10-14 09:00:00,126.4,129.0,125.55,127.0,12447
2016-10-14 13:00:00,127.0,128.0,126.0,127.5,19395
2016-10-17 09:00:00,126.5,129.0,126.5,126.8,18952
2016-10-17 13:00:00,127.25,127.45,126.55,126.9,6491
2016-10-18 09:00:00,127.55,132.75,126.0,130.6,112367
2016-10-18 13:00:00,130.6,131.25,129.55,130.7,45380
2016-10-19 09:00:00,132.0,132.7,129.55,129.65,19989
2016-10-19 13:00:00,129.55,131.95,128.0,128.65,14348
2016-10-20 09:00:00,129.35,136.0,129.35,132.25,268555
2016-10-20 13:00:00,132.25,134.0,131.3,131.8,45608
2016-10-21 09:00:00,132.5,133.7,128.3,129.45,33832
2016-10-21 13:00:00,129.8,131.9,129.0,130.0,14045
2016-10-24 09:00:00,129.75,131.95,129.05,131.35,36439
2016-10-24 13:00:00,131.35,131.4,129.5,129.9,10609
2016-10-25 09:00:00,130.35,131.1,127.0,129.0,23303
2016-10-25 13:00:00,128.6,129.4,127.7,128.05,11956
2016-10-26 09:00:00,128.0,131.0,127.1,129.3,19107
2016-10-26 13:00:00,129.75,129.75,127.1,127.65,11502
2016-10-27 09:00:00,127.55,128.9,125.15,127.0,29306
2016-10-27 13:00:00,126.4,127.75,125.8,126.55,10173
2016-10-28 09:00:00,126.8,128.0,124.6,126.45,15001
2016-10-28 13:00:00,126.45,127.9,126.0,126.9,10483
2016-10-30 13:00:00,128.0,129.8,127.8,128.8,14614
2016-11-01 09:00:00,128.05,132.65,127.2,131.5,22782
2016-11-01 13:00:00,131.5,131.5,129.8,130.1,9160
2016-11-02 09:00:00,128.05,131.4,127.0,127.7,25968
2016-11-02 13:00:00,128.0,128.05,126.55,127.0,10706
2016-11-03 09:00:00,127.75,129.3,123.5,126.0,19324
2016-11-03 13:00:00,125.5,126.5,124.0,124.55,6273
2016-11-04 09:00:00,124.6,125.0,120.3,123.4,21975
2016-11-04 13:00:00,123.0,123.3,121.6,122.55,16663
2016-11-07 09:00:00,126.9,126.9,122.6,123.15,19281
2016-11-07 13:00:00,123.0,123.4,122.35,122.5,23106
2016-11-08 09:00:00,122.25,124.3,121.05,121.7,17010
2016-11-08 13:00:00,121.7,123.05,121.25,121.4,17743
2016-11-09 09:00:00,107.0,109.95,97.15,107.6,56162
2016-11-09 13:00:00,108.25,111.0,106.85,108.2,37373
2016-11-10 09:00:00,110.55,117.8,108.2,108.35,113985
2016-11-10 13:00:00,108.6,109.7,107.0,107.7,26078
2016-11-11 09:00:00,106.8,106.8,101.35,103.1,84475
2016-11-11 13:00:00,103.45,103.8,98.0,99.7,64375
2016-11-15 09:00:00,100.0,100.0,84.9,89.15,90575
2016-11-15 13:00:00,89.2,92.0,88.2,91.2,26474
2016-11-16 09:00:00,95.75,99.4,91.1,96.0,47138
2016-11-16 13:00:00,96.0,96.9,95.0,95.75,10149
2016-11-17 09:00:00,95.75,96.0,92.0,93.4,21696
2016-11-17 13:00:00,93.5,93.6,90.35,91.05,11427
2016-11-18 09:00:00,91.05,92.2,89.0,89.95,18367
2016-11-18 13:00:00,89.9,90.4,87.05,88.15,26635
2016-11-21 09:00:00,88.25,94.0,87.15,93.85,38498
2016-11-21 13:00:00,93.75,95.0,88.05,88.9,43254
2016-11-22 09:00:00,89.6,91.0,86.6,87.8,17328
2016-11-22 13:00:00,88.0,89.15,87.35,88.55,12073
2016-11-23 09:00:00,90.35,92.8,88.5,91.3,28522
2016-11-23 13:00:00,91.35,91.95,90.45,91.7,11426
2016-11-24 09:00:00,90.15,94.0,89.55,93.05,11486
2016-11-24 13:00:00,93.05,94.85,93.0,93.6,8310
2016-11-25 09:00:00,93.95,96.0,93.0,94.0,10521
2016-11-25 13:00:00,94.2,94.9,93.85,94.1,6566
2016-11-28 09:00:00,95.4,98.9,92.6,96.45,25372
2016-11-28 13:00:00,96.5,96.95,95.7,96.2,6927
2016-11-29 09:00:00,96.35,101.5,96.3,99.6,31161
2016-11-29 13:00:00,99.65,100.0,97.1,97.85,29247
2016-11-30 09:00:00,98.6,100.35,98.05,98.6,25290
2016-11-30 13:00:00,98.95,99.0,98.35,98.8,29103
2016-12-01 09:00:00,99.0,99.5,97.0,97.5,13619
2016-12-01 13:00:00,97.5,97.85,96.5,96.75,6083
2016-12-02 09:00:00,96.6,96.7,92.0,94.55,47217
2016-12-02 13:00:00,94.55,95.0,94.1,94.9,11071
2016-12-05 09:00:00,101.0,111.6,101.0,105.75,1546322
2016-12-05 13:00:00,105.8,105.9,100.5,101.35,811275
2016-12-06 09:00:00,102.1,102.75,98.5,100.2,187920
2016-12-06 13:00:00,100.2,100.75,99.05,99.55,63999
2016-12-07 09:00:00,99.0,101.0,99.0,99.95,38968
2016-12-07 13:00:00,100.0,100.45,97.65,98.05,53862
2016-12-08 09:00:00,98.9,98.9,96.65,97.2,57492
2016-12-08 13:00:00,97.2,97.9,96.1,96.5,34922
2016-12-09 09:00:00,96.2,100.95,96.05,99.0,68693
2016-12-09 13:00:00,99.0,99.5,98.0,98.75,25227
