,Open,High,Low,Close,Volume
2016-10-03 09:00:00,833.0,849.0,824.05,839.65,5057.0
2016-10-03 13:00:00,840.0,844.75,832.05,837.95,1895.0
2016-10-04 09:00:00,830.0,844.55,829.95,838.85,1943.0
2016-10-04 13:00:00,838.5,843.9,830.05,837.6,3201.0
2016-10-05 09:00:00,835.0,856.0,833.0,833.0,4820.0
2016-10-05 13:00:00,834.0,839.0,832.5,833.8,2186.0
2016-10-06 09:00:00,837.95,854.25,835.2,836.2,3231.0
2016-10-06 13:00:00,835.3,851.0,833.1,846.2,3469.0
2016-10-07 09:00:00,839.05,844.8,835.1,835.5,1926.0
2016-10-07 13:00:00,837.75,846.0,835.5,837.55,1159.0
2016-10-10 09:00:00,837.55,838.0,828.05,833.0,2279.0
2016-10-10 13:00:00,832.0,840.0,832.0,834.55,1553.0
2016-10-13 09:00:00,833.45,838.95,827.1,827.1,3855.0
2016-10-13 13:00:00,826.0,838.0,825.1,830.1,2147.0
2016-10-14 09:00:00,820.0,843.75,820.0,835.0,1845.0
2016-10-14 13:00:00,835.25,853.0,828.0,849.75,8385.0
2016-10-17 09:00:00,848.85,849.7,832.05,836.55,915.0
2016-10-17 13:00:00,835.2,840.0,821.0,830.65,988.0
2016-10-18 09:00:00,833.0,858.75,829.85,849.95,6942.0
2016-10-18 13:00:00,846.1,848.0,837.25,840.75,3560.0
2016-10-19 09:00:00,854.2,855.0,835.45,844.0,1280.0
2016-10-19 13:00:00,844.0,846.45,839.1,840.8,1408.0
2016-10-20 09:00:00,838.0,885.5,838.0,872.25,29753.0
2016-10-20 13:00:00,872.25,879.95,865.0,871.45,6125.0
2016-10-21 09:00:00,868.0,887.9,866.7,877.5,6706.0
2016-10-21 13:00:00,877.5,887.75,873.3,882.35,5287.0
2016-10-24 09:00:00,894.9,895.0,883.0,890.0,5906.0
2016-10-24 13:00:00,889.0,894.1,872.65,884.5,4514.0
2016-10-25 09:00:00,884.5,895.0,875.0,881.25,3936.0
2016-10-25 13:00:00,884.0,888.0,875.0,883.35,2164.0
2016-10-26 09:00:00,885.0,980.0,876.1,959.15,73342.0
2016-10-26 13:00:00,960.0,973.0,948.0,950.6,17019.0
2016-10-27 09:00:00,950.6,980.0,938.0,947.7,17896.0
