,Open,High,Low,Close,Volume
2021-08-18 09:00:00,85.0,89.25,85.0,89.25,232641.0
2021-08-18 13:00:00,89.25,89.25,89.25,89.25,9673.0
2021-08-20 09:00:00,93.7,93.7,93.7,93.7,51077.0
2021-08-20 13:00:00,93.7,93.7,93.7,93.7,6797.0
2021-08-23 09:00:00,98.35,98.35,98.35,98.35,244488.0
2021-08-23 13:00:00,98.35,98.35,98.35,98.35,18325.0
2021-08-24 09:00:00,103.25,103.25,100.0,103.25,557381.0
2021-08-24 13:00:00,103.25,103.25,103.25,103.25,6594.0
2021-08-25 09:00:00,108.4,108.4,108.4,108.4,39405.0
2021-08-25 13:00:00,108.4,108.4,108.4,108.4,17222.0
2021-08-26 09:00:00,113.8,113.8,105.15,106.2,1046536.0
2021-08-26 13:00:00,106.2,109.0,104.5,106.0,571605.0
2021-08-27 09:00:00,103.65,111.6,101.0,111.6,1559822.0
2021-08-27 13:00:00,111.6,111.6,109.6,111.6,183025.0
2021-08-30 09:00:00,114.9,114.9,107.5,113.6,600001.0
2021-08-30 13:00:00,113.6,114.45,111.0,112.85,272996.0
2021-08-31 09:00:00,113.25,114.0,108.65,112.05,604127.0
2021-08-31 13:00:00,112.05,114.7,111.75,113.6,220504.0
2021-09-01 09:00:00,113.5,119.25,111.0,119.25,1301678.0
2021-09-01 13:00:00,119.25,119.25,119.25,119.25,42513.0
2021-09-02 09:00:00,118.0,141.3,116.0,136.4,5358017.0
2021-09-02 13:00:00,136.4,143.1,135.75,140.5,2840294.0
2021-09-03 09:00:00,145.4,149.7,126.2,132.5,5162987.0
2021-09-03 13:00:00,132.7,134.85,130.05,130.3,799498.0
2021-09-06 09:00:00,132.0,135.55,127.2,131.1,1495257.0
2021-09-06 13:00:00,131.1,132.1,129.0,129.55,415776.0
2021-09-07 09:00:00,130.3,130.9,124.2,125.4,799443.0
2021-09-07 13:00:00,125.55,125.95,121.2,122.15,745679.0
2021-09-08 09:00:00,122.0,122.0,115.8,116.0,1448340.0
2021-09-08 13:00:00,115.85,117.9,114.5,115.8,798915.0
2021-09-09 09:00:00,117.0,121.6,116.3,119.45,1023584.0
2021-09-09 13:00:00,119.5,119.6,117.85,117.85,244006.0
2021-09-13 09:00:00,118.4,118.95,114.0,115.5,719382.0
2021-09-13 13:00:00,115.35,115.85,114.0,114.35,254196.0
2021-09-14 09:00:00,114.55,125.4,114.55,121.5,1564979.0
2021-09-14 13:00:00,121.6,122.5,119.9,120.95,336491.0
2021-09-15 09:00:00,122.05,128.25,120.25,124.8,1497173.0
2021-09-15 13:00:00,124.65,125.95,123.65,124.5,383752.0
2021-09-16 09:00:00,126.4,126.65,119.1,120.5,956211.0
2021-09-16 13:00:00,120.45,121.0,119.4,120.05,392661.0
2021-09-17 09:00:00,121.5,125.1,118.0,118.95,830417.0
2021-09-17 13:00:00,118.85,119.6,118.2,118.8,242898.0
2021-09-20 09:00:00,118.0,122.2,116.0,120.25,678485.0
2021-09-20 13:00:00,120.3,120.5,116.5,116.85,403690.0
2021-09-21 09:00:00,117.0,117.5,113.05,115.55,588635.0
2021-09-21 13:00:00,115.85,116.65,115.0,115.6,255959.0
2021-09-22 09:00:00,116.5,118.7,115.0,117.4,421377.0
2021-09-22 13:00:00,117.55,120.0,117.05,118.8,301874.0
2021-09-23 09:00:00,119.6,129.7,119.05,127.1,2348885.0
2021-09-23 13:00:00,127.35,127.7,124.65,126.1,678594.0
2021-09-24 09:00:00,127.4,128.0,123.05,123.65,1049394.0
2021-09-24 13:00:00,123.5,124.1,121.65,123.1,294605.0
2021-09-27 09:00:00,123.75,124.35,120.2,121.4,396336.0
2021-09-27 13:00:00,121.4,121.8,120.6,121.0,135203.0
2021-09-28 09:00:00,121.9,121.9,116.7,117.0,396799.0
2021-09-28 13:00:00,117.05,119.15,116.95,119.15,206771.0
2021-09-29 09:00:00,118.5,118.95,116.85,117.9,305092.0
2021-09-29 13:00:00,117.9,118.6,117.2,117.8,185537.0
2021-09-30 09:00:00,117.5,122.9,117.5,121.4,422195.0
2021-09-30 13:00:00,121.4,123.8,120.1,123.15,500453.0
2021-10-01 09:00:00,122.3,126.5,121.75,124.35,1036433.0
2021-10-01 13:00:00,124.2,124.5,122.5,122.95,278329.0
2021-10-04 09:00:00,123.05,134.0,122.3,129.45,3020035.0
2021-10-04 13:00:00,129.45,130.25,128.2,129.6,484175.0
2021-10-05 09:00:00,130.5,132.8,129.6,131.25,837363.0
2021-10-05 13:00:00,131.35,131.9,130.0,131.55,305186.0
2021-10-06 09:00:00,132.1,135.7,127.1,127.3,1141325.0
2021-10-06 13:00:00,127.45,128.0,125.0,126.3,480479.0
2021-10-07 09:00:00,128.45,129.85,126.0,126.95,420238.0
2021-10-07 13:00:00,126.9,127.5,125.15,126.3,260101.0
2021-10-08 09:00:00,127.0,128.4,124.2,125.7,367965.0
2021-10-08 13:00:00,125.75,126.7,124.15,125.25,252526.0
2021-10-11 09:00:00,125.85,127.35,122.3,122.85,952698.0
2021-10-11 13:00:00,122.9,123.65,122.1,122.4,297050.0
2021-10-12 09:00:00,122.0,123.75,120.3,120.85,375903.0
2021-10-12 13:00:00,120.85,122.2,120.2,121.1,231137.0
2021-10-13 09:00:00,121.6,124.5,121.6,123.45,430642.0
2021-10-13 13:00:00,123.35,124.0,121.0,122.2,187407.0
2021-10-14 09:00:00,122.4,123.6,121.0,121.2,278071.0
2021-10-14 13:00:00,121.45,121.65,119.9,120.6,214450.0
2021-10-18 09:00:00,121.0,121.95,119.0,119.45,495663.0
2021-10-18 13:00:00,119.45,119.85,118.2,118.3,183866.0
2021-10-19 09:00:00,118.9,122.45,118.1,118.45,493265.0
2021-10-19 13:00:00,118.6,118.65,116.1,116.65,269653.0
2021-10-20 09:00:00,116.65,117.0,112.1,113.6,407719.0
2021-10-20 13:00:00,113.85,114.0,112.8,113.6,197950.0
2021-10-21 09:00:00,115.05,115.6,111.55,112.3,363459.0
2021-10-21 13:00:00,112.4,112.45,110.9,111.65,158957.0
2021-10-22 09:00:00,112.3,113.3,106.85,108.05,423400.0
2021-10-22 13:00:00,108.0,109.0,106.2,106.85,201047.0
2021-10-25 09:00:00,105.35,112.8,100.55,110.0,808891.0
2021-10-25 13:00:00,109.8,110.55,107.0,107.55,117207.0
2021-10-26 09:00:00,109.0,113.7,109.0,110.15,309339.0
2021-10-26 13:00:00,110.2,112.7,109.8,111.35,155737.0
2021-10-27 09:00:00,110.5,110.95,104.55,110.6,1098938.0
2021-10-27 13:00:00,110.65,112.5,108.75,109.8,427115.0
2021-10-28 09:00:00,110.6,110.6,105.65,108.5,364804.0
2021-10-28 13:00:00,108.5,112.7,108.1,111.8,377575.0
2021-10-29 09:00:00,111.15,112.0,108.7,109.65,409297.0
2021-10-29 13:00:00,109.8,110.35,109.0,109.4,166499.0
2021-11-01 09:00:00,109.5,111.0,105.0,107.2,468878.0
2021-11-01 13:00:00,107.25,107.8,105.3,106.05,165231.0
2021-11-02 09:00:00,107.0,107.8,104.1,105.35,296445.0
2021-11-02 13:00:00,105.3,107.9,104.5,104.8,161486.0
2021-11-03 09:00:00,105.55,105.75,104.0,104.15,298395.0
2021-11-03 13:00:00,104.15,104.25,102.0,102.55,185417.0
