,Open,High,Low,Close,Volume
2016-10-03 09:00:00,47.95,49.95,47.95,49.7,7518.0
2016-10-03 13:00:00,49.7,50.0,49.35,49.6,7372.0
2016-10-04 09:00:00,50.2,54.5,49.25,52.75,170890.0
2016-10-04 13:00:00,52.75,53.45,52.25,52.7,33865.0
2016-10-05 09:00:00,52.9,59.3,52.5,59.0,496343.0
2016-10-05 13:00:00,58.9,63.2,58.75,63.2,604594.0
2016-10-06 09:00:00,64.8,64.85,60.0,60.5,376933.0
2016-10-06 13:00:00,60.5,61.3,57.5,59.25,195438.0
2016-10-07 09:00:00,59.0,59.8,57.1,57.55,37699.0
2016-10-07 13:00:00,57.6,61.9,57.6,60.4,144864.0
2016-10-10 09:00:00,61.4,61.7,59.2,60.2,32816.0
2016-10-10 13:00:00,60.2,60.6,59.05,59.9,34427.0
2016-10-13 09:00:00,59.0,59.05,53.7,55.6,77084.0
2016-10-13 13:00:00,55.6,57.3,54.45,57.0,41636.0
2016-10-14 09:00:00,56.5,62.6,56.05,58.8,174052.0
2016-10-14 13:00:00,58.7,59.4,57.6,58.35,41668.0
2016-10-17 09:00:00,59.9,59.9,57.5,58.55,32035.0
2016-10-17 13:00:00,58.55,58.8,57.5,57.85,11300.0
2016-10-18 09:00:00,57.9,59.4,57.15,58.3,37581.0
2016-10-18 13:00:00,58.4,58.6,57.2,57.75,22021.0
2016-10-19 09:00:00,57.0,64.45,56.4,62.5,382819.0
2016-10-19 13:00:00,62.5,62.8,61.2,62.1,88766.0
2016-10-20 09:00:00,61.75,63.85,60.1,61.0,67594.0
2016-10-20 13:00:00,60.9,61.7,60.6,61.05,34269.0
2016-10-21 09:00:00,60.55,61.85,58.95,60.5,69591.0
2016-10-21 13:00:00,59.5,60.55,59.3,59.65,19659.0
2016-10-24 09:00:00,59.1,62.7,58.4,60.8,54665.0
2016-10-24 13:00:00,61.25,61.8,59.8,60.2,18447.0
2016-10-25 09:00:00,59.5,61.0,58.75,59.55,18227.0
2016-10-25 13:00:00,59.5,60.1,59.2,59.45,11584.0
2016-10-26 09:00:00,59.55,59.55,58.0,58.5,27015.0
2016-10-26 13:00:00,58.6,58.7,57.0,57.5,12799.0
2016-10-27 09:00:00,57.5,58.65,57.0,57.55,16465.0
2016-10-27 13:00:00,57.8,58.4,56.7,57.3,12211.0
2016-10-28 09:00:00,57.05,64.0,56.35,61.75,269857.0
2016-10-28 13:00:00,61.45,62.0,60.0,61.5,83698.0
2016-10-30 13:00:00,63.25,63.25,61.0,62.65,37830.0
2016-11-01 09:00:00,62.5,64.0,61.2,62.8,112536.0
2016-11-01 13:00:00,62.8,63.5,62.1,62.3,18753.0
2016-11-02 09:00:00,61.9,61.9,60.05,60.5,35050.0
2016-11-02 13:00:00,61.5,61.5,60.4,61.0,16646.0
2016-11-03 09:00:00,62.8,62.8,60.35,60.5,39005.0
2016-11-03 13:00:00,60.5,60.8,58.0,58.85,42865.0
2016-11-04 09:00:00,59.55,59.9,55.2,56.5,34225.0
2016-11-04 13:00:00,57.0,57.2,55.3,56.15,33551.0
2016-11-07 09:00:00,58.85,58.85,56.4,58.35,40158.0
2016-11-07 13:00:00,58.35,61.45,58.1,60.2,46416.0
2016-11-08 09:00:00,61.3,62.9,58.3,59.6,138114.0
2016-11-08 13:00:00,59.6,60.1,58.55,59.5,53650.0
2016-11-09 09:00:00,50.6,57.0,50.4,57.0,77134.0
2016-11-09 13:00:00,57.1,58.95,57.0,58.4,19182.0
2016-11-10 09:00:00,63.6,63.6,57.7,59.55,33808.0
2016-11-10 13:00:00,59.0,59.55,58.35,58.9,11878.0
2016-11-11 09:00:00,58.65,58.65,56.55,56.6,26616.0
2016-11-11 13:00:00,57.0,57.2,53.0,54.75,36852.0
2016-11-15 09:00:00,53.95,54.9,49.75,52.45,74390.0
2016-11-15 13:00:00,52.65,53.0,50.0,51.65,12494.0
2016-11-16 09:00:00,52.3,54.0,51.0,52.05,14542.0
2016-11-16 13:00:00,52.75,52.75,51.3,51.75,15771.0
2016-11-17 09:00:00,51.95,53.0,51.0,51.3,26462.0
2016-11-17 13:00:00,51.45,51.85,50.75,51.0,16936.0
2016-11-18 09:00:00,50.3,51.2,49.7,50.15,32845.0
2016-11-18 13:00:00,50.15,50.3,49.0,49.15,19389.0
2016-11-21 09:00:00,48.2,48.8,46.15,46.8,44737.0
2016-11-21 13:00:00,46.7,46.9,46.2,46.5,12008.0
2016-11-22 09:00:00,48.55,48.55,46.75,46.95,12420.0
2016-11-22 13:00:00,46.95,48.2,46.75,47.95,8893.0
2016-11-23 09:00:00,50.9,50.9,47.1,49.0,8148.0
2016-11-23 13:00:00,49.1,50.85,48.95,50.7,13913.0
2016-11-24 09:00:00,50.0,51.8,49.1,50.7,13253.0
2016-11-24 13:00:00,50.85,50.9,49.4,49.9,4854.0
2016-11-25 09:00:00,49.55,51.45,49.05,51.45,12754.0
2016-11-25 13:00:00,51.0,52.5,50.65,52.0,6556.0
2016-11-28 09:00:00,52.9,53.0,52.0,52.0,10240.0
2016-11-28 13:00:00,52.35,52.95,51.8,52.25,7960.0
2016-11-29 09:00:00,52.5,55.0,52.5,53.45,20170.0
2016-11-29 13:00:00,53.5,54.25,52.05,53.3,15249.0
2016-11-30 09:00:00,53.4,55.0,53.05,54.6,17754.0
2016-11-30 13:00:00,58.0,58.0,54.4,54.95,28143.0
2016-12-01 09:00:00,55.0,56.0,52.65,53.1,24561.0
2016-12-01 13:00:00,53.15,53.35,52.5,52.75,7539.0
2016-12-02 09:00:00,53.0,53.25,52.55,53.25,5964.0
2016-12-02 13:00:00,53.25,53.25,52.25,52.35,5944.0
2016-12-05 09:00:00,51.8,57.3,51.05,56.1,101438.0
2016-12-05 13:00:00,56.25,56.25,53.65,54.8,45130.0
2016-12-06 09:00:00,55.65,55.85,53.55,54.8,22891.0
2016-12-06 13:00:00,54.8,55.25,54.05,54.6,4567.0
2016-12-07 09:00:00,54.5,54.5,53.85,54.2,5999.0
2016-12-07 13:00:00,54.5,56.85,54.5,55.5,40821.0
2016-12-08 09:00:00,56.7,56.7,54.8,55.2,9307.0
2016-12-08 13:00:00,55.2,55.5,55.0,55.25,9071.0
2016-12-09 09:00:00,55.8,57.75,55.3,55.55,31735.0
2016-12-09 13:00:00,56.0,57.1,55.1,55.35,32765.0
2016-12-12 09:00:00,55.1,55.85,54.5,55.5,8577.0
2016-12-12 13:00:00,55.5,55.9,54.85,55.05,22030.0
2016-12-13 09:00:00,55.3,57.0,54.6,56.25,59785.0
2016-12-13 13:00:00,56.25,56.75,55.6,56.15,15788.0
2016-12-14 09:00:00,56.2,57.5,54.5,54.9,72826.0
2016-12-14 13:00:00,54.9,55.8,54.8,55.15,11199.0
2016-12-15 09:00:00,54.05,55.95,54.05,55.7,11136.0
2016-12-15 13:00:00,55.5,63.5,55.2,59.0,234033.0
2016-12-16 09:00:00,59.15,60.7,57.7,58.75,35039.0
2016-12-16 13:00:00,58.0,58.3,56.4,56.7,16048.0
2016-12-19 09:00:00,57.25,57.75,55.6,56.4,13984.0
2016-12-19 13:00:00,57.0,57.3,55.85,56.05,9416.0
2016-12-20 09:00:00,56.5,56.75,54.0,54.0,52141.0
2016-12-20 13:00:00,54.0,54.7,54.0,54.1,8437.0
2016-12-21 09:00:00,55.45,55.45,53.85,54.2,8183.0
2016-12-21 13:00:00,54.0,54.2,52.65,53.15,8936.0
2016-12-22 09:00:00,53.0,53.55,51.1,51.55,9994.0
2016-12-22 13:00:00,51.2,52.0,51.1,51.85,6807.0
2016-12-23 09:00:00,51.1,54.0,49.5,52.05,25373.0
2016-12-23 13:00:00,52.05,52.8,51.3,51.55,5867.0
2016-12-26 09:00:00,51.6,52.3,51.55,51.8,8437.0
2016-12-26 13:00:00,52.25,52.5,51.5,51.65,10629.0
2016-12-27 09:00:00,51.5,53.0,50.2,52.3,16656.0
2016-12-27 13:00:00,52.7,52.7,51.8,51.95,18813.0
2016-12-28 09:00:00,53.4,54.0,49.6,50.8,79411.0
2016-12-28 13:00:00,50.8,50.8,50.1,50.35,15804.0
2016-12-29 09:00:00,50.2,51.5,50.2,50.55,9317.0
2016-12-29 13:00:00,50.55,51.1,50.1,50.65,4196.0
2016-12-30 09:00:00,52.7,52.7,51.2,51.35,10588.0
2016-12-30 13:00:00,51.75,51.9,51.25,51.5,9340.0
