,Open,High,Low,Close,Volume
2016-10-03 09:00:00,223.95,232.35,223.1,229.6,359712.0
2016-10-03 13:00:00,229.5,239.7,229.0,236.65,537386.0
2016-10-04 09:00:00,239.0,246.0,238.5,241.45,569276.0
2016-10-04 13:00:00,241.45,243.8,239.05,240.25,219000.0
2016-10-05 09:00:00,241.0,241.55,223.0,237.0,307339.0
2016-10-05 13:00:00,237.0,241.0,235.85,237.3,114491.0
2016-10-06 09:00:00,238.0,242.0,237.0,237.8,75487.0
2016-10-06 13:00:00,237.55,238.5,230.2,233.45,82348.0
2016-10-07 09:00:00,233.5,235.05,230.0,231.25,67332.0
2016-10-07 13:00:00,231.0,233.5,230.8,232.15,37557.0
2016-10-10 09:00:00,232.25,234.0,231.7,233.45,39237.0
2016-10-10 13:00:00,233.0,234.0,229.0,230.15,40352.0
2016-10-13 09:00:00,230.95,231.45,223.95,225.95,212593.0
2016-10-13 13:00:00,225.8,226.8,222.8,226.0,95034.0
2016-10-14 09:00:00,227.0,229.75,225.65,228.45,64958.0
2016-10-14 13:00:00,228.2,232.75,227.7,230.9,106776.0
2016-10-17 09:00:00,232.0,232.65,226.45,227.0,68209.0
2016-10-17 13:00:00,227.0,229.3,227.0,228.7,47878.0
2016-10-18 09:00:00,229.55,240.5,228.0,235.7,287454.0
2016-10-18 13:00:00,235.5,237.7,234.55,236.6,51178.0
2016-10-19 09:00:00,237.95,239.0,233.5,234.95,414242.0
2016-10-19 13:00:00,235.0,236.2,232.75,234.45,67759.0
2016-10-20 09:00:00,235.0,239.4,235.0,235.5,63155.0
2016-10-20 13:00:00,235.5,235.95,234.05,234.6,37829.0
2016-10-21 09:00:00,237.0,237.0,234.2,234.7,79667.0
2016-10-21 13:00:00,235.0,235.45,233.2,234.3,65276.0
2016-10-24 09:00:00,236.6,239.0,235.35,237.05,271155.0
2016-10-24 13:00:00,237.05,237.45,234.4,235.95,163639.0
2016-10-25 09:00:00,240.0,241.95,231.35,233.45,349350.0
2016-10-25 13:00:00,233.45,234.15,231.1,232.0,98341.0
2016-10-26 09:00:00,233.0,233.0,227.1,227.8,96082.0
2016-10-26 13:00:00,227.9,228.45,225.3,225.9,58841.0
2016-10-27 09:00:00,225.0,227.0,220.0,222.55,361480.0
2016-10-27 13:00:00,222.55,223.1,220.5,221.2,63366.0
2016-10-28 09:00:00,222.4,224.3,220.0,220.4,448114.0
2016-10-28 13:00:00,220.55,221.9,218.35,219.7,119448.0
2016-10-30 13:00:00,221.95,225.3,218.65,224.6,70363.0
2016-11-01 09:00:00,224.9,224.9,221.2,221.2,67902.0
2016-11-01 13:00:00,221.5,222.0,219.25,220.65,68317.0
2016-11-02 09:00:00,220.0,220.0,216.0,217.0,133738.0
2016-11-02 13:00:00,217.2,217.75,216.05,216.5,69992.0
2016-11-03 09:00:00,215.2,218.6,215.2,215.95,55705.0
2016-11-03 13:00:00,215.9,216.05,212.6,213.5,65988.0
2016-11-04 09:00:00,213.95,218.0,205.1,209.8,160382.0
2016-11-04 13:00:00,209.9,210.85,206.1,208.9,155551.0
2016-11-07 09:00:00,210.95,211.95,206.5,207.0,113143.0
2016-11-07 13:00:00,207.3,207.3,200.4,202.3,130758.0
2016-11-08 09:00:00,206.0,207.95,202.6,206.4,144826.0
2016-11-08 13:00:00,206.4,210.85,206.2,209.5,76945.0
2016-11-09 09:00:00,197.15,206.35,187.4,199.05,393816.0
2016-11-09 13:00:00,198.8,200.65,198.05,199.0,296390.0
2016-11-10 09:00:00,206.0,206.95,199.5,199.75,210686.0
2016-11-10 13:00:00,200.0,200.2,199.0,199.75,77751.0
2016-11-11 09:00:00,198.0,202.8,196.3,198.75,107861.0
2016-11-11 13:00:00,198.7,199.6,195.05,196.8,100187.0
2016-11-15 09:00:00,196.8,197.4,186.7,191.0,86157.0
2016-11-15 13:00:00,190.65,193.0,188.0,191.2,123913.0
2016-11-16 09:00:00,195.95,196.0,184.6,189.95,300414.0
2016-11-16 13:00:00,189.55,190.8,188.5,189.45,45606.0
2016-11-17 09:00:00,191.0,192.0,188.0,190.85,63043.0
2016-11-17 13:00:00,191.35,192.7,190.0,190.35,43272.0
2016-11-18 09:00:00,190.95,191.3,185.6,188.0,58091.0
2016-11-18 13:00:00,188.0,188.05,186.75,187.15,32264.0
2016-11-21 09:00:00,187.25,190.9,181.55,183.4,73297.0
2016-11-21 13:00:00,183.7,185.95,182.1,183.2,66208.0
2016-11-22 09:00:00,185.0,185.8,180.4,183.3,36167.0
2016-11-22 13:00:00,183.4,187.8,182.25,185.7,51031.0
2016-11-23 09:00:00,189.95,189.95,184.95,188.7,67354.0
2016-11-23 13:00:00,188.45,189.8,188.0,188.25,57766.0
2016-11-24 09:00:00,188.05,196.6,188.05,194.85,162851.0
2016-11-24 13:00:00,194.85,196.0,194.0,195.05,60791.0
2016-11-25 09:00:00,198.8,203.6,194.95,200.9,121783.0
2016-11-25 13:00:00,200.6,203.55,200.6,201.8,41573.0
2016-11-28 09:00:00,202.8,206.0,200.95,204.35,90723.0
2016-11-28 13:00:00,204.35,204.75,202.75,203.45,47111.0
2016-11-29 09:00:00,204.3,208.0,202.95,206.2,57809.0
2016-11-29 13:00:00,206.3,208.0,206.0,207.0,37763.0
2016-11-30 09:00:00,207.0,208.8,205.2,206.25,29075.0
2016-11-30 13:00:00,206.15,206.45,202.2,204.05,69940.0
2016-12-01 09:00:00,204.2,206.75,200.3,206.2,57491.0
2016-12-01 13:00:00,206.25,206.95,200.9,201.95,25767.0
2016-12-02 09:00:00,201.95,202.65,196.75,199.1,56834.0
2016-12-02 13:00:00,199.1,201.0,197.1,198.55,37561.0
2016-12-05 09:00:00,197.0,199.85,196.9,198.65,19619.0
2016-12-05 13:00:00,198.7,200.2,198.55,199.65,16409.0
2016-12-06 09:00:00,201.15,205.55,200.0,201.8,41265.0
2016-12-06 13:00:00,201.8,203.5,201.0,201.9,27504.0
2016-12-07 09:00:00,201.9,203.5,198.5,203.0,54052.0
2016-12-07 13:00:00,202.6,204.25,200.4,202.2,38149.0
2016-12-08 09:00:00,201.5,209.15,201.5,206.4,131802.0
2016-12-08 13:00:00,206.4,207.0,203.75,204.45,70794.0
2016-12-09 09:00:00,205.0,205.45,204.0,204.75,46709.0
2016-12-09 13:00:00,204.5,205.0,204.1,204.75,29023.0
2016-12-12 09:00:00,204.8,204.8,198.2,201.5,25398.0
2016-12-12 13:00:00,201.5,201.6,198.1,199.25,17553.0
2016-12-13 09:00:00,200.0,203.7,200.0,201.3,36093.0
2016-12-13 13:00:00,201.3,203.5,200.5,201.1,306472.0
2016-12-14 09:00:00,203.0,203.35,199.5,199.6,16437.0
2016-12-14 13:00:00,199.5,200.0,197.2,198.3,17619.0
2016-12-15 09:00:00,198.0,200.2,197.0,198.3,38921.0
2016-12-15 13:00:00,198.15,199.8,196.1,196.85,25399.0
2016-12-16 09:00:00,198.0,200.9,196.25,200.1,53514.0
2016-12-16 13:00:00,200.1,201.0,198.0,199.9,75538.0
2016-12-19 09:00:00,200.85,200.85,197.6,199.7,50411.0
2016-12-19 13:00:00,199.3,200.1,198.0,199.25,46264.0
2016-12-20 09:00:00,199.0,200.0,195.0,195.8,38838.0
2016-12-20 13:00:00,195.7,197.25,195.05,196.7,34963.0
2016-12-21 09:00:00,195.5,198.7,194.2,194.95,100516.0
2016-12-21 13:00:00,194.95,195.4,191.0,192.95,21495.0
2016-12-22 09:00:00,192.5,195.0,190.5,192.85,34774.0
2016-12-22 13:00:00,192.8,194.9,192.5,194.35,13059.0
2016-12-23 09:00:00,195.1,195.1,191.45,192.8,32309.0
2016-12-23 13:00:00,192.85,195.3,192.5,192.95,23563.0
2016-12-26 09:00:00,192.55,194.75,188.6,192.0,45157.0
2016-12-26 13:00:00,192.5,194.4,189.6,191.1,23565.0
2016-12-27 09:00:00,191.7,193.9,188.75,191.0,28897.0
2016-12-27 13:00:00,191.0,193.0,190.6,191.3,925163.0
2016-12-28 09:00:00,195.8,195.8,192.35,193.5,792329.0
2016-12-28 13:00:00,193.45,193.5,188.0,189.2,98583.0
2016-12-29 09:00:00,188.4,191.0,188.4,190.0,68799.0
2016-12-29 13:00:00,190.0,190.75,189.35,190.2,34884.0
2016-12-30 09:00:00,192.5,193.9,190.25,192.2,74162.0
2016-12-30 13:00:00,192.35,193.0,191.0,191.6,22501.0
2017-01-02 09:00:00,194.6,199.0,191.2,198.95,55704.0
2017-01-02 13:00:00,198.95,210.5,198.95,202.8,530268.0
2017-01-03 09:00:00,202.0,203.85,200.75,202.9,153242.0
2017-01-03 13:00:00,202.65,207.4,201.05,204.9,146609.0
2017-01-04 09:00:00,205.8,206.6,202.75,203.8,106560.0
2017-01-04 13:00:00,203.8,203.95,200.0,202.0,93884.0
2017-01-05 09:00:00,202.2,205.05,202.2,203.85,60890.0
2017-01-05 13:00:00,203.85,205.9,203.2,203.85,168026.0
2017-01-06 09:00:00,202.55,205.8,202.55,204.05,90214.0
2017-01-06 13:00:00,204.2,204.95,203.2,204.1,40259.0
2017-01-09 09:00:00,205.0,212.0,204.25,209.9,249298.0
2017-01-09 13:00:00,209.65,210.0,205.5,207.1,103813.0
2017-01-10 09:00:00,208.6,211.0,206.45,209.0,170638.0
2017-01-10 13:00:00,209.0,209.5,208.05,208.75,88022.0
2017-01-11 09:00:00,209.0,210.15,207.2,208.75,81549.0
2017-01-11 13:00:00,209.0,209.0,206.35,207.65,73358.0
2017-01-12 09:00:00,206.8,210.0,206.8,208.55,67513.0
2017-01-12 13:00:00,208.7,209.0,207.5,208.2,42702.0
2017-01-13 09:00:00,209.65,214.2,208.0,213.0,184052.0
2017-01-13 13:00:00,213.0,213.3,210.55,211.9,98953.0
2017-01-16 09:00:00,213.9,214.5,211.95,213.55,123237.0
2017-01-16 13:00:00,213.8,213.8,212.25,212.65,60065.0
2017-01-17 09:00:00,214.7,216.4,213.5,215.0,184747.0
2017-01-17 13:00:00,215.0,215.0,213.75,213.95,89530.0
2017-01-18 09:00:00,215.2,215.2,213.0,213.9,55586.0
2017-01-18 13:00:00,213.9,214.0,211.1,212.15,51251.0
2017-01-19 09:00:00,212.95,214.9,212.15,212.95,44004.0
2017-01-19 13:00:00,212.95,214.0,211.8,212.8,57099.0
2017-01-20 09:00:00,213.55,213.55,209.35,210.15,85435.0
2017-01-20 13:00:00,210.0,210.35,206.6,209.05,74638.0
2017-01-23 09:00:00,213.05,216.75,211.1,213.75,726196.0
2017-01-23 13:00:00,214.25,215.0,212.8,214.15,138817.0
2017-01-24 09:00:00,214.5,216.4,211.9,216.0,252204.0
2017-01-24 13:00:00,216.0,223.2,215.55,222.35,420890.0
2017-01-25 09:00:00,224.0,229.8,222.65,228.2,481566.0
2017-01-25 13:00:00,228.2,229.0,227.2,228.1,183013.0
2017-01-27 09:00:00,228.45,238.6,224.1,234.9,593972.0
2017-01-27 13:00:00,234.45,234.85,231.85,233.4,143418.0
2017-01-30 09:00:00,232.65,242.25,228.05,238.5,362138.0
2017-01-30 13:00:00,238.3,239.7,236.25,237.9,137691.0
2017-01-31 09:00:00,237.0,237.0,232.6,234.2,121210.0
2017-01-31 13:00:00,234.2,235.0,230.4,234.0,175018.0
2017-02-01 09:00:00,233.9,243.75,231.25,241.05,454620.0
2017-02-01 13:00:00,240.6,242.45,238.05,240.2,139051.0
2017-02-02 09:00:00,239.95,246.0,239.95,240.95,241480.0
2017-02-02 13:00:00,240.95,247.75,240.3,243.8,246360.0
2017-02-03 09:00:00,244.7,250.8,243.8,248.3,326599.0
2017-02-03 13:00:00,248.15,252.4,248.1,250.1,367871.0
2017-02-06 09:00:00,250.5,251.75,245.55,247.0,138435.0
2017-02-06 13:00:00,247.0,247.5,244.1,244.75,67945.0
2017-02-07 09:00:00,244.75,245.95,242.1,242.25,73464.0
2017-02-07 13:00:00,242.25,242.6,240.0,240.75,70894.0
