,Open,High,Low,Close,Volume
2016-10-03 09:00:00,70.0,72.25,70.0,71.5,19902.0
2016-10-03 13:00:00,71.25,71.95,71.25,71.8,11057.0
2016-10-04 09:00:00,72.5,72.5,71.1,72.0,8358.0
2016-10-04 13:00:00,72.5,75.9,72.0,74.95,37567.0
2016-10-05 09:00:00,74.0,75.95,73.6,73.8,19541.0
2016-10-05 13:00:00,74.35,75.3,73.95,74.85,7860.0
2016-10-06 09:00:00,73.4,75.0,73.4,74.5,10614.0
2016-10-06 13:00:00,74.15,74.15,73.3,73.75,9210.0
2016-10-07 09:00:00,73.05,74.9,72.1,73.85,10390.0
2016-10-07 13:00:00,73.85,74.4,72.8,73.4,12602.0
2016-10-10 09:00:00,73.4,75.8,72.3,74.0,9032.0
2016-10-10 13:00:00,73.75,75.1,73.45,74.55,12193.0
2016-10-13 09:00:00,72.4,74.05,72.4,72.8,34153.0
2016-10-13 13:00:00,73.0,73.4,70.0,73.2,14685.0
2016-10-14 09:00:00,73.05,75.0,72.2,72.5,16738.0
2016-10-14 13:00:00,72.15,73.25,70.85,71.15,32415.0
2016-10-17 09:00:00,72.1,73.5,70.25,70.9,40413.0
2016-10-17 13:00:00,70.4,70.85,69.05,69.25,14585.0
2016-10-18 09:00:00,70.9,70.9,69.05,69.4,13617.0
2016-10-18 13:00:00,69.8,71.85,69.8,71.2,24668.0
2016-10-19 09:00:00,71.5,73.1,70.2,72.35,27002.0
2016-10-19 13:00:00,72.85,74.9,72.7,74.45,27675.0
2016-10-20 09:00:00,74.45,75.9,74.45,75.3,15487.0
2016-10-20 13:00:00,75.2,75.5,74.7,75.0,6356.0
2016-10-21 09:00:00,76.2,76.45,73.15,74.25,9487.0
2016-10-21 13:00:00,74.0,74.2,73.0,74.0,9537.0
2016-10-24 09:00:00,74.4,75.8,73.8,75.4,16620.0
2016-10-24 13:00:00,75.3,84.0,75.3,82.75,165022.0
2016-10-25 09:00:00,83.5,83.95,79.6,80.15,56851.0
2016-10-25 13:00:00,80.3,80.9,79.9,80.3,17571.0
2016-10-26 09:00:00,80.5,85.3,80.5,82.05,96987.0
2016-10-26 13:00:00,82.8,82.95,77.4,78.6,91403.0
2016-10-27 09:00:00,78.5,80.3,78.25,79.35,47304.0
2016-10-27 13:00:00,78.55,80.0,77.9,78.8,15918.0
2016-10-28 09:00:00,79.75,81.9,78.35,80.5,38149.0
2016-10-28 13:00:00,80.5,81.45,80.0,80.9,36300.0
2016-10-30 13:00:00,81.0,82.0,79.7,81.0,9722.0
2016-11-01 09:00:00,80.5,81.8,78.5,78.85,33145.0
2016-11-01 13:00:00,79.0,81.0,78.0,79.55,21672.0
2016-11-02 09:00:00,78.95,79.0,75.1,76.4,31250.0
2016-11-02 13:00:00,76.35,76.4,75.2,75.9,17119.0
2016-11-03 09:00:00,77.95,77.95,75.6,76.0,26927.0
2016-11-03 13:00:00,75.65,76.0,73.5,74.0,30235.0
2016-11-04 09:00:00,74.8,74.8,70.1,72.05,20851.0
2016-11-04 13:00:00,72.05,72.35,71.0,71.65,12665.0
2016-11-07 09:00:00,72.95,77.2,72.65,74.1,43101.0
2016-11-07 13:00:00,74.75,74.8,74.0,74.4,3408.0
2016-11-08 09:00:00,75.0,76.05,73.25,73.85,9123.0
2016-11-08 13:00:00,73.65,73.8,72.65,73.0,5591.0
2016-11-09 09:00:00,68.95,69.0,61.0,67.7,32140.0
2016-11-09 13:00:00,69.0,69.5,67.0,68.9,12170.0
2016-11-10 09:00:00,70.0,71.8,70.0,71.5,12204.0
2016-11-10 13:00:00,71.5,73.1,71.25,71.75,10211.0
2016-11-11 09:00:00,71.0,71.25,66.95,67.5,44883.0
2016-11-11 13:00:00,67.5,68.25,65.8,67.15,31231.0
2016-11-15 09:00:00,66.0,67.5,58.8,59.95,32771.0
2016-11-15 13:00:00,59.9,60.5,57.5,58.75,15124.0
2016-11-16 09:00:00,60.0,61.55,58.0,58.0,21243.0
2016-11-16 13:00:00,58.15,59.4,56.35,57.4,39799.0
2016-11-17 09:00:00,57.8,60.65,56.5,57.25,25369.0
2016-11-17 13:00:00,57.35,58.0,56.3,56.8,10177.0
2016-11-18 09:00:00,56.0,59.65,55.15,59.45,15140.0
2016-11-18 13:00:00,59.3,59.3,58.4,58.9,3921.0
2016-11-21 09:00:00,59.0,60.0,57.55,58.2,13812.0
2016-11-21 13:00:00,58.95,58.95,52.6,53.8,33100.0
2016-11-22 09:00:00,55.2,55.85,53.75,54.0,10343.0
2016-11-22 13:00:00,55.1,62.1,54.25,60.6,15795.0
2016-11-23 09:00:00,62.8,62.9,60.05,61.25,14883.0
2016-11-23 13:00:00,61.2,63.55,61.0,62.5,15184.0
2016-11-24 09:00:00,62.0,63.9,61.15,62.65,11207.0
2016-11-24 13:00:00,62.25,62.9,61.5,62.25,3993.0
2016-11-25 09:00:00,63.95,64.0,62.0,63.65,9285.0
2016-11-25 13:00:00,63.65,63.7,62.5,63.0,3807.0
2016-11-28 09:00:00,65.0,71.0,63.0,68.45,147889.0
2016-11-28 13:00:00,68.45,71.0,67.6,69.8,56821.0
2016-11-29 09:00:00,70.5,70.9,68.15,68.55,22825.0
2016-11-29 13:00:00,68.95,69.15,68.0,68.25,8762.0
2016-11-30 09:00:00,68.15,68.95,68.0,68.15,8680.0
2016-11-30 13:00:00,68.15,68.5,67.5,67.95,4244.0
2016-12-01 09:00:00,69.5,70.0,68.5,69.6,32513.0
2016-12-01 13:00:00,69.25,69.75,67.95,68.55,15726.0
2016-12-02 09:00:00,67.2,68.75,66.25,67.8,14503.0
2016-12-02 13:00:00,67.15,67.75,65.05,66.3,11191.0
2016-12-05 09:00:00,65.25,67.7,65.25,66.05,3089.0
2016-12-05 13:00:00,66.3,66.85,65.5,65.75,8787.0
2016-12-06 09:00:00,66.5,67.05,65.75,67.0,1549.0
2016-12-06 13:00:00,66.55,67.2,66.0,66.35,5759.0
2016-12-07 09:00:00,68.5,68.5,66.05,67.65,4418.0
2016-12-07 13:00:00,68.15,68.15,66.5,66.75,12905.0
2016-12-08 09:00:00,69.45,69.45,66.55,67.25,6079.0
