,Open,High,Low,Close,Volume
2016-01-01 09:00:00,203.85,212.4,203.85,208.5,14927.0
2016-01-01 13:00:00,208.5,208.9,206.0,206.95,6474.0
2016-01-04 09:00:00,206.75,207.95,195.15,197.7,10305.0
2016-01-04 13:00:00,196.5,202.5,196.5,200.55,5760.0
2016-01-05 09:00:00,201.95,215.0,201.25,209.8,24485.0
2016-01-05 13:00:00,210.1,210.5,206.7,208.0,7925.0
2016-01-06 09:00:00,209.85,210.5,205.0,206.9,7625.0
2016-01-06 13:00:00,206.6,207.0,199.8,201.6,2560.0
2016-01-07 09:00:00,187.5,198.75,187.5,195.0,5133.0
2016-01-07 13:00:00,194.5,196.5,193.5,195.85,2058.0
2016-01-08 09:00:00,199.85,204.25,197.5,200.0,3416.0
2016-01-08 13:00:00,199.5,205.0,199.5,203.05,5831.0
2016-01-11 09:00:00,197.5,202.65,194.5,199.15,2544.0
2016-01-11 13:00:00,199.15,200.9,197.7,198.25,2625.0
2016-01-12 09:00:00,200.3,202.5,196.25,197.0,3086.0
2016-01-12 13:00:00,197.3,198.0,192.55,196.4,5584.0
2016-01-13 09:00:00,200.35,200.9,176.8,178.75,11788.0
2016-01-13 13:00:00,178.45,186.45,178.0,183.9,6903.0
2016-01-14 09:00:00,170.9,193.9,170.85,191.5,14008.0
2016-01-14 13:00:00,191.5,192.55,187.0,189.15,5323.0
2016-01-15 09:00:00,192.25,192.25,186.25,187.0,2061.0
2016-01-15 13:00:00,187.45,187.45,181.05,182.6,6008.0
2016-01-18 09:00:00,182.5,184.8,166.5,170.0,6367.0
2016-01-18 13:00:00,170.05,171.95,164.35,165.05,2942.0
2016-01-19 09:00:00,167.0,180.15,163.1,176.7,10640.0
2016-01-19 13:00:00,176.7,177.2,172.55,175.7,2262.0
2016-01-20 09:00:00,170.0,171.8,165.1,168.75,3246.0
2016-01-20 13:00:00,170.9,170.9,165.0,168.0,2909.0
2016-01-21 09:00:00,172.1,177.5,167.2,169.0,4570.0
2016-01-21 13:00:00,167.1,172.9,166.7,169.0,3336.0
