,Open,High,Low,Close,Volume
2023-09-22 09:00:00,134.5,137.35,127.55,137.25,21936723.0
2023-09-22 13:00:00,137.3,146.5,136.1,145.8,17591055.0
2023-09-25 09:00:00,143.2,148.9,141.5,148.65,5999346.0
2023-09-25 13:00:00,148.85,153.35,148.35,150.0,3202912.0
2023-09-26 09:00:00,149.9,152.5,147.7,150.0,1616859.0
2023-09-26 13:00:00,150.0,154.15,148.4,149.0,1522462.0
2023-09-27 09:00:00,149.1,150.4,142.35,148.95,1740186.0
2023-09-27 13:00:00,149.0,149.0,146.2,146.7,638265.0
2023-09-28 09:00:00,147.0,149.75,145.75,147.85,659175.0
2023-09-28 13:00:00,147.9,148.4,147.35,147.8,398693.0
2023-09-29 09:00:00,149.4,155.85,148.6,150.85,1126604.0
2023-09-29 13:00:00,151.0,151.05,149.1,149.65,498147.0
2023-10-03 09:00:00,150.0,152.9,148.0,151.2,1564740.0
2023-10-03 13:00:00,151.15,152.6,150.4,151.5,633888.0
2023-10-04 09:00:00,150.85,152.7,147.85,148.55,1435907.0
2023-10-04 13:00:00,148.55,148.85,147.95,148.5,1238422.0
2023-10-05 09:00:00,149.4,170.6,149.0,162.8,4250603.0
2023-10-05 13:00:00,162.6,165.6,157.25,162.95,1662397.0
2023-10-06 09:00:00,163.8,167.9,161.35,163.9,1439284.0
2023-10-06 13:00:00,163.95,165.5,162.55,164.45,541068.0
2023-10-09 09:00:00,160.25,165.65,158.0,158.95,792068.0
2023-10-09 13:00:00,158.8,158.85,153.55,154.5,356716.0
2023-10-10 09:00:00,157.55,162.0,157.0,159.3,459646.0
2023-10-10 13:00:00,159.3,164.0,159.15,163.2,429297.0
2023-10-11 09:00:00,164.8,167.8,158.2,161.8,1030506.0
2023-10-11 13:00:00,162.0,162.35,157.25,158.8,329018.0
2023-10-12 09:00:00,154.25,163.8,154.25,161.2,921099.0
2023-10-12 13:00:00,161.15,161.2,158.2,158.9,318855.0
2023-10-13 09:00:00,158.0,159.85,155.5,155.8,949571.0
2023-10-13 13:00:00,155.9,157.0,153.55,156.75,693654.0
2023-10-16 09:00:00,157.0,159.65,155.65,156.0,460428.0
2023-10-16 13:00:00,156.0,156.65,153.1,154.9,359472.0
2023-10-17 09:00:00,155.0,157.95,148.0,151.1,958211.0
2023-10-17 13:00:00,151.15,151.55,149.0,150.05,551859.0
2023-10-18 09:00:00,150.55,154.55,146.0,149.6,701376.0
2023-10-18 13:00:00,149.6,149.85,146.15,148.0,129720.0
2023-10-19 09:00:00,147.9,154.5,147.9,149.8,763731.0
2023-10-19 13:00:00,149.65,149.8,148.3,149.0,310570.0
2023-10-20 09:00:00,148.1,148.8,143.75,143.85,1338748.0
2023-10-20 13:00:00,143.85,147.4,143.5,144.9,839258.0
2023-10-23 09:00:00,146.8,151.8,143.05,143.1,1008830.0
2023-10-23 13:00:00,143.25,144.4,138.5,139.0,596682.0
2023-10-25 09:00:00,142.0,146.1,137.05,140.25,1259163.0
2023-10-25 13:00:00,139.95,141.25,139.0,141.0,250878.0
2023-10-26 09:00:00,141.75,148.65,137.8,148.05,659206.0
2023-10-26 13:00:00,148.05,151.05,145.2,149.65,482333.0
2023-10-27 09:00:00,150.0,153.7,148.0,149.15,229397.0
2023-10-27 13:00:00,149.1,152.8,149.1,151.25,130798.0
2023-10-30 09:00:00,151.75,152.35,149.0,149.4,178154.0
2023-10-30 13:00:00,149.55,150.6,149.0,149.5,227059.0
2023-10-31 09:00:00,150.0,152.0,149.45,149.95,188805.0
2023-10-31 13:00:00,150.1,150.35,147.15,148.5,117805.0
2023-11-01 09:00:00,149.05,149.95,147.95,148.6,193854.0
2023-11-01 13:00:00,148.6,150.85,148.1,149.05,346337.0
2023-11-02 09:00:00,150.1,151.7,148.75,149.2,188149.0
2023-11-02 13:00:00,149.2,149.7,148.75,149.15,69998.0
2023-11-03 09:00:00,150.0,154.9,150.0,150.85,294973.0
2023-11-03 13:00:00,150.8,151.45,149.15,150.0,140699.0
2023-11-06 09:00:00,151.95,155.85,150.3,154.15,309270.0
2023-11-06 13:00:00,154.15,154.9,153.05,153.8,134290.0
2023-11-07 09:00:00,152.9,156.1,152.25,155.0,193654.0
2023-11-07 13:00:00,155.35,157.3,153.0,154.0,160598.0
2023-11-08 09:00:00,153.85,155.9,152.1,152.55,180205.0
2023-11-08 13:00:00,152.5,153.9,151.7,152.5,82226.0
2023-11-09 09:00:00,154.5,154.5,149.8,150.1,170341.0
2023-11-09 13:00:00,150.25,153.15,150.1,152.0,676021.0
2023-11-10 09:00:00,152.25,153.2,150.75,151.4,119103.0
2023-11-10 13:00:00,151.8,153.0,150.5,153.0,179954.0
2023-11-12 17:00:00,157.4,159.9,156.65,158.7,574839.0
2023-11-13 09:00:00,159.45,159.5,156.3,157.2,221567.0
2023-11-13 13:00:00,157.15,160.9,156.8,159.35,327999.0
2023-11-15 09:00:00,156.55,159.75,155.2,156.8,176812.0
2023-11-15 13:00:00,156.8,159.1,156.7,157.45,630260.0
2023-11-16 09:00:00,159.75,162.7,158.25,160.1,723423.0
2023-11-16 13:00:00,160.3,164.0,159.85,162.0,344441.0
2023-11-17 09:00:00,163.9,166.7,160.3,160.8,545864.0
2023-11-17 13:00:00,160.95,161.0,158.05,159.25,246347.0
2023-11-20 09:00:00,159.7,160.2,154.55,155.1,252189.0
2023-11-20 13:00:00,155.1,155.45,153.0,154.8,107108.0
2023-11-21 09:00:00,155.0,158.0,153.05,155.75,372663.0
2023-11-21 13:00:00,156.0,158.5,155.0,156.5,379930.0
2023-11-22 09:00:00,156.5,165.7,155.6,162.1,950960.0
2023-11-22 13:00:00,162.05,164.0,161.4,163.0,257158.0
2023-11-23 09:00:00,163.1,164.35,159.95,162.2,265615.0
2023-11-23 13:00:00,162.4,164.2,162.1,163.4,163609.0
2023-11-24 09:00:00,163.7,178.45,162.0,173.85,3254579.0
2023-11-24 13:00:00,173.8,174.85,169.55,170.0,719851.0
2023-11-28 09:00:00,172.85,172.85,164.3,166.55,788991.0
2023-11-28 13:00:00,166.55,167.6,165.5,166.7,315040.0
2023-11-29 09:00:00,168.2,169.45,165.5,166.8,341323.0
2023-11-29 13:00:00,166.3,167.8,165.3,167.3,194440.0
2023-11-30 09:00:00,169.1,173.45,167.75,171.15,1086373.0
2023-11-30 13:00:00,171.2,177.3,171.15,175.15,1006143.0
2023-12-01 09:00:00,178.25,182.25,177.5,179.85,1010716.0
2023-12-01 13:00:00,179.85,180.2,177.45,178.2,365268.0
2023-12-04 09:00:00,182.9,183.75,176.1,180.8,550160.0
2023-12-04 13:00:00,180.8,182.0,179.9,180.7,187209.0
2023-12-05 09:00:00,182.0,186.25,179.4,179.8,600466.0
2023-12-05 13:00:00,179.7,180.25,175.2,176.15,280836.0
2023-12-06 09:00:00,182.0,182.0,174.0,175.0,596085.0
2023-12-06 13:00:00,175.0,179.35,174.55,179.0,257084.0
2023-12-07 09:00:00,180.5,181.05,177.1,179.7,363966.0
2023-12-07 13:00:00,179.65,180.95,179.0,180.0,198206.0
2023-12-08 09:00:00,181.5,184.45,176.75,177.55,326008.0
2023-12-08 13:00:00,177.75,178.2,175.3,176.2,155138.0
2023-12-11 09:00:00,177.95,182.05,176.55,179.05,537293.0
2023-12-11 13:00:00,179.0,180.0,178.4,179.05,283138.0
2023-12-12 09:00:00,180.75,180.75,175.0,175.35,241205.0
2023-12-12 13:00:00,175.3,175.8,171.5,173.95,255392.0
2023-12-13 09:00:00,173.95,176.5,172.15,176.2,237993.0
2023-12-13 13:00:00,176.1,177.45,175.35,177.45,185819.0
2023-12-14 09:00:00,178.7,178.7,176.0,177.0,229796.0
2023-12-14 13:00:00,177.0,177.35,175.95,176.0,186724.0
2023-12-15 09:00:00,176.0,179.25,174.2,176.2,341684.0
2023-12-15 13:00:00,176.0,176.15,172.6,174.1,159276.0
2023-12-18 09:00:00,175.0,175.2,170.2,171.0,289801.0
2023-12-18 13:00:00,171.15,171.5,169.8,170.15,180783.0
2023-12-19 09:00:00,170.95,170.95,161.5,164.35,1218334.0
2023-12-19 13:00:00,164.35,171.0,164.0,171.0,970243.0
2023-12-20 09:00:00,170.9,175.75,168.0,168.0,472644.0
2023-12-20 13:00:00,168.2,168.25,160.1,161.0,415633.0
2023-12-21 09:00:00,160.1,165.5,155.0,165.25,296087.0
2023-12-21 13:00:00,165.35,166.3,163.35,165.0,145255.0
2023-12-22 09:00:00,166.25,174.65,165.4,173.6,817748.0
2023-12-22 13:00:00,173.7,175.0,171.0,173.2,600492.0
2023-12-26 09:00:00,171.0,174.15,169.1,169.8,264417.0
2023-12-26 13:00:00,169.8,172.6,169.55,170.95,120977.0
2023-12-27 09:00:00,172.7,178.9,170.9,174.55,1149923.0
2023-12-27 13:00:00,174.95,175.3,174.05,174.25,189461.0
2023-12-28 09:00:00,175.9,175.9,171.5,172.25,248908.0
2023-12-28 13:00:00,172.1,172.25,171.5,171.55,89444.0
2023-12-29 09:00:00,172.0,173.5,169.3,169.6,380427.0
2023-12-29 13:00:00,169.85,169.95,163.5,165.55,433082.0
2024-01-01 09:00:00,167.95,172.9,167.95,172.4,316204.0
