,Open,High,Low,Close,Volume
2017-01-02 09:00:00,43.49375,43.55,42.8125,43.125,18748
2017-01-02 13:00:00,43.0625,43.25,42.86625,43.1125,15694
2017-01-03 09:00:00,42.9375,44.625,42.9375,44.29375,59888
2017-01-03 13:00:00,44.2625,44.4375,43.75,44.1225,26276
2017-01-04 09:00:00,44.6875,44.9375,44.05375,44.38125,28984
2017-01-04 13:00:00,44.4375,44.4375,43.75,43.925,15496
2017-01-05 09:00:00,44.36,44.71875,44.0625,44.06625,19410
2017-01-05 13:00:00,44.09375,44.375,43.8875,44.1375,13448
2017-01-06 09:00:00,44.3625,44.75,43.1875,43.76,44062
2017-01-06 13:00:00,43.75625,44.1125,43.4375,43.63125,19872
2017-01-09 09:00:00,43.63125,44.375,43.275,43.96875,18290
2017-01-09 13:00:00,43.96875,44.0,43.375,43.66625,9080
2017-01-10 09:00:00,44.05,44.3625,43.75375,44.06,11820
2017-01-10 13:00:00,44.06,44.0975,43.65625,43.94125,14088
2017-01-11 09:00:00,44.15625,44.15625,43.625,44.0,9780
2017-01-11 13:00:00,43.87875,44.15625,43.875,44.06,8210
2017-01-12 09:00:00,44.1725,44.1725,43.535,43.8125,19084
2017-01-12 13:00:00,43.8125,43.8125,43.57875,43.66875,7476
2017-01-13 09:00:00,44.06,44.06,43.53125,43.6875,9556
2017-01-13 13:00:00,43.7475,43.75375,43.51,43.56625,12668
2017-01-16 09:00:00,44.0475,44.0475,43.4375,43.6875,7860
2017-01-16 13:00:00,43.6875,44.0625,43.5975,43.8225,10878
2017-01-17 09:00:00,43.75,45.30375,43.51875,44.78125,46986
2017-01-17 13:00:00,44.8125,44.96,44.3975,44.5975,20296
2017-01-18 09:00:00,44.9875,44.99375,43.575,43.79375,32624
2017-01-18 13:00:00,43.935,44.0,43.625,43.81625,10328
2017-01-19 09:00:00,43.96875,46.37875,43.75,45.56625,109288
2017-01-19 13:00:00,45.5,45.785,45.31625,45.50375,18232
2017-01-20 09:00:00,45.71875,45.71875,44.84375,45.0,14306
2017-01-20 13:00:00,44.96,44.96,44.26625,44.45,10076
2017-01-23 09:00:00,44.4375,46.05625,44.4375,45.25,47698
2017-01-23 13:00:00,45.36875,45.485,44.5,44.8725,16324
2017-01-24 09:00:00,44.5375,45.23125,44.475,44.5,12844
2017-01-24 13:00:00,44.5,44.6875,44.25,44.5225,78460
2017-01-25 09:00:00,44.685,45.0725,44.36875,44.51625,11642
2017-01-25 13:00:00,44.51625,44.51625,44.0625,44.30375,21128
2017-01-27 09:00:00,44.56,45.185,44.34375,44.625,29762
2017-01-27 13:00:00,44.625,44.78125,44.26875,44.425,15794
2017-01-30 09:00:00,44.4375,45.0,44.3375,44.49125,10448
2017-01-30 13:00:00,44.49125,44.5475,44.0625,44.3875,5698
2017-01-31 09:00:00,44.75,44.75,44.25625,44.3725,8532
2017-01-31 13:00:00,44.30625,44.3725,43.825,44.05375,9008
2017-02-01 09:00:00,44.3725,44.3725,42.8125,43.625,21160
2017-02-01 13:00:00,43.625,43.7475,43.125,43.30375,13944
2017-02-02 09:00:00,43.4375,43.6875,43.0,43.21875,21204
2017-02-02 13:00:00,43.25,43.25,42.2225,42.61875,31624
