,Open,High,Low,Close,Volume
2023-10-04 09:00:00,286.0,298.65,282.0,287.3,1740133.0
2023-10-04 13:00:00,286.9,288.0,282.25,282.8,451137.0
2023-10-05 09:00:00,285.0,294.0,282.5,284.7,243486.0
2023-10-05 13:00:00,284.25,292.0,283.7,288.75,224797.0
2023-10-06 09:00:00,292.95,292.95,285.7,286.5,140124.0
2023-10-06 13:00:00,286.0,287.1,283.75,286.0,88526.0
2023-10-09 09:00:00,280.0,282.95,276.3,280.95,161293.0
2023-10-09 13:00:00,280.95,283.0,278.8,280.0,84292.0
2023-10-10 09:00:00,281.4,289.85,281.4,284.65,247894.0
2023-10-10 13:00:00,284.45,290.6,283.5,287.0,122956.0
2023-10-11 09:00:00,291.0,293.7,288.2,290.55,174892.0
2023-10-11 13:00:00,290.5,291.5,288.4,289.1,51891.0
2023-10-12 09:00:00,290.75,292.5,288.2,290.25,59862.0
2023-10-12 13:00:00,290.2,293.5,284.7,288.0,98908.0
2023-10-13 09:00:00,286.6,301.7,285.55,294.0,341242.0
2023-10-13 13:00:00,293.75,296.75,291.55,293.0,297149.0
2023-10-16 09:00:00,296.35,296.35,287.15,287.15,132328.0
2023-10-16 13:00:00,287.7,291.5,285.1,288.6,338930.0
2023-10-17 09:00:00,293.0,293.0,288.55,289.05,64353.0
2023-10-17 13:00:00,289.1,289.65,285.65,288.4,97510.0
2023-10-18 09:00:00,288.05,290.7,281.05,282.5,117535.0
2023-10-18 13:00:00,282.8,286.15,282.25,283.4,92421.0
2023-10-19 09:00:00,283.05,290.15,282.65,285.55,59403.0
2023-10-19 13:00:00,285.55,287.15,281.7,282.0,42847.0
2023-10-20 09:00:00,291.0,291.3,283.9,284.3,151884.0
2023-10-20 13:00:00,284.15,288.85,283.5,285.05,33113.0
2023-10-23 09:00:00,286.3,287.4,275.0,279.55,80736.0
2023-10-23 13:00:00,279.5,282.95,276.25,276.25,41179.0
2023-10-25 09:00:00,279.0,280.7,251.0,268.75,338946.0
2023-10-25 13:00:00,268.95,274.0,264.0,268.0,99808.0
2023-10-26 09:00:00,264.6,264.6,250.65,262.0,94649.0
2023-10-26 13:00:00,261.75,264.8,260.0,261.4,44688.0
2023-10-27 09:00:00,262.4,272.0,262.35,269.6,51038.0
2023-10-27 13:00:00,269.6,270.4,257.0,259.0,151976.0
2023-10-30 09:00:00,261.0,262.9,249.2,261.75,130528.0
2023-10-30 13:00:00,261.75,264.0,258.0,258.0,38734.0
2023-10-31 09:00:00,258.55,262.8,258.55,260.0,32222.0
2023-10-31 13:00:00,261.0,261.5,254.5,256.95,27697.0
2023-11-01 09:00:00,256.25,259.5,255.2,256.3,26226.0
2023-11-01 13:00:00,256.3,257.6,254.4,255.65,39946.0
2023-11-02 09:00:00,252.05,261.5,252.05,260.3,39672.0
2023-11-02 13:00:00,260.35,261.9,257.0,257.6,37071.0
2023-11-03 09:00:00,258.7,262.95,258.7,262.15,53644.0
2023-11-03 13:00:00,262.15,263.4,258.15,258.15,25783.0
2023-11-06 09:00:00,261.95,266.05,260.7,264.2,28787.0
2023-11-06 13:00:00,263.95,267.4,263.95,265.55,58281.0
