,Open,High,Low,Close,Volume
2015-01-01,6.308290758170189e-06,6.504065240733324e-06,6.308290758170189e-06,6.460559670813381e-06,48512.5
2015-01-02,6.4823124557733535e-06,6.569323595613241e-06,6.4823124557733535e-06,6.504065240733324e-06,154350.0
2015-01-05,6.569323595613241e-06,6.634581368416547e-06,6.4823124557733535e-06,6.525818025693299e-06,69425.0
2015-01-06,6.612828583456576e-06,6.612828583456576e-06,6.11251627560705e-06,6.156021845526993e-06,455962.5
2015-01-07,6.199526833370329e-06,6.286537973210215e-06,5.960246780887246e-06,6.047257920727135e-06,162387.5
2015-01-08,6.11251627560705e-06,6.308290758170189e-06,6.090763490647078e-06,6.243032403290272e-06,259075.0
2015-01-09,6.330043543130159e-06,6.351796328090134e-06,6.177774630486966e-06,6.286537973210215e-06,259737.5
2015-01-12,6.264785188250244e-06,6.395301315933465e-06,6.090763490647078e-06,6.134269060567021e-06,140050.0
2015-01-13,6.221279618330299e-06,6.221279618330299e-06,5.960246780887246e-06,5.981999565847218e-06,297825.0
2015-01-14,5.981999565847218e-06,6.090763490647078e-06,5.873236223123969e-06,6.0037523508071895e-06,161150.0
2015-01-15,6.177774630486966e-06,6.199526833370329e-06,5.981999565847218e-06,6.11251627560705e-06,1048250.0
2015-01-16,6.0037523508071895e-06,6.221279618330299e-06,5.981999565847218e-06,6.0037523508071895e-06,49487.5
2015-01-19,6.134269060567021e-06,6.134269060567021e-06,6.0037523508071895e-06,6.0037523508071895e-06,18650.0
2015-01-20,6.090763490647078e-06,6.199526833370329e-06,6.0037523508071895e-06,6.090763490647078e-06,62162.5
2015-01-21,6.134269060567021e-06,6.156021845526993e-06,5.960246780887246e-06,6.047257920727135e-06,44025.0
2015-01-22,6.134269060567021e-06,6.134269060567021e-06,5.960246780887246e-06,5.981999565847218e-06,72287.5
2015-01-23,6.0037523508071895e-06,6.0690107056871055e-06,5.873236223123969e-06,5.938493995927273e-06,102587.5
2015-01-27,5.960246780887246e-06,6.047257920727135e-06,5.894989008083939e-06,5.938493995927273e-06,84162.5
2015-01-28,5.829730653204024e-06,5.960246780887246e-06,5.829730653204024e-06,5.916741210967302e-06,34862.5
2015-01-29,5.916741210967302e-06,5.981999565847218e-06,5.851483438163996e-06,5.894989008083939e-06,60287.5
2015-01-30,5.938493995927273e-06,6.0690107056871055e-06,5.873236223123969e-06,5.960246780887246e-06,35687.5
2015-02-02,6.0690107056871055e-06,6.0690107056871055e-06,5.45993447303772e-06,5.807977868244052e-06,60162.5
2015-02-03,5.786225083284081e-06,6.0037523508071895e-06,5.786225083284081e-06,5.960246780887246e-06,18212.5
2015-02-04,5.981999565847218e-06,6.047257920727135e-06,5.786225083284081e-06,5.981999565847218e-06,78800.0
2015-02-05,6.047257920727135e-06,6.134269060567021e-06,5.873236223123969e-06,6.047257920727135e-06,62162.5
2015-02-06,6.047257920727135e-06,6.177774630486966e-06,5.916741210967302e-06,6.090763490647078e-06,228100.0
2015-02-09,6.460559670813381e-06,7.22190539818257e-06,6.134269060567021e-06,6.939119775779545e-06,2919512.5
2015-02-10,6.9608725607395175e-06,7.917992188595234e-06,6.65633415337652e-06,7.330668740905823e-06,2624312.5
2015-02-11,7.330668740905823e-06,7.52644322346896e-06,6.982625345699489e-06,7.22190539818257e-06,1051737.5
2015-02-12,7.395927095785738e-06,7.765723275952042e-06,7.0261309156194335e-06,7.504690438508988e-06,1541800.0
2015-02-13,7.3089159559458495e-06,7.569948793388905e-06,7.047883118502796e-06,7.22190539818257e-06,443487.5
2015-02-16,7.352421525865793e-06,7.461184868589045e-06,7.178399828262626e-06,7.3089159559458495e-06,376862.5
2015-02-18,7.374174310825764e-06,7.591701578348875e-06,7.134894258342684e-06,7.3089159559458495e-06,415975.0
2015-02-19,7.287163170985878e-06,7.613454363308847e-06,7.134894258342684e-06,7.417679880745708e-06,675325.0
2015-02-20,7.395927095785738e-06,7.395927095785738e-06,7.0913886884227415e-06,7.134894258342684e-06,246825.0
2015-02-23,7.287163170985878e-06,8.548821206204593e-06,6.8303558509796855e-06,8.048508898355068e-06,7271612.5
2015-02-24,8.135519456118345e-06,9.658210328780112e-06,7.156647043302656e-06,9.114392451010645e-06,16201225.0
2015-02-25,9.484188631176948e-06,1.0223780991509557e-05,8.461810648441314e-06,8.635832346044481e-06,22723387.5
2015-02-26,8.701090700924397e-06,9.244908578693869e-06,8.266036165878176e-06,8.788101258687676e-06,8711500.0
2015-02-27,8.918617968447507e-06,9.092639666050677e-06,7.047883118502796e-06,7.113141473382711e-06,26364625.0
2015-03-02,7.069635903462768e-06,7.134894258342684e-06,6.765098078176378e-06,6.917366990819574e-06,2522687.5
2015-03-03,7.004378130659462e-06,7.0913886884227415e-06,6.0690107056871055e-06,6.308290758170189e-06,9764475.0
2015-03-04,6.525818025693299e-06,6.612828583456576e-06,5.829730653204024e-06,5.894989008083939e-06,10098462.5
2015-03-05,5.981999565847218e-06,6.4823124557733535e-06,5.786225083284081e-06,6.243032403290272e-06,8566850.0
2015-03-09,6.308290758170189e-06,6.395301315933465e-06,6.047257920727135e-06,6.156021845526993e-06,2108537.5
2015-03-10,6.308290758170189e-06,6.634581368416547e-06,5.873236223123969e-06,6.090763490647078e-06,10919587.5
