,Open,High,Low,Close,Volume
2015-01-01,754.8987854211941,758.0955739861962,747.2264705661619,750.9713134765625,587479
2015-01-02,752.6153318835098,758.5522246714258,752.6153318835098,754.67041015625,710310
2015-01-05,754.533424619618,758.7349516595234,753.0264005843006,755.1271362304688,792287
2015-01-06,751.7020268231606,753.163393640678,734.0740317543431,738.5038452148438,1709888
2015-01-07,739.0060779832909,744.577656619966,730.694450903291,739.6454467773438,1730518
2015-01-08,744.3950568380583,749.875265845455,743.8470582363462,747.8658447265625,943536
2015-01-09,748.9619567251507,763.5758485636902,748.9619567251507,758.1412963867188,1766875
2015-01-12,760.3331419688309,764.7172968688519,758.1866938918819,762.9362182617188,1188646
2015-01-13,764.5348173827924,770.3347387247454,754.5791377544542,760.927001953125,838422
2015-01-14,759.0088793822184,765.174113962038,746.22172617963,749.5555419921875,996066
2015-01-15,754.4420225153874,761.6576525358066,748.4138155788173,754.3507080078125,2224116
2015-01-16,757.0907598881467,780.381643961645,754.6246551308528,776.1344604492188,2005202
2015-01-19,780.9297493131247,791.1138262376967,779.1943275711801,788.2366943359375,1382755
2015-01-20,790.0635023124859,798.7405003147617,780.4731360994441,796.7310791015625,2053198
2015-01-21,799.1970943972972,811.0708797997713,797.370358181532,809.198486328125,2358508
2015-01-22,808.6048756765572,847.011998256893,808.6048756765572,840.3444213867188,4797782
2015-01-23,841.6689852628544,857.3789329794043,838.4721958451443,846.5098266601562,2835629
2015-01-27,858.4747386124287,858.5203958699965,822.9446956041867,834.8184814453125,2261868
2015-01-28,835.7318281282204,852.2637687681239,814.7243614102432,830.9366455078125,1939863
2015-01-29,822.0313492970107,852.1724987712345,813.8110358040406,840.1160278320312,2668139
2015-01-30,843.495642246131,847.4231148666839,831.621854104063,838.2437744140625,1873464
2015-02-02,844.8656250989497,861.8085948635816,842.1255203688991,848.6104125976562,1750030
2015-02-03,854.9125202315737,865.5532806296352,839.4309201740214,859.7077026367188,2275229
2015-02-04,865.4163132882117,882.2679666331526,864.0462610772013,875.8743896484375,2769365
2015-02-05,876.8334511461449,882.2223456970083,868.6131375416497,876.4224243164062,1850360
2015-02-06,875.6917027317488,879.4822028053121,840.5270294017125,846.5552368164062,3120503
2015-02-09,846.5096365023682,866.0557382789001,836.5082435641315,859.8905029296875,1350099
2015-02-10,860.392884543891,860.392884543891,832.0784690228076,839.8877563476562,1515424
2015-02-11,844.6826984014541,855.8257989286924,840.481227984285,845.6417236328125,1046438
2015-02-12,849.1125295335651,851.4416066360285,839.3851386527672,843.5866088867188,778562
2015-02-13,847.6056610359617,869.5264970972366,847.6056610359617,859.0684204101562,2046667
2015-02-16,838.4719253627613,850.2543962861661,828.6988754317869,835.5034790039062,2869370
2015-02-18,840.2072909225449,847.1488657987989,832.7633190210834,838.2891845703125,1309654
