,Open,High,Low,Close,Volume
2015-01-01,362.96525684384,364.1551508527041,359.6335536190206,361.5373840332031,269753
2015-01-02,361.53741211588846,369.8190866809263,361.53741211588846,364.3931579589844,623981
2015-01-05,365.5355132801288,370.86624532549456,364.3932031810674,367.3441467285156,551576
2015-01-06,363.8220656339613,364.96434664661416,351.44716583757014,354.77886962890625,519159
2015-01-07,354.96922619060723,359.2528452412988,352.2086775013029,356.5874938964844,397373
2015-01-08,361.7278432681323,361.7278432681323,351.0187952766416,354.96923828125,672501
2015-01-09,357.9201817600467,358.7768997893356,351.6375344616751,354.96923828125,985975
2015-01-12,355.3023834690939,360.2999387623631,352.77981375014025,358.6816711425781,344364
2015-01-13,357.7773720045569,365.53547590447886,352.9701823002025,354.3028869628906,715002
2015-01-14,355.112010318103,358.82450342971254,351.2567647639253,353.73175048828125,404068
2015-01-15,355.7307853060329,360.7759251457947,351.9231238269216,357.8249816894531,648144
2015-01-16,361.7278323929264,375.05464727056057,358.8245022003594,368.5816345214844,1387070
2015-01-19,370.485469348148,376.48252448987296,370.485469348148,375.5306091308594,913385
2015-01-20,377.9103647726669,379.7189979879975,371.6753313316157,374.6738586425781,603286
2015-01-21,375.62579778596586,388.9049993068747,371.6753549474908,387.3819580078125,1885665
2015-01-22,387.4296162732323,389.5238420353122,374.19799636778953,380.5282287597656,785747
2015-01-23,383.7647030349862,385.95412597256586,375.05468258696936,379.6714782714844,709214
2015-01-27,379.8142635346204,387.4295871142619,374.340749711753,381.3849182128906,1306898
2015-01-28,389.714140836072,416.7485311294842,384.5738037250253,412.4173278808594,6282139
2015-01-29,407.229427288898,422.6504695548813,405.1828148341925,420.5562438964844,3488597
2015-01-30,420.6989269809812,421.55564483612864,408.1336349383316,409.8946838378906,970722
2015-02-02,409.3235798724321,416.7485076081977,406.80101013208537,412.3697204589844,1106879
2015-02-03,414.9399323825182,426.838875322199,409.847178994304,411.5130310058594,2245302
2015-02-04,413.6071894037119,422.6028004250719,406.4678247995051,409.37115478515625,1392064
2015-02-05,411.1322167652359,411.1322167652359,393.47419937679575,397.710205078125,1040089
2015-02-06,405.42075096143697,406.4678636802455,389.4285843383405,396.66314697265625,1116247
2015-02-09,389.4285963206146,401.3275388319377,389.4285963206146,392.4271240234375,813004
2015-02-10,390.14251837771695,409.89476221272855,390.09490517934887,404.7544250488281,1092699
2015-02-11,407.7052597125342,412.8932090602662,402.75531820979546,405.75384521484375,1113419
2015-02-12,408.3717096925692,413.0360893778617,403.1361749529208,405.2779846191406,1131467
2015-02-13,406.94386328497296,411.227482898499,403.2789829167031,406.1823425292969,935029
2015-02-16,411.6082163784051,411.6082163784051,394.99730994820953,397.4246826171875,842771
2015-02-18,398.9952937763655,411.7033688920816,396.2823293505149,409.0856018066406,1093702
2015-02-19,413.9404344820412,421.4129764886346,410.085159523786,411.94140625,1517003
2015-02-20,413.131229369441,417.890805744665,402.1842037064259,414.4163208007813,1033950
2015-02-23,414.3687393250939,414.41635252258,397.900615426314,399.56646728515625,1004925
2015-02-24,400.9943476563555,405.94431917626906,397.9006227189474,402.13665771484375,748836
2015-02-25,403.9928400746468,407.419740901606,398.3765457180423,401.94622802734375,788068
2015-02-26,403.5169167487346,405.5159448219718,396.0919885340267,403.2313537597656,726024
2015-02-27,404.6591892315721,415.7489963758142,401.0418937563126,414.4163208007813,826541
2015-03-02,400.470849074193,400.5184332275391,388.5242925187155,392.6651306152344,1124323
2015-03-03,392.7603021101098,401.5179064104126,390.7136897983634,395.901611328125,719506
2015-03-04,404.2784729228587,404.2784729228587,389.8093475476707,391.6179809570313,655400
2015-03-05,392.1891564858672,395.6636419893642,381.05173435394994,386.23968505859375,959120
2015-03-09,384.5738461996569,386.1921141032321,376.1970017638845,380.4806213378906,648441
2015-03-10,383.05074796437447,387.7151275755532,380.4805938358404,385.906494140625,657218
2015-03-11,389.0478085654022,389.0478085654022,378.8623028731248,380.6233520507813,410728
2015-03-12,382.1940150851569,387.14398655189945,381.004120891243,385.14495849609375,349974
2015-03-13,386.477587890625,387.9530448942863,378.1007453889168,379.5762023925781,428548
2015-03-16,380.5757638246026,380.7661585239256,372.8652723546151,378.4815673828125,399268
2015-03-17,379.8142767934066,386.2397062880319,376.7681356351519,385.0022277832031,562431
2015-03-18,387.38200204067095,387.38200204067095,380.7661780765297,382.4796142578125,309016
2015-03-19,384.5261918768748,394.7592812140718,380.9565095499455,385.3352966308594,1023111
2015-03-20,386.0968713820844,388.19106771988953,372.0085067861496,373.8171691894531,461698
2015-03-23,375.530576254787,377.5296041437396,366.4873811358504,372.05609130859375,498876
2015-03-24,372.24647805857575,376.958470560644,367.0109437452334,368.6292114257813,408226
2015-03-25,369.43831682372905,375.007026883772,366.4873737188206,371.6753234863281,636108
2015-03-26,371.2470120570077,374.7691107145328,366.48743497935374,371.009033203125,1419196
2015-03-27,370.91382011696095,376.577728219161,366.4874194325463,373.9599609375,670005
2015-03-30,376.0065283520266,378.3387323631302,368.53398773803895,372.5320434570313,420532
2015-03-31,373.9599442145546,378.8147182207488,371.7705215195275,372.7700500488281,438421
2015-04-01,372.5796925271443,375.2926573056495,368.7244466656892,371.6277770996094,452828
2015-04-06,376.00651636482417,384.9545137290462,372.1988554396108,384.1929931640625,904638
2015-04-07,385.04973914826536,390.9516256328969,382.1939932460533,387.04876708984375,636179
2015-04-08,388.00072217354864,391.6179890671809,385.0497786286632,387.8579406738281,534912
2015-04-09,390.2852735350075,390.2852735350075,379.0050714045146,380.7185363769531,756901
2015-04-10,380.4805680632197,387.0011648171841,379.8617998601571,381.2896728515625,969396
2015-04-13,381.7180953382809,398.329031555981,381.7180953382809,394.9021301269531,1399618
2015-04-15,395.0448278622405,402.2793895560124,386.5727879663089,391.5703430175781,947070
2015-04-16,391.5703498304624,397.4246228966346,377.5771838233838,386.715576171875,884632
2015-04-17,383.6218455190182,388.3338376237403,374.3406718371065,376.0541076660156,603542
2015-04-20,376.9584532877464,384.38338089911207,373.1983762876701,375.9589538574219,934634
2015-04-21,381.7180844094816,382.0988447684379,370.0571204842543,373.3888244628906,657263
2015-04-22,374.4834670148031,378.3863254902671,370.4854402510331,377.05364990234375,517359
2015-04-23,378.9575395934312,385.1925740579748,373.1508496435393,384.05029296875,743194
2015-04-24,385.5257479639595,386.0017056774952,371.2470165578869,376.8633117675781,738949
2015-04-27,379.52872506845233,379.52872506845233,364.5836399566927,367.9153442382813,947654
2015-04-28,367.4393107982439,371.7705138521011,363.6316495464487,367.58209228515625,612828
2015-04-29,369.24793699674495,369.9142893230814,361.7278119787946,363.4888610839844,866439
2015-04-30,362.1085670945374,368.2484322772533,361.6802226481624,364.3931579589844,2267714
2015-05-04,366.2969988059013,375.2926100842911,363.8696263911738,366.7253723144531,462963
2015-05-05,367.53452750295565,370.009513257046,361.9658168187901,365.916259765625,593407
