Datetime,Open,High,Low,Close,Volume
2024-05-23 09:15:00,286.0,303.0,281.65,301.3,24298902
2024-05-23 10:15:00,301.35,305.75,293.4,300.3,9098523
2024-05-23 11:15:00,300.3,307.0,300.1,306.45,2840469
2024-05-23 12:15:00,306.45,310.0,305.0,308.45,3449174
2024-05-23 13:15:00,308.45,314.0,305.0,308.6,3936685
2024-05-23 14:15:00,308.6,309.65,304.35,304.4,3692249
2024-05-23 15:15:00,304.45,306.6,304.3,305.65,1771957
2024-05-24 09:15:00,307.85,308.0,297.0,302.2,1903054
2024-05-24 10:15:00,302.2,302.7,299.0,300.25,775265
2024-05-24 11:15:00,300.25,301.8,300.05,300.25,335980
2024-05-24 12:15:00,300.35,300.6,300.1,300.2,585001
2024-05-24 13:15:00,300.15,301.1,300.0,300.25,809146
2024-05-24 14:15:00,300.3,301.4,300.0,300.0,1242180
2024-05-24 15:15:00,300.15,300.55,299.95,300.3,567707
2024-05-27 09:15:00,300.3,300.75,285.0,291.85,1023481
2024-05-27 10:15:00,291.85,294.1,289.65,292.65,735797
2024-05-27 11:15:00,292.75,294.45,291.95,294.1,200996
2024-05-27 12:15:00,294.1,296.4,293.8,296.1,337488
2024-05-27 13:15:00,296.05,302.0,295.2,301.0,587996
2024-05-27 14:15:00,301.0,301.25,300.0,300.1,340026
2024-05-27 15:15:00,300.15,300.5,300.0,300.0,168976
2024-05-28 09:15:00,297.2,304.9,295.55,301.0,333240
2024-05-28 10:15:00,301.0,301.2,297.35,298.4,148082
2024-05-28 11:15:00,298.85,299.8,297.0,299.3,123184
2024-05-28 12:15:00,299.3,300.95,298.2,300.45,407234
2024-05-28 13:15:00,300.45,301.2,299.5,300.0,93007
2024-05-28 14:15:00,300.25,300.95,299.95,300.05,138239
2024-05-28 15:15:00,300.2,300.45,299.9,300.05,131053
2024-05-29 09:15:00,298.7,302.0,297.3,300.5,278938
2024-05-29 10:15:00,300.5,302.1,299.35,300.1,259312
2024-05-29 11:15:00,300.35,301.25,299.8,301.0,85539
2024-05-29 12:15:00,301.0,301.15,300.4,301.0,68403
2024-05-29 13:15:00,301.0,301.1,299.9,300.9,104779
2024-05-29 14:15:00,300.9,302.2,300.15,301.0,485726
2024-05-29 15:15:00,301.05,302.2,300.25,302.0,187228
2024-05-30 09:15:00,299.95,301.3,295.85,297.05,558605
2024-05-30 10:15:00,297.05,297.9,296.55,297.3,258087
2024-05-30 11:15:00,297.05,298.45,294.05,296.1,1286853
2024-05-30 12:15:00,296.2,296.2,291.6,294.1,174273
2024-05-30 13:15:00,294.15,297.45,293.85,295.15,165511
2024-05-30 14:15:00,295.35,300.9,293.3,297.0,397007
2024-05-30 15:15:00,297.15,303.0,297.0,298.5,73200
2024-05-31 09:15:00,296.25,299.4,295.0,296.7,171306
2024-05-31 10:15:00,296.7,298.35,296.0,296.85,92034
2024-05-31 11:15:00,296.85,299.95,296.15,297.25,102719
2024-05-31 12:15:00,297.05,300.35,296.2,298.9,242767
2024-05-31 13:15:00,298.9,299.25,297.15,298.55,97798
2024-05-31 14:15:00,298.55,300.0,297.1,298.35,211447
2024-05-31 15:15:00,298.5,298.75,297.05,298.0,65672
2024-06-03 09:15:00,301.95,306.0,299.25,300.25,139540
2024-06-03 10:15:00,300.25,300.45,299.6,300.0,95648
2024-06-03 11:15:00,300.0,300.45,300.0,300.1,69281
2024-06-03 12:15:00,300.1,300.75,300.0,300.55,39768
2024-06-03 13:15:00,300.55,301.2,299.8,300.55,217338
2024-06-03 14:15:00,300.55,302.0,300.5,300.95,87139
2024-06-03 15:15:00,301.05,302.0,300.7,301.0,49584
2024-06-04 09:15:00,291.5,301.5,285.05,301.0,263943
2024-06-04 10:15:00,301.05,301.9,292.0,292.4,111213
2024-06-04 11:15:00,292.35,294.15,285.3,286.75,152439
