Datetime,Open,High,Low,Close,Volume
2021-01-01 09:15:00,90.6,90.6,87.6,88.7,37368
2021-01-01 10:15:00,88.75,89.7,88.1,89.65,26940
2021-01-01 11:15:00,89.65,89.7,88.5,88.8,12312
2021-01-01 12:15:00,88.8,91.6,88.6,90.3,53847
2021-01-01 13:15:00,90.15,91.0,90.05,90.4,5175
2021-01-01 14:15:00,90.45,98.45,90.45,94.65,1317437
2021-01-01 15:15:00,94.6,94.9,94.35,94.8,104675
2021-01-04 09:15:00,95.0,95.25,93.25,93.45,68129
2021-01-04 10:15:00,93.45,94.0,92.1,93.0,57756
2021-01-04 11:15:00,93.0,93.2,91.8,92.25,23277
2021-01-04 12:15:00,92.45,92.85,91.8,92.8,20211
2021-01-04 13:15:00,92.7,93.25,92.7,93.05,17242
2021-01-04 14:15:00,93.05,93.2,92.8,92.85,23196
2021-01-04 15:15:00,92.85,92.95,92.15,92.8,15672
2021-01-05 09:15:00,92.75,92.75,91.3,92.0,60632
2021-01-05 10:15:00,92.0,95.0,92.0,94.4,117139
2021-01-05 11:15:00,94.5,95.0,93.9,94.5,43343
2021-01-05 12:15:00,94.4,96.0,94.05,95.3,138056
2021-01-05 13:15:00,95.25,95.25,94.0,94.05,20256
2021-01-05 14:15:00,94.25,94.6,93.7,93.75,36872
2021-01-05 15:15:00,93.7,93.7,93.05,93.45,37723
2021-01-06 09:15:00,93.0,94.2,92.5,92.65,43726
2021-01-06 10:15:00,92.65,93.65,92.0,93.15,60618
2021-01-06 11:15:00,93.45,93.45,91.95,92.2,29311
2021-01-06 12:15:00,92.1,92.95,92.1,92.5,9849
2021-01-06 13:15:00,92.25,92.55,91.2,91.65,62840
2021-01-06 14:15:00,91.55,92.25,90.2,91.5,40709
2021-01-06 15:15:00,91.5,92.5,91.3,91.8,22676
2021-01-07 09:15:00,92.95,93.6,90.95,91.3,65107
2021-01-07 10:15:00,91.35,92.3,90.75,91.0,39011
2021-01-07 11:15:00,91.0,91.75,90.6,91.3,27221
2021-01-07 12:15:00,91.35,91.55,91.1,91.5,10266
2021-01-07 13:15:00,91.5,91.5,90.3,91.0,23627
2021-01-07 14:15:00,90.65,91.05,90.4,91.0,28400
2021-01-07 15:15:00,90.6,91.0,90.5,90.7,16293
2021-01-08 09:15:00,92.5,92.6,91.05,91.8,25151
2021-01-08 10:15:00,91.7,92.0,90.65,91.0,37707
2021-01-08 11:15:00,91.1,92.4,90.7,92.0,42148
2021-01-08 12:15:00,91.55,93.4,91.3,92.75,42491
2021-01-08 13:15:00,92.75,92.95,92.0,92.15,13265
2021-01-08 14:15:00,92.0,92.3,90.0,90.35,49124
2021-01-08 15:15:00,90.05,90.95,88.5,90.3,38660
2021-01-11 09:15:00,93.0,94.0,92.15,92.5,81825
2021-01-11 10:15:00,92.65,92.65,90.65,91.85,51868
2021-01-11 11:15:00,91.9,92.5,89.9,90.95,35020
2021-01-11 12:15:00,90.75,92.2,90.75,91.95,20563
2021-01-11 13:15:00,91.95,92.95,91.6,92.9,43758
2021-01-11 14:15:00,92.85,93.4,91.1,91.95,124948
2021-01-11 15:15:00,91.95,91.95,91.2,91.7,28576
2021-01-12 09:15:00,91.0,92.3,90.5,91.4,25062
2021-01-12 10:15:00,92.35,92.35,91.4,91.7,9176
2021-01-12 11:15:00,91.7,91.7,91.1,91.25,4758
2021-01-12 12:15:00,91.1,91.7,91.05,91.2,7656
2021-01-12 13:15:00,91.1,91.6,90.4,90.95,22898
2021-01-12 14:15:00,91.0,91.0,90.2,90.65,21094
2021-01-12 15:15:00,90.4,90.75,90.4,90.5,14914
2021-01-13 09:15:00,91.0,92.4,90.5,91.2,23236
2021-01-13 10:15:00,91.1,91.25,91.0,91.0,13939
2021-01-13 11:15:00,91.0,91.5,89.7,90.0,19951
2021-01-13 12:15:00,89.85,90.1,88.75,89.7,48725
2021-01-13 13:15:00,89.7,90.0,88.6,88.85,41917
2021-01-13 14:15:00,88.85,89.8,88.4,89.0,56368
2021-01-13 15:15:00,89.0,89.8,88.55,89.45,11733
2021-01-14 09:15:00,90.0,91.7,89.0,91.25,27595
2021-01-14 10:15:00,90.95,91.15,89.55,89.6,20562
