Datetime,Open,High,Low,Close,Volume
2021-01-01 09:15:00,354.8,354.85,351.5,352.2,349
2021-01-01 10:15:00,352.95,354.7,352.3,354.0,453
2021-01-01 11:15:00,354.55,354.55,352.0,352.0,805
2021-01-01 12:15:00,352.0,353.2,350.0,351.95,1119
2021-01-01 13:15:00,351.95,351.95,348.15,350.5,1022
2021-01-01 14:15:00,350.8,353.05,349.85,352.7,837
2021-01-01 15:15:00,352.7,352.7,350.2,351.05,1299
2021-01-04 09:15:00,351.05,357.8,350.05,352.8,2837
2021-01-04 10:15:00,352.8,352.8,350.25,352.2,1781
2021-01-04 11:15:00,352.0,356.9,350.0,356.55,2339
2021-01-04 12:15:00,356.45,356.85,353.0,354.8,1784
2021-01-04 13:15:00,354.3,354.3,349.4,354.1,2111
2021-01-04 14:15:00,354.1,355.2,351.6,354.0,1131
2021-01-04 15:15:00,354.0,356.6,351.6,354.05,1398
2021-01-05 09:15:00,352.95,354.0,348.1,353.05,1194
2021-01-05 10:15:00,354.25,358.2,352.5,358.2,2108
2021-01-05 11:15:00,358.0,360.9,350.0,355.0,11585
2021-01-05 12:15:00,355.25,355.5,352.6,353.15,1666
2021-01-05 13:15:00,353.15,354.8,351.0,353.0,1715
2021-01-05 14:15:00,355.0,359.0,353.3,355.9,4207
2021-01-05 15:15:00,355.0,356.4,354.1,355.4,635
2021-01-06 09:15:00,355.4,360.7,353.55,356.95,1787
2021-01-06 10:15:00,356.95,357.45,356.0,356.0,883
2021-01-06 11:15:00,356.0,356.95,348.95,351.7,5489
2021-01-06 12:15:00,351.9,351.95,349.1,351.6,1844
2021-01-06 13:15:00,351.0,355.0,349.45,349.45,2217
2021-01-06 14:15:00,351.0,352.7,347.75,350.2,2569
2021-01-06 15:15:00,352.0,352.0,346.65,348.95,3608
2021-01-07 09:15:00,349.0,355.0,347.95,350.6,3353
2021-01-07 10:15:00,349.05,351.55,349.05,351.05,1515
2021-01-07 11:15:00,351.25,351.25,349.0,349.7,2283
2021-01-07 12:15:00,350.15,350.15,349.35,350.15,1476
2021-01-07 13:15:00,350.15,351.0,349.35,351.0,2074
2021-01-07 14:15:00,351.3,353.0,349.45,349.8,3729
2021-01-07 15:15:00,349.95,353.0,349.8,351.1,997
2021-01-08 09:15:00,355.95,355.95,343.55,353.85,4700
2021-01-08 10:15:00,353.4,358.0,353.3,356.15,5641
2021-01-08 11:15:00,356.05,357.1,352.65,356.0,3985
2021-01-08 12:15:00,355.0,360.0,355.0,359.2,9039
2021-01-08 13:15:00,359.7,363.55,358.6,360.05,7854
2021-01-08 14:15:00,360.0,372.5,356.8,371.0,30016
2021-01-08 15:15:00,370.0,373.0,366.0,369.9,10869
2021-01-11 09:15:00,375.0,389.9,371.15,377.5,36596
2021-01-11 10:15:00,377.5,377.6,372.45,373.35,6730
2021-01-11 11:15:00,373.35,376.1,366.85,372.7,11106
2021-01-11 12:15:00,372.7,374.0,370.5,371.35,7083
2021-01-11 13:15:00,371.15,372.0,366.95,367.05,3737
2021-01-11 14:15:00,367.05,370.0,366.9,368.7,3466
2021-01-11 15:15:00,368.7,368.75,361.25,366.5,5826
2021-01-12 09:15:00,363.0,376.0,363.0,370.0,6003
2021-01-12 10:15:00,370.0,372.05,368.0,372.05,1502
2021-01-12 11:15:00,372.4,374.0,371.3,371.9,2630
2021-01-12 12:15:00,373.4,378.3,372.1,375.0,5443
2021-01-12 13:15:00,375.0,378.0,371.25,372.95,3073
2021-01-12 14:15:00,372.25,376.1,370.6,374.5,4620
2021-01-12 15:15:00,374.5,376.8,373.5,375.1,1992
2021-01-13 09:15:00,375.1,381.9,374.9,376.45,6995
2021-01-13 10:15:00,374.65,374.65,371.0,373.0,3262
2021-01-13 11:15:00,371.5,372.7,364.0,364.95,5472
2021-01-13 12:15:00,367.35,369.5,366.0,366.05,1840
2021-01-13 13:15:00,365.05,366.7,354.05,362.0,9089
2021-01-13 14:15:00,362.0,364.8,360.6,363.9,2375
2021-01-13 15:15:00,363.9,364.0,362.3,363.9,1603
