Datetime,Open,High,Low,Close,Volume
2021-01-01 09:15:00,12.25,12.6,12.1,12.25,8348.0
2021-01-01 10:15:00,12.35,12.35,12.25,12.25,3310.0
2021-01-01 11:15:00,12.4,12.4,12.3,12.35,628.0
2021-01-01 12:15:00,12.35,12.35,12.3,12.35,970.0
2021-01-01 13:15:00,12.35,12.45,12.3,12.45,2327.0
2021-01-01 14:15:00,12.35,12.45,12.15,12.2,11038.0
2021-01-01 15:15:00,12.2,12.4,12.15,12.3,7110.0
2021-01-04 09:15:00,12.4,12.75,12.1,12.4,23719.0
2021-01-04 10:15:00,12.4,12.5,12.35,12.4,2882.0
2021-01-04 11:15:00,12.35,12.5,12.35,12.5,3859.0
2021-01-04 12:15:00,12.5,12.65,12.4,12.6,11098.0
2021-01-04 13:15:00,12.5,12.6,12.45,12.45,15414.0
2021-01-04 14:15:00,12.55,12.55,12.35,12.5,2357.0
2021-01-04 15:15:00,12.5,12.55,12.4,12.5,3170.0
2021-01-05 09:15:00,12.75,12.75,12.0,12.45,4716.0
2021-01-05 10:15:00,12.3,12.45,12.2,12.2,8919.0
2021-01-05 11:15:00,12.2,13.1,12.2,12.85,102086.0
2021-01-05 12:15:00,12.85,13.2,12.75,12.85,26974.0
2021-01-05 13:15:00,12.8,13.0,12.75,12.85,17165.0
2021-01-05 14:15:00,12.95,13.1,12.8,13.0,9636.0
2021-01-05 15:15:00,13.0,13.15,13.0,13.0,15415.0
2021-01-06 09:15:00,13.45,14.3,13.45,14.3,303488.0
2021-01-06 10:15:00,14.3,14.3,14.3,14.3,22011.0
2021-01-06 11:15:00,14.3,14.3,14.3,14.3,5460.0
2021-01-06 12:15:00,14.3,14.3,14.3,14.3,27380.0
2021-01-06 13:15:00,14.3,14.3,13.7,13.85,167787.0
2021-01-06 14:15:00,13.85,14.3,13.85,14.3,68130.0
2021-01-06 15:15:00,14.3,14.3,14.3,14.3,8286.0
2021-01-07 09:15:00,15.0,15.7,13.6,14.15,219665.0
2021-01-07 10:15:00,14.15,14.2,13.85,14.05,17488.0
2021-01-07 11:15:00,14.05,14.45,14.0,14.4,36758.0
2021-01-07 12:15:00,14.35,14.9,14.25,14.55,16471.0
2021-01-07 13:15:00,14.55,14.8,14.55,14.8,19502.0
2021-01-07 14:15:00,14.75,14.9,14.6,14.6,31900.0
2021-01-07 15:15:00,14.55,14.65,14.5,14.6,4214.0
2021-01-08 09:15:00,14.95,15.0,14.1,14.45,28159.0
2021-01-08 10:15:00,14.45,14.7,14.25,14.3,12696.0
2021-01-08 11:15:00,14.35,14.8,14.25,14.8,37402.0
2021-01-08 12:15:00,14.7,15.2,14.35,15.05,56857.0
2021-01-08 13:15:00,14.95,15.3,14.75,14.8,58146.0
2021-01-08 14:15:00,14.8,16.05,14.5,16.05,246006.0
2021-01-08 15:15:00,16.05,16.05,15.85,15.85,176141.0
2021-01-11 09:15:00,16.6,16.6,16.6,16.6,77152.0
2021-01-11 10:15:00,16.6,16.6,15.8,16.6,305805.0
2021-01-11 11:15:00,16.5,16.6,16.45,16.6,35709.0
2021-01-11 12:15:00,16.6,16.6,16.6,16.6,9801.0
2021-01-11 13:15:00,16.6,16.6,16.6,16.6,4001.0
2021-01-11 14:15:00,16.6,16.6,16.6,16.6,2676.0
2021-01-11 15:15:00,16.6,16.6,16.6,16.6,15828.0
2021-01-12 09:15:00,17.4,17.4,16.8,17.05,139313.0
2021-01-12 10:15:00,17.0,17.15,16.7,16.85,47994.0
2021-01-12 11:15:00,16.85,17.1,16.6,16.9,26747.0
2021-01-12 12:15:00,16.85,17.0,16.75,16.8,20903.0
2021-01-12 13:15:00,16.95,16.95,16.65,16.8,11265.0
2021-01-12 14:15:00,16.8,16.9,16.55,16.65,18395.0
2021-01-12 15:15:00,16.6,16.75,16.5,16.75,14998.0
2021-01-13 09:15:00,16.75,16.75,15.9,16.0,53975.0
2021-01-13 10:15:00,16.0,16.0,15.85,15.85,52957.0
2021-01-13 11:15:00,15.85,16.0,15.85,15.85,5785.0
2021-01-13 12:15:00,15.85,15.85,15.85,15.85,5125.0
2021-01-13 13:15:00,15.85,15.85,15.85,15.85,190.0
2021-01-13 14:15:00,15.85,15.85,15.85,15.85,9900.0
2021-01-13 15:15:00,15.85,15.85,15.85,15.85,7711.0
2021-01-14 09:15:00,15.1,16.0,15.1,15.6,20142.0
2021-01-14 10:15:00,15.3,15.5,15.2,15.2,4341.0
2021-01-14 11:15:00,15.15,15.4,15.15,15.4,2383.0
2021-01-14 12:15:00,15.5,15.9,15.2,15.2,2460.0
2021-01-14 13:15:00,15.2,15.4,15.15,15.15,5514.0
2021-01-14 14:15:00,15.15,15.9,15.15,15.45,9231.0
2021-01-14 15:15:00,15.4,15.8,15.15,15.4,5349.0
2021-01-15 09:15:00,15.0,15.95,15.0,15.75,10056.0
2021-01-15 10:15:00,15.7,15.7,15.0,15.0,6279.0
2021-01-15 11:15:00,15.0,15.0,14.9,15.0,8945.0
2021-01-15 12:15:00,14.95,15.0,14.95,14.95,2194.0
2021-01-15 13:15:00,15.0,15.0,14.9,14.9,8371.0
2021-01-15 14:15:00,14.9,14.95,14.75,14.9,4350.0
2021-01-15 15:15:00,15.0,15.0,14.65,14.7,14786.0
2021-01-18 09:15:00,14.7,14.9,14.0,14.0,18697.0
2021-01-18 10:15:00,14.0,14.0,14.0,14.0,2905.0
2021-01-18 11:15:00,14.0,14.0,14.0,14.0,2306.0
2021-01-18 12:15:00,14.0,14.0,14.0,14.0,3970.0
2021-01-18 13:15:00,14.0,14.2,14.0,14.2,2793.0
2021-01-18 14:15:00,14.2,14.25,14.0,14.1,1659.0
2021-01-18 15:15:00,14.2,14.2,14.0,14.0,1952.0
2021-01-19 09:15:00,14.15,14.4,14.1,14.15,3502.0
2021-01-19 10:15:00,14.15,14.5,14.15,14.5,5158.0
2021-01-19 11:15:00,14.25,14.45,14.25,14.25,1002.0
2021-01-19 12:15:00,14.2,14.6,14.2,14.6,2905.0
2021-01-19 13:15:00,14.6,14.6,14.0,14.1,8473.0
2021-01-19 14:15:00,14.15,14.7,14.15,14.4,5077.0
2021-01-19 15:15:00,14.7,14.7,14.65,14.65,3244.0
2021-01-20 09:15:00,14.65,15.0,14.35,14.75,1105.0
2021-01-20 10:15:00,14.75,14.75,14.3,14.3,1823.0
2021-01-20 11:15:00,14.3,14.75,14.3,14.7,1802.0
2021-01-20 12:15:00,14.65,14.7,14.35,14.7,1525.0
2021-01-20 13:15:00,14.35,14.35,14.25,14.35,2755.0
2021-01-20 14:15:00,14.3,14.3,14.25,14.25,1470.0
2021-01-20 15:15:00,14.5,14.5,14.3,14.3,35.0
2021-01-21 09:15:00,14.8,14.8,14.15,14.25,5300.0
2021-01-21 10:15:00,14.6,14.6,14.15,14.15,2765.0
2021-01-21 11:15:00,14.15,14.55,14.15,14.3,658.0
2021-01-21 12:15:00,14.3,14.4,14.1,14.1,2455.0
2021-01-21 13:15:00,14.1,14.4,14.05,14.05,1101.0
2021-01-21 14:15:00,14.05,14.1,14.05,14.05,3489.0
2021-01-21 15:15:00,14.05,14.1,14.0,14.05,1351.0
2021-01-22 09:15:00,14.0,14.45,13.6,13.9,2592.0
2021-01-22 10:15:00,13.6,13.9,13.6,13.6,3153.0
2021-01-22 11:15:00,13.6,13.75,13.6,13.75,3326.0
2021-01-22 12:15:00,13.75,13.75,13.6,13.6,2954.0
2021-01-22 14:15:00,13.6,13.6,13.4,13.5,7619.0
2021-01-22 15:15:00,13.5,13.6,13.4,13.5,2652.0
2021-01-25 09:15:00,14.0,14.0,12.85,13.4,14213.0
2021-01-25 10:15:00,13.45,13.6,13.0,13.6,2777.0
2021-01-25 11:15:00,13.6,13.6,12.95,13.0,3433.0
2021-01-25 12:15:00,13.0,13.3,12.9,13.3,3749.0
2021-01-25 13:15:00,13.45,13.5,12.9,13.05,3510.0
2021-01-25 14:15:00,13.05,13.05,13.0,13.0,1445.0
2021-01-25 15:15:00,13.0,13.4,13.0,13.2,2406.0
2021-01-27 09:15:00,12.75,13.2,12.55,13.2,6042.0
2021-01-27 10:15:00,13.1,13.2,12.9,13.15,701.0
2021-01-27 11:15:00,13.0,13.8,13.0,13.0,8761.0
2021-01-27 12:15:00,13.0,13.4,13.0,13.05,287.0
2021-01-27 13:15:00,13.1,13.3,12.75,13.05,7021.0
2021-01-27 14:15:00,13.05,13.15,12.7,13.15,2668.0
2021-01-27 15:15:00,13.15,13.15,13.15,13.15,1.0
2021-01-28 09:15:00,12.6,13.25,12.6,13.25,1737.0
2021-01-28 10:15:00,13.25,13.25,12.8,12.8,410.0
2021-01-28 11:15:00,13.1,13.1,12.85,13.0,541.0
2021-01-28 12:15:00,12.9,13.1,12.9,13.0,598.0
2021-01-28 13:15:00,13.1,13.1,13.1,13.1,11.0
