Datetime,Open,High,Low,Close,Volume
2023-09-27 09:15:00,231.0,238.0,231.0,237.25,17953289
2023-09-27 10:15:00,237.25,243.8,237.05,238.95,6649622
2023-09-27 11:15:00,238.95,242.3,238.95,240.55,1364837
2023-09-27 12:15:00,240.55,243.0,240.05,241.95,1187630
2023-09-27 13:15:00,241.8,242.2,240.05,241.8,850117
2023-09-27 14:15:00,241.55,247.0,241.0,245.6,4249978
2023-09-27 15:15:00,245.6,245.8,243.25,245.05,936705
2023-09-28 09:15:00,244.0,248.5,236.3,242.8,1549900
2023-09-28 10:15:00,242.85,254.1,242.75,250.95,1745658
2023-09-28 11:15:00,250.6,251.45,248.5,249.55,555893
2023-09-28 12:15:00,249.7,250.6,248.1,248.75,416584
2023-09-28 13:15:00,248.75,251.65,248.75,250.65,383444
2023-09-28 14:15:00,250.65,253.6,250.1,250.55,499453
2023-09-28 15:15:00,250.8,252.95,250.5,251.1,259776
2023-09-29 09:15:00,251.9,258.8,250.65,256.45,718135
2023-09-29 10:15:00,256.55,258.5,252.0,253.05,291346
2023-09-29 11:15:00,253.15,255.3,252.5,254.4,206045
2023-09-29 12:15:00,254.35,254.5,252.9,253.85,102634
2023-09-29 13:15:00,253.85,254.05,250.25,251.3,207821
2023-09-29 14:15:00,251.3,253.9,250.5,253.3,313972
2023-09-29 15:15:00,253.2,253.9,252.65,253.35,104303
2023-10-03 09:15:00,254.4,256.6,248.0,248.0,372492
2023-10-03 10:15:00,247.8,250.4,243.5,244.85,182397
2023-10-03 11:15:00,244.95,246.75,244.5,245.3,339956
2023-10-03 12:15:00,245.1,248.0,245.1,247.65,97967
2023-10-03 13:15:00,247.85,249.75,246.5,248.75,235075
2023-10-03 14:15:00,248.75,249.85,247.8,248.95,165682
2023-10-03 15:15:00,248.9,249.9,247.1,249.4,116416
2023-10-04 09:15:00,245.1,246.3,238.5,240.45,305726
2023-10-04 10:15:00,240.45,242.85,239.35,240.9,148449
2023-10-04 11:15:00,240.9,241.75,236.3,238.0,173700
2023-10-04 12:15:00,238.25,239.05,227.55,228.85,483673
2023-10-04 13:15:00,228.95,235.95,228.3,235.25,386510
2023-10-04 14:15:00,235.45,239.7,234.85,239.3,526465
2023-10-04 15:15:00,239.25,240.5,238.5,240.0,201540
2023-10-05 09:15:00,242.8,242.8,236.2,238.75,170493
2023-10-05 10:15:00,238.75,241.6,238.5,240.0,166525
2023-10-05 11:15:00,239.75,241.0,238.15,238.75,163481
2023-10-05 12:15:00,238.75,241.85,236.5,237.7,311029
2023-10-05 13:15:00,237.8,239.15,237.05,238.5,93685
2023-10-05 14:15:00,238.3,238.55,235.15,235.55,94747
2023-10-05 15:15:00,235.5,236.2,234.5,235.1,53626
2023-10-06 09:15:00,235.95,240.3,235.95,238.75,126596
2023-10-06 10:15:00,239.0,239.0,237.7,237.75,40343
2023-10-06 11:15:00,237.75,238.75,236.55,237.2,403434
2023-10-06 12:15:00,237.2,239.9,236.7,238.75,115555
2023-10-06 13:15:00,238.75,246.4,238.75,245.65,534206
2023-10-06 14:15:00,245.45,246.2,242.15,242.55,254788
2023-10-06 15:15:00,242.7,246.05,242.7,245.25,344788
2023-10-09 09:15:00,239.05,243.0,235.25,241.25,240990
2023-10-09 10:15:00,241.25,242.4,239.3,240.0,92875
